Star ,IRAS name ,Spectral type ,Date ,Standard ,F12 (Jy) ,Dist (kpc) ,Bsil ,M_dot(M/yr) ,l_peak (mm) ,FWHM (mm) ,LogL
IRC 30 305 ,17348 3207 ,M3.3Ib ,17,j Lib ,50,1.8 ,10.9 ,5.6e-6 ,9.8 ,2.6 ,4.5
HD 160810 ,17400 3516 ,M0.7Ib ,16,h Sgr ,11,1.3 ,1.4 ,6.1e-8 ,-- ,-- ,4.5
IRC 30 303 ,17322 3159 ,M2Iab ,16,j Lib ,24,2.5 ,7.6 ,3.7e-6 ,9.7 ,2.4 ,5.1
IRC 30 312 ,17374 3156 ,M2.6Ia ,16,h Sgr ,102,2.0 ,6.8 ,8.8e-6 ,10.1 ,3.5 ,5.1
HD 163428 ,17540 2356 ,M0.6Iab ,16,h Sgr ,15,1.6 ,0.1 ,<4.5e-8 ,-- ,-- ,5.1
V540 Sgr ,17566 3555 ,M5Iab ,16,h Sgr ,57,3.5 ,11.6 ,2.7e-5 ,9.7 ,2.4 ,5.1
FR Sct ,18205 1242 ,M2.2Iab ,17,g Aql ,10,2.6 ,1.8 ,<8.2e-8 ,-- ,-- ,5.1
IRC 10 419 ,18227 1347 ,M2.5Iab ,17,g Aql ,18,2.2 ,5.4 ,1.5e-6 ,10.0 ,2.7 ,5.1
HD 171094 ,18305 1408 ,M3.0Iab ,17,g Aql ,35,2.1 ,8.0 ,3.9e-6 ,10.0 ,2.6 ,5.1
UW Aql ,18550 0023 ,M2.2Iab ,27/6/98 ,g Aql ,30,2.0 ,4.6 ,1.7e-6 ,10.1 ,3.0 ,5.1
V492 Aql ,18569 0518 ,M1.1Iab ,17,g Aql ,12,2.3 ,1.1 ,<7.8e-8 ,-- ,-- ,5.1
V340 Sge ,19371 1627 ,K5.5Iab ,16,g Aql ,12,1.1 ,0.4 ,<1.7e-8 ,-- ,-- ,5.1
V717 Cyg ,19590 3041 ,M2.8Iab ,17,« Cyg ,11,3.2 ,5.6 ,1.9e-6 ,10.0 ,2.6 ,5.1
V1749 Cyg ,20193 3527 ,M2.6Iab ,17,b Peg ,42,1.8 ,4.2 ,1.7e-6 ,10.2 ,3.1 ,5.1
BC Cyg ,20197 3722 ,M3.2Iab ,16,g Aql ,424,1.8 ,11.9 ,5.3e-5 ,9.7 ,2.5 ,5.1
KY Cyg ,20241 3811 ,M3.9Iab ,16,g Aql ,511,1.8 ,10.2 ,5.5e-5 ,9.7 ,2.7 ,5.1
RW Cyg ,20270 3948 ,M2.9Iab ,16,« Cyg ,298,1.0 ,8.9 ,8.6e-6 ,9.9 ,2.8 ,5.1
AZ Cyg ,(20h 56m) ,M3.1Iab ,16,g Aql ,-- ,2.9 ,13.8 ,5.2e-5 ,9.8 ,2.4 ,5.1
HR 8572 ,22274 4726 ,M0.3Iab ,17,b Peg ,47,0.5 ,0.7 ,9.4e-9 ,-- ,-- ,5.1
Case 75 ,22317 5838 ,M2.7Iab ,17,b Peg ,78,2.8 ,11.1 ,2.2e-5 ,9.9 ,2.7 ,5.1
V355 Cep ,22471 5902 ,M1.1Iab ,16,b Peg ,19,2.8 ,6.4 ,3.0e-6 ,10.0 ,2.6 ,5.1
GP Cas ,02360 5922 ,M2.8Iab ,16,b And ,26,2.3 ,3.9 ,1.6e-6 ,10.0 ,3.0 ,5.1
W Per ,02469 5646 ,M3.6Iab ,4/10/92 ,a Tau ,90,4.3 ,9.1 ,4.9e-5 ,9.9 ,2.8 ,5.1
V500 Cas ,02473 5738 ,M2.9Iab ,16,b And ,39,2.3 ,7.1 ,4.6e-6 ,9.9 ,2.8 ,5.1
V637 Cas ,02531 5721 ,M2.2Iab ,16,b And ,12,1.9 ,0.4 ,<5.1e-8 ,-- ,-- ,5.1
