Star ,Teff[K],R_star[R_sun],R_in[R_sun],tau_rad ,Ṁdot
HV12501 ,3810,840,19.7 ,34,3
HV2360 ,3736,870,19.2 ,83,7
HV5870 ,3434,820,13.6 ,0.10 ,5
HV916 ,3666,1050,17.5 ,60,6
IRAS04407−7000 ,2890,1150,8.9 ,1.1 ,50
IRAS04498−6842 ,2890,770,8.9 ,1.0 ,26
IRAS04509−6922 ,2500,950,6.0 ,0.83 ,17
IRAS04516−6902 ,2667,1200,7.0 ,0.93 ,33
IRAS04530−6916 ,2890,1400,12.5 ,9.5 ,840
IRAS05294−7104 ,2890,800,9.9 ,2.1 ,64
SHV0522023−701242 ,3666,160,16.7 ,1,.0.01 
SHV0524565−694559 ,3434,190,13.1 ,34,0.2 
SHV0530323−702216 ,3309,280,11.3 ,53,0.4 
WOH SG374 ,3309,730,13.0 ,0.59 ,23
