Object,Teff[K],Tdust[K],v_wind[km/s],logL/[Lsun],logṀdot[Msun/yr]
HV12501,3773,800,17.5,5.16,-4.79
HV2360,3736,700,15.8,5.11,-4.51
HV2446,3434,600,7.8,4.35,-5.14
HV2561,3831,450,11.9,5.25,-4.47
HV5870,3469,700,12.7,4.98,-4.68
HV888,3574,800,19.7,5.43,-4.43
HV916,3684,600,14.5,5.17,-4.50
HV986,3736,450,9.7,5.12,-4.89
HV996,3574,600,12.3,5.07,-4.28
IRAS04407-7000,3008,900,10.9,4.74,-4.15
IRAS04498-6842,2500,1100,14.4,4.89,-4.30
IRAS04509-6922,2500,800,11.7,4.83,-4.45
IRAS04516-6902,2667,900,12.6,4.89,-4.23
IRAS05003-6712,2667,1200,10.5,4.39,-4.34
IRAS05128-6455,2667,1000,7.2,4.08,-4.36
IRAS05294-7104,2890,900,7.9,4.42,-4.14
SHV0522023-701242,3666,1200,6.9,3.56,-6.80
SHV0530323-702216,3309,500,4.5,3.88,-5.67
SP7730-6,2890,800,8.5,4.29,-4.76
SP7746-44,3792,400,10.9,5.47,-4.56
WOHG64,3008,800,15.8,5.69,-3.12
WOHSG374,3309,600,8.4,4.68,-4.43
