                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     563                                     7938                  1.2000000000000000E+001                  1.4000000000000000E-002                  1.6875976888152368E+007                  4.9290529884755949E+002                  2.2555164583988419E+004                  2.2460427389612076E+004                  9.8282420446499348E+000                 -4.1882612740840131E+000                  6.5917685300266438E-028                  0.0000000000000000E+000                  9.8641801774863447E-001                  1.9532711648825521E-004                  8.7973692824138226E-003                  2.5643688921543666E-004                  1.4696219647883960E-003                  1.1880819099661181E+001                 -1.8471375135058905E-008                  6.2253831886304569E+000                  1.9910085451079192E-004                  5.4896735954609310E+000                  1.3347847631548834E-002                  4.9402832209317446E-002                  5.1334740155726616E-002                  1.7460312708538463E-002                  2.0386010768546630E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1880819086876384E+001                  9.7817480301740201E+000                  1.1880818967859517E+001                  9.6807184724868875E+000                  8.9500228714772893E+004                  1.5009922365287723E+004                  5.2896674197553555E+006                  2.5916688832240179E+004                  2.5916688832240241E+004                  2.3872443060977139E-014                  1.7652251495376968E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.1880819099661181E+001                  9.9247584351026419E-001                  4.3533775420582588E+000                 -9.2849286984777528E+000                  3.3361578914548238E+000                  7.1999999978639728E-001                  2.6600000021360276E-001                  1.4000000000000012E-002 
                                       2                  1.1880819099655239E+001                  9.9247338436681709E-001                  4.3537159199900302E+000                 -9.2833557253955838E+000                  3.3379016646218451E+000                  7.1999999978639728E-001                  2.6600000021360276E-001                  1.4000000000000012E-002 
                                       3                  1.1880819099645722E+001                  9.9246945792319008E-001                  4.3543892640834763E+000                 -9.2802403758850449E+000                  3.3413617533506996E+000                  7.1999999978639728E-001                  2.6600000021360276E-001                  1.4000000000000012E-002 
                                       4                  1.1880819099624381E+001                  9.9246071821278392E-001                  4.3556206016674368E+000                 -9.2745870446220486E+000                  3.3476600440777844E+000                  7.1999999978639728E-001                  2.6600000021360276E-001                  1.4000000000000012E-002 
                                       5                  1.1880819099588919E+001                  9.9244638141745700E-001                  4.3577433126260994E+000                 -9.2649774363545188E+000                  3.3584263662457601E+000                  7.1999999978639728E-001                  2.6600000021360276E-001                  1.4000000000000012E-002 
                                       6                  1.1880819099525368E+001                  9.9242124781992880E-001                  4.3613065412238621E+000                 -9.2492016573996700E+000                  3.3762602489991576E+000                  7.1999999978639728E-001                  2.6600000021360276E-001                  1.4000000000000012E-002 
                                       7                  1.1880819099419451E+001                  9.9238084367383783E-001                  4.3649450812437207E+000                 -9.2334037102102098E+000                  3.3942641842319707E+000                  7.1999999978639728E-001                  2.6600000021360276E-001                  1.4000000000000012E-002 
                                       8                  1.1880819099347146E+001                  9.9235424027072361E-001                  4.3677101970968524E+000                 -9.2216846559671932E+000                  3.4077510085604659E+000                  7.1999999978639728E-001                  2.6600000021360276E-001                  1.4000000000000012E-002 
                                       9                  1.1880819099281055E+001                  9.9233056639032857E-001                  4.3703012738138316E+000                 -9.2108986166234352E+000                  3.4202553776576643E+000                  7.1999999978639728E-001                  2.6600000021360276E-001                  1.4000000000000012E-002 
