                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     273                                     7502                  1.5000000000000000E+001                  1.4000000000000000E-002                  8.7213632447093129E+006                  2.2895095837348192E+004                  2.7398745378616451E+004                  2.9737834475856420E+004                  7.6639410143309847E+000                 -6.0551826920318357E+000                  3.3186468411713982E-001                  6.7364659621442889E-009                  6.5452681358314480E-001                  1.1374075146411501E-004                  8.8021442842832545E-003                  3.5976156425401618E-004                  1.4696219647883444E-003                  1.4879849756484539E+001                 -2.2686665437776507E-008                  8.6756354220355369E+000                  2.0668316703019313E-004                  5.9969190702130328E+000                  1.5991507384414825E-002                  6.5436624542074731E-002                  6.1188307551431939E-002                  2.1867754034879484E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4879849749304089E+001                  7.6349837302776873E+000                  1.4879849668058373E+001                  7.5705996207521862E+000                  5.5069676938706645E+004                  2.2804215576083094E+004                  5.0036762994848220E+006                  2.9793969877286039E+004                  2.9793969877286021E+004                  3.5331091608083510E-027                  2.0292868902891928E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.4879849756484539E+001                  8.8445215352754092E-001                  4.4382952007102068E+000                 -9.0579569087041332E+000                  3.6567361085273848E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                       2                  1.4879849756469659E+001                  8.8444445029217111E-001                  4.4399780123607497E+000                 -9.0508285249389946E+000                  3.6648973153681630E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                       3                  1.4879849756438906E+001                  8.8442878803981184E-001                  4.4422193291833292E+000                 -9.0414934012187800E+000                  3.6756616172692755E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                       4                  1.4879849756408156E+001                  8.8441345721279929E-001                  4.4453709790567633E+000                 -9.0287222241642446E+000                  3.6905597359628408E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                       5                  1.4879849756351240E+001                  8.8438590228245129E-001                  4.4488579793807910E+000                 -9.0149475090511242E+000                  3.7068052767084265E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                       6                  1.4879849756309094E+001                  8.8436613098414540E-001                  4.4519197279654517E+000                 -9.0032153572620093E+000                  3.7208241588313911E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                       7                  1.4879849756262745E+001                  8.8434496426773823E-001                  4.4558548546217551E+000                 -8.9886028459555121E+000                  3.7385249482511784E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                       8                  1.4879849756193222E+001                  8.8431425920096651E-001                  4.4596953123536469E+000                 -8.9747285797495859E+000                  3.7555372660375945E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                       9                  1.4879849756146873E+001                  8.8429442931011137E-001                  4.4623505078410055E+000                 -8.9653962319058991E+000                  3.7671216852497147E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      10                  1.4879849756111698E+001                  8.8427969760843961E-001                  4.4646118404130375E+000                 -8.9576097774941221E+000                  3.7768773667345346E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      11                  1.4879849756076521E+001                  8.8426522621784098E-001                  4.4679569706794462E+000                 -8.9463763510430052E+000                  3.7911138086636313E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      12                  1.4879849756006168E+001                  8.8423701831146972E-001                  4.4712283553913075E+000                 -8.9355892251789601E+000                  3.8049019369731245E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      13                  1.4879849755970989E+001                  8.8422325836690763E-001                  4.4733800945245248E+000                 -8.9286596444851316E+000                  3.8138578250761603E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      14                  1.4879849755935812E+001                  8.8420971495589729E-001                  4.4765648691673698E+000                 -8.9186334272683645E+000                  3.8269562530933103E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      15                  1.4879849755865459E+001                  8.8418324264466686E-001                  4.4804940880512873E+000                 -8.9065205563689123E+000                  3.8429431524707316E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      16                  1.4879849755802654E+001                  8.8416025718446900E-001                  4.4841225641390432E+000                 -8.8956318193155344E+000                  3.8575057273572040E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      17                  1.4879849755739853E+001                  8.8413783734110085E-001                  4.4876767903927597E+000                 -8.8852217041647510E+000                  3.8715987137122725E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      18                  1.4879849755677048E+001                  8.8411594516529557E-001                  4.4911594477871200E+000                 -8.8752560427054004E+000                  3.8852514759799237E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      19                  1.4879849755614243E+001                  8.8409454642529528E-001                  4.4945731070281445E+000                 -8.8657041687850420E+000                  3.8984907077807933E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      20                  1.4879849755551442E+001                  8.8407361013021635E-001                  4.4979202267351184E+000                 -8.8565384960129130E+000                  3.9113407462805840E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      21                  1.4879849755488637E+001                  8.8405310812614823E-001                  4.5012031532926002E+000                 -8.8477341515094547E+000                  3.9238238416274669E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      22                  1.4879849755425836E+001                  8.8403301475233087E-001                  4.5060170517980067E+000                 -8.8352177192225643E+000                  3.9418726098004293E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      23                  1.4879849755300558E+001                  8.8399406487776955E-001                  4.5106639753236841E+000                 -8.8233403654103348E+000                  3.9591773493588702E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      24                  1.4879849755238087E+001                  8.8397516175656787E-001                  4.5136954965657763E+000                 -8.8158183746311618E+000                  3.9703247406526017E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      25                  1.4879849755175615E+001                  8.8395658081343120E-001                  4.5166731594896037E+000                 -8.8085634466334906E+000                  3.9811950199180002E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      26                  1.4879849755113144E+001                  8.8393830536211082E-001                  4.5210536863876749E+000                 -8.7981857390838201E+000                  3.9970093736017192E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
                                      27                  1.4879849754988200E+001                  8.8390261085798061E-001                  4.5252981106046120E+000                 -8.7882638757570142E+000                  4.0122730622847618E+000                  7.1999999992787411E-001                  2.6600000007212593E-001                  1.4000000000000012E-002 
