                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     584                                     9310                  1.5000000000000000E+001                  1.4000000000000000E-002                  1.2211024049998617E+007                  3.7283980965057884E+002                  2.4926837413870242E+004                  4.5622218271799713E+004                  1.1468659884366836E+001                 -4.5118712978268656E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8642200008970993E-001                  2.0663513093497620E-004                  8.7988603029055361E-003                  2.3965551319704475E-004                  1.4696219647929996E-003                  1.4761794927714229E+001                 -5.4594923898051322E-008                  7.3390758410529529E+000                  2.0060211675459799E-004                  7.2172116775276791E+000                  1.5858168485177074E-002                  6.5903859904920675E-002                  5.9584150778656003E-002                  2.1694258065470227E-002                  2.9932819704366733E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4761794907109932E+001                  1.1404148579280168E+001                  1.4761794689300045E+001                  1.1257260955205052E+001                  1.0121223094658235E+005                  9.7761713073650444E+003                  3.2356591781156072E+006                  4.5241721603535865E+004                  4.5241721603532402E+004                  4.7907269955584731E-012                  3.2017081528804492E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.4761794927714229E+001                  1.0595126734525342E+000                  4.3968639892200292E+000                 -9.3153018738207685E+000                  3.4043730554447005E+000                  7.1999999928607350E-001                  2.6600000071392671E-001                  1.3999999999999790E-002 
                                       2                  1.4761794927699468E+001                  1.0595085489476082E+000                  4.3974608039659131E+000                 -9.3126421481723494E+000                  3.4072962542885019E+000                  7.1999999928607350E-001                  2.6600000071392671E-001                  1.3999999999999790E-002 
                                       3                  1.4761794927668960E+001                  1.0595000765684803E+000                  4.3982612788750624E+000                 -9.3090941878477693E+000                  3.4112056595590445E+000                  7.1999999928607350E-001                  2.6600000071392671E-001                  1.3999999999999790E-002 
                                       4                  1.4761794927638451E+001                  1.0594916726324914E+000                  4.3993959691601852E+000                 -9.3041138810620065E+000                  3.4167182608634676E+000                  7.1999999928607350E-001                  2.6600000071392671E-001                  1.3999999999999790E-002 
                                       5                  1.4761794927581990E+001                  1.0594762953821839E+000                  4.4012601999117660E+000                 -9.2960387715188997E+000                  3.4257116220997137E+000                  7.1999999928607350E-001                  2.6600000071392671E-001                  1.3999999999999790E-002 
                                       6                  1.4761794927494199E+001                  1.0594528224979389E+000                  4.4047278764215090E+000                 -9.2813959008854283E+000                  3.4422142769108679E+000                  7.1999999928607350E-001                  2.6600000071392671E-001                  1.3999999999999790E-002 
                                       7                  1.4761794927309449E+001                  1.0594050526803709E+000                  4.4087397758400524E+000                 -9.2648415500671355E+000                  3.4610777654220248E+000                  7.1999999928607350E-001                  2.6600000071392671E-001                  1.3999999999999790E-002 
                                       8                  1.4761794927169857E+001                  1.0593702993036378E+000                  4.4120241281900494E+000                 -9.2516920059892094E+000                  3.4762768886286342E+000                  7.1999999928607350E-001                  2.6600000071392671E-001                  1.3999999999999790E-002 
                                       9                  1.4761794927037757E+001                  1.0593383841708357E+000                  4.4157973645298219E+000                 -9.2370174664471438E+000                  3.4934749916845882E+000                  7.1999999928607350E-001                  2.6600000071392671E-001                  1.3999999999999790E-002 
