                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    8560                                    11119                  1.5000000000000000E+001                  1.4000000000000000E-002                  1.3742365736641448E+007                  6.2467205510342609E+001                  3.3713445872968491E+003                  7.1435946554404305E+004                  7.8453251864424226E+002                 -1.0587060874821936E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0021433588835258E-015                  2.9420592583612043E-001                  5.5356760004826981E-038                  6.8858356454944081E-001                  1.3918083318753325E-002                  1.2202717654411687E+001                 -4.2831374649210713E-006                  5.0230070339022896E+000                  1.3277176207920227E-004                  4.5188583243987903E+000                  8.2811247244629094E-001                  3.8435168269212706E-002                  1.7034592569437246E+000                  5.3314919334407559E-002                  4.2733135972315024E+000                  2.3616920859382411E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2177147038544906E+001                  7.7974276780917523E+002                  1.2170895418299947E+001                  7.7846444500683640E+002                  6.2982763843208872E+007                  6.2368444269180941E+001                  1.7082040965353935E+006                  6.3299257729601472E+004                  5.6901258898686850E-002                  4.7440074486287995E+004                  9.4452983408580112E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.2202717654411687E+001                  2.8946109496757395E+000                  3.5278031443239373E+000                 -8.4498186201067362E+000                  2.8550193435978146E+000                  6.4198687851053393E-001                  3.4400431238428825E-001                  1.4008809105177766E-002 
                                       2                  1.2202717654405586E+001                  2.8946109496750125E+000                  3.5278031444827920E+000                 -8.4498186197399701E+000                  2.8550193441293330E+000                  6.4198687851053404E-001                  3.4400431238428830E-001                  1.4008809105177655E-002 
                                       3                  1.2202717654350929E+001                  2.8946109496685106E+000                  3.5278031450339560E+000                 -8.4498186184674395E+000                  2.8550193459734823E+000                  6.4198687851053404E-001                  3.4400431238428830E-001                  1.4008809105177655E-002 
                                       4                  1.2202717654194778E+001                  2.8946109496499339E+000                  3.5278031467360598E+000                 -8.4498186145376177E+000                  2.8550193516685822E+000                  6.4198687851053393E-001                  3.4400431238428825E-001                  1.4008809105177766E-002 
                                       5                  1.2202717653699912E+001                  2.8946109495910575E+000                  3.5278031512909438E+000                 -8.4498186040212833E+000                  2.8550193669088522E+000                  6.4198687851053404E-001                  3.4400431238428830E-001                  1.4008809105177655E-002 
                                       6                  1.2202717652452632E+001                  2.8946109494426655E+000                  3.5278031630964786E+000                 -8.4498185767646294E+000                  2.8550194064091969E+000                  6.4198687851053393E-001                  3.4400431238428830E-001                  1.4008809105177766E-002 
                                       7                  1.2202717649184546E+001                  2.8946109490538499E+000                  3.5278031926514744E+000                 -8.4498185085280006E+000                  2.8550195052977383E+000                  6.4198687851053393E-001                  3.4400431238428830E-001                  1.4008809105177766E-002 
                                       8                  1.2202717641148478E+001                  2.8946109480977742E+000                  3.5278032449509351E+000                 -8.4498183877790751E+000                  2.8550196802871888E+000                  6.4198687851053382E-001                  3.4400431238428852E-001                  1.4008809105177655E-002 
                                       9                  1.2202717629181135E+001                  2.8946109466739856E+000                  3.5278033249268752E+000                 -8.4498182031311213E+000                  2.8550199478793363E+000                  6.4198687851053327E-001                  3.4400431238428908E-001                  1.4008809105177655E-002 
                                      10                  1.2202717610559443E+001                  2.8946109444585089E+000                  3.5278034523157591E+000                 -8.4498179090173977E+000                  2.8550203741098854E+000                  6.4198687851053182E-001                  3.4400431238429041E-001                  1.4008809105177766E-002 
                                      11                  1.2202717580457767E+001                  2.8946109408772278E+000                  3.5278036642731658E+000                 -8.4498174196555951E+000                  2.8550210832956977E+000                  6.4198687851052794E-001                  3.4400431238429441E-001                  1.4008809105177655E-002 
                                      12                  1.2202717529490720E+001                  2.8946109348135431E+000                  3.5278040373383468E+000                 -8.4498165583400109E+000                  2.8550223315223242E+000                  6.4198687851051606E-001                  3.4400431238430618E-001                  1.4008809105177766E-002 
                                      13                  1.2202717437769683E+001                  2.8946109239012672E+000                  3.5278047279023368E+000                 -8.4498149640235898E+000                  2.8550246420318275E+000                  6.4198687851047831E-001                  3.4400431238434404E-001                  1.4008809105177655E-002 
                                      14                  1.2202717265369220E+001                  2.8946109033904341E+000                  3.5278060360048196E+000                 -8.4498119440773731E+000                  2.8550290186272202E+000                  6.4198687851034963E-001                  3.4400431238447271E-001                  1.4008809105177655E-002 
                                      15                  1.2202716937463741E+001                  2.8946108643791204E+000                  3.5278085179533485E+000                 -8.4498062144654114E+000                  2.8550373222939616E+000                  6.4198687850989999E-001                  3.4400431238492279E-001                  1.4008809105177211E-002 
                                      16                  1.2202716316130667E+001                  2.8946107904593128E+000                  3.5278132162588451E+000                 -8.4497953695461696E+000                  2.8550530398585781E+000                  6.4198687850831104E-001                  3.4400431238651291E-001                  1.4008809105175990E-002 
                                      17                  1.2202715140652526E+001                  2.8946106506164258E+000                  3.5278221635438345E+000                 -8.4497747211359986E+000                  2.8550829675009965E+000                  6.4198687850262814E-001                  3.4400431239219992E-001                  1.4008809105171993E-002 
                                      18                  1.2202712894666414E+001                  2.8946103834309445E+000                  3.5278395235284785E+000                 -8.4497346738718200E+000                  2.8551410185886663E+000                  6.4198687848175684E-001                  3.4400431241308671E-001                  1.4008809105156450E-002 
                                      19                  1.2202708503330904E+001                  2.8946098610786031E+000                  3.5278740172368441E+000                 -8.4496551629713821E+000                  2.8552563016119739E+000                  6.4198687840207180E-001                  3.4400431249283031E-001                  1.4008809105097830E-002 
