                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    8620                                    10528                  1.5000000000000000E+001                  1.4000000000000000E-002                  1.3745940856645357E+007                  5.7024330868592791E+001                  3.3505722865653433E+003                  7.5141430792332234E+004                  8.1463034325409922E+002                 -7.0551607605390032E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5657955042857745E-014                  2.9418959976606690E-001                  5.4674887964820637E-038                  6.8857299674208117E-001                  1.3944753572266919E-002                  1.2186646504534826E+001                 -4.7015967941631013E-006                  5.0127101497657156E+000                  1.3249499654648388E-004                  4.4937389312620475E+000                  8.3808179956631945E-001                  3.8371087610657897E-002                  1.7129502899436766E+000                  5.3312303570375717E-002                  4.2728240987678721E+000                  2.3672039677983165E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2157611030975968E+001                  8.0945690130310311E+002                  1.2150506449667430E+001                  8.0808738708720614E+002                  6.6685642291329674E+007                  5.6951861488156808E+001                  1.6218278486358563E+006                  6.7015708708298989E+004                  2.0037470953408890E-003                  4.4497339040260798E+004                  1.8188162454547328E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.2186646504534826E+001                  2.9109605826004459E+000                  3.5251189920270147E+000                 -8.4634518292830148E+000                  2.8376110926975087E+000                  6.3956726371534200E-001                  3.4642571684757911E-001                  1.4007019437078938E-002 
                                       2                  1.2186646504528731E+001                  2.9109605825997780E+000                  3.5251189921630144E+000                 -8.4634518289496636E+000                  2.8376110931721703E+000                  6.3956726371534200E-001                  3.4642571684757906E-001                  1.4007019437078938E-002 
                                       3                  1.2186646504474147E+001                  2.9109605825937912E+000                  3.5251189926348752E+000                 -8.4634518277930670E+000                  2.8376110948190547E+000                  6.3956726371534200E-001                  3.4642571684757906E-001                  1.4007019437078938E-002 
                                       4                  1.2186646504318201E+001                  2.9109605825766911E+000                  3.5251189940920726E+000                 -8.4634518242212753E+000                  2.8376110999049500E+000                  6.3956726371534200E-001                  3.4642571684757911E-001                  1.4007019437078938E-002 
                                       5                  1.2186646503823987E+001                  2.9109605825224976E+000                  3.5251189979915831E+000                 -8.4634518146630402E+000                  2.8376111135149769E+000                  6.3956726371534189E-001                  3.4642571684757906E-001                  1.4007019437079049E-002 
                                       6                  1.2186646502578352E+001                  2.9109605823859055E+000                  3.5251190080984909E+000                 -8.4634517898896267E+000                  2.8376111487899851E+000                  6.3956726371534189E-001                  3.4642571684757911E-001                  1.4007019437078938E-002 
                                       7                  1.2186646499314570E+001                  2.9109605820280136E+000                  3.5251190334010003E+000                 -8.4634517278697441E+000                  2.8376112371004707E+000                  6.3956726371534189E-001                  3.4642571684757911E-001                  1.4007019437078938E-002 
                                       8                  1.2186646491289084E+001                  2.9109605811479713E+000                  3.5251190781754089E+000                 -8.4634516181217236E+000                  2.8376113933713931E+000                  6.3956726371534178E-001                  3.4642571684757917E-001                  1.4007019437079049E-002 
                                       9                  1.2186646479337503E+001                  2.9109605798374072E+000                  3.5251191466440845E+000                 -8.4634514502962084E+000                  2.8376116323393634E+000                  6.3956726371534156E-001                  3.4642571684757945E-001                  1.4007019437078938E-002 
