                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    8680                                    10626                  1.5000000000000000E+001                  1.4000000000000000E-002                  1.3749227537180338E+007                  5.2775009433852723E+001                  3.3331321556563130E+003                  7.8383022561564445E+004                  8.4074592870175820E+002                 -1.8977210601519623E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7945207352839061E-014                  2.9378617040341165E-001                  0.0000000000000000E+000                  6.8830949879292636E-001                  1.4606990717811017E-002                  1.2170548962297074E+001                 -5.0863880778461173E-006                  5.0024248429285274E+000                  1.3222062164288488E-004                  4.4705296895573170E+000                  8.4316718076806152E-001                  3.8313744939551107E-002                  1.7253346903786004E+000                  5.3344996841802245E-002                  4.2738496589668875E+000                  2.3773121892069313E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2138096658796075E+001                  8.3519027492613486E+002                  1.2129870977588448E+001                  8.3366518768088531E+002                  6.9964163651219398E+007                  5.2761009355414423E+001                  1.5527021751091508E+006                  7.2114045242649256E+004                  7.4128204556422262E-005                  3.9879870965229173E+004                  4.1116439501914778E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.2170548962297074E+001                  2.9246647729279256E+000                  3.5228525333950746E+000                 -8.4760659916751315E+000                  2.8222348150671648E+000                  6.3854076366424262E-001                  3.4745303245049697E-001                  1.4006203885260415E-002 
                                       2                  1.2170548962290988E+001                  2.9246647729273008E+000                  3.5228525335144636E+000                 -8.4760659913670722E+000                  2.8222348154994772E+000                  6.3854076366424262E-001                  3.4745303245049697E-001                  1.4006203885260415E-002 
                                       3                  1.2170548962236476E+001                  2.9246647729217030E+000                  3.5228525339286931E+000                 -8.4760659902982276E+000                  2.8222348169994209E+000                  6.3854076366424262E-001                  3.4745303245049697E-001                  1.4006203885260415E-002 
                                       4                  1.2170548962080737E+001                  2.9246647729057109E+000                  3.5228525352079174E+000                 -8.4760659869974333E+000                  2.8222348216315432E+000                  6.3854076366424262E-001                  3.4745303245049702E-001                  1.4006203885260415E-002 
                                       5                  1.2170548961587173E+001                  2.9246647728550257E+000                  3.5228525386311627E+000                 -8.4760659781643994E+000                  2.8222348340272503E+000                  6.3854076366424262E-001                  3.4745303245049702E-001                  1.4006203885260415E-002 
                                       6                  1.2170548960343181E+001                  2.9246647727272777E+000                  3.5228525475036689E+000                 -8.4760659552705899E+000                  2.8222348661549446E+000                  6.3854076366424262E-001                  3.4745303245049697E-001                  1.4006203885260415E-002 
                                       7                  1.2170548957083714E+001                  2.9246647723925592E+000                  3.5228525735782652E+000                 -8.4760658879900923E+000                  2.8222349605720565E+000                  6.3854076366424262E-001                  3.4745303245049697E-001                  1.4006203885260415E-002 
                                       8                  1.2170548947108374E+001                  2.9246647713681764E+000                  3.5228526128841731E+000                 -8.4760657865688511E+000                  2.8222351029001342E+000                  6.3854076366424251E-001                  3.4745303245049708E-001                  1.4006203885260415E-002 
                                       9                  1.2170548937133033E+001                  2.9246647703437967E+000                  3.5228526804069094E+000                 -8.4760656123398253E+000                  2.8222353474020916E+000                  6.3854076366424239E-001                  3.4745303245049719E-001                  1.4006203885260415E-002 
                                      10                  1.2170548912835571E+001                  2.9246647678486557E+000                  3.5228527761465918E+000                 -8.4760653653032989E+000                  2.8222356940777611E+000                  6.3854076366424195E-001                  3.4745303245049763E-001                  1.4006203885260415E-002 
                                      11                  1.2170548888538109E+001                  2.9246647653535178E+000                  3.5228529241650630E+000                 -8.4760649833733783E+000                  2.8222362300549038E+000                  6.3854076366424095E-001                  3.4745303245049858E-001                  1.4006203885260415E-002 
                                      12                  1.2170548837705422E+001                  2.9246647601334481E+000                  3.5228532045432734E+000                 -8.4760642599222784E+000                  2.8222372453038784E+000                  6.3854076366423795E-001                  3.4745303245050158E-001                  1.4006203885260415E-002 
                                      13                  1.2170548746226180E+001                  2.9246647507393462E+000                  3.5228537235376240E+000                 -8.4760629207933746E+000                  2.8222391245653076E+000                  6.3854076366422829E-001                  3.4745303245051123E-001                  1.4006203885260415E-002 
                                      14                  1.2170548574280197E+001                  2.9246647330820861E+000                  3.5228547066403335E+000                 -8.4760603842111983E+000                  2.8222426842903490E+000                  6.3854076366419543E-001                  3.4745303245054415E-001                  1.4006203885260415E-002 
                                      15                  1.2170548247239140E+001                  2.9246646994981864E+000                  3.5228565719325955E+000                 -8.4760555716255155E+000                  2.8222494381359327E+000                  6.3854076366408030E-001                  3.4745303245065939E-001                  1.4006203885260304E-002 
                                      16                  1.2170547627544016E+001                  2.9246646358622739E+000                  3.5228601028672046E+000                 -8.4760464622985765E+000                  2.8222622221921410E+000                  6.3854076366367363E-001                  3.4745303245106646E-001                  1.4006203885259971E-002 
                                      17                  1.2170546455164660E+001                  2.9246645154741859E+000                  3.5228668268860837E+000                 -8.4760291178981078E+000                  2.8222865644077371E+000                  6.3854076366221912E-001                  3.4745303245252218E-001                  1.4006203885258639E-002 
                                      18                  1.2170544215099397E+001                  2.9246642854575708E+000                  3.5228798725575512E+000                 -8.4759954768197208E+000                  2.8223337822373207E+000                  6.3854076365687695E-001                  3.4745303245786896E-001                  1.4006203885254087E-002 
                                      19                  1.2170539835340284E+001                  2.9246638357645596E+000                  3.5229057914734820E+000                 -8.4759286775678095E+000                  2.8224275550403468E+000                  6.3854076363648038E-001                  3.4745303247828319E-001                  1.4006203885236435E-002 
                                      20                  1.2170531066296999E+001                  2.9246629355348270E+000                  3.5229580293140863E+000                 -8.4757942025683981E+000                  2.8226163913857576E+000                  6.3854076355594958E-001                  3.4745303255888321E-001                  1.4006203885167157E-002 
                                      21                  1.2170513348332033E+001                  2.9246611171550989E+000                  3.5230625574420453E+000                 -8.4755257401570141E+000                  2.8229936228912216E+000                  6.3854076323585851E-001                  3.4745303287924972E-001                  1.4006203884891821E-002 
                                      22                  1.2170478120476890E+001                  2.9246575039165990E+000                  3.5232638760836879E+000                 -8.4750110563011471E+000                  2.8237177628082932E+000                  6.3854076201405485E-001                  3.4745303410210493E-001                  1.4006203883840218E-002 
                                      23                  1.2170411586776547E+001                  2.9246506875480245E+000                  3.5236240479236218E+000                 -8.4740981721805611E+000                  2.8250052774581849E+000                  6.3854075780449016E-001                  3.4745303831529278E-001                  1.4006203880217116E-002 
