                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    8700                                    10757                  1.5000000000000000E+001                  1.4000000000000000E-002                  1.3750271671125416E+007                  5.1712264495408725E+001                  3.3280256112019079E+003                  7.9307387223478232E+004                  8.4828607519457273E+002                  5.3598186182646758E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0096003546526831E-013                  2.9272049436101227E-001                  0.0000000000000000E+000                  6.8761181725602349E-001                  1.6358149731857528E-002                  1.2165179807415223E+001                 -5.1914186729241789E-006                  4.9989968674006677E+000                  1.3212935994393204E-004                  4.4631764591341341E+000                  8.4351259321315109E-001                  3.8295459189416542E-002                  1.7302906610362663E+000                  5.3488988194407443E-002                  4.2738496589667161E+000                  2.3816263935299986E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2131684711967845E+001                  8.4261501284042117E+002                  1.2123449334504285E+001                  8.4110982203870992E+002                  7.0923116702001601E+007                  5.1636954904069391E+001                  1.5339276999676307E+006                  7.5318352131342908E+004                  2.5846918012467668E-005                  3.7849564502992776E+004                  5.8751418010395464E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.2165179807415223E+001                  2.9285423380192355E+000                  3.5221866598062177E+000                 -8.4797941797683460E+000                  2.8177477449355717E+000                  6.3836651098776409E-001                  3.4762743888984959E-001                  1.4006050122386315E-002 
                                       2                  1.2165179807409141E+001                  2.9285423380186231E+000                  3.5221866599212319E+000                 -8.4797941794669960E+000                  2.8177477453566797E+000                  6.3836651098776409E-001                  3.4762743888984965E-001                  1.4006050122386204E-002 
                                       3                  1.2165179807354651E+001                  2.9285423380131288E+000                  3.5221866603202829E+000                 -8.4797941784214412E+000                  2.8177477468177434E+000                  6.3836651098776409E-001                  3.4762743888984965E-001                  1.4006050122386204E-002 
                                       4                  1.2165179807198980E+001                  2.9285423379974298E+000                  3.5221866615526323E+000                 -8.4797941751925698E+000                  2.8177477513297875E+000                  6.3836651098776409E-001                  3.4762743888984965E-001                  1.4006050122386204E-002 
                                       5                  1.2165179806705636E+001                  2.9285423379476812E+000                  3.5221866648504401E+000                 -8.4797941665519989E+000                  2.8177477634041757E+000                  6.3836651098776409E-001                  3.4762743888984965E-001                  1.4006050122386204E-002 
                                       6                  1.2165179805462193E+001                  2.9285423378222939E+000                  3.5221866733978318E+000                 -8.4797941441570153E+000                  2.8177477946990654E+000                  6.3836651098776409E-001                  3.4762743888984965E-001                  1.4006050122386204E-002 
                                       7                  1.2165179802204161E+001                  2.9285423374937558E+000                  3.5221866985169767E+000                 -8.4797940783424810E+000                  2.8177478866687142E+000                  6.3836651098776409E-001                  3.4762743888984965E-001                  1.4006050122386204E-002 
                                       8                  1.2165179792233223E+001                  2.9285423364882943E+000                  3.5221867363825994E+000                 -8.4797939791310846E+000                  2.8177480253073939E+000                  6.3836651098776409E-001                  3.4762743888984970E-001                  1.4006050122386204E-002 
                                       9                  1.2165179782262285E+001                  2.9285423354828324E+000                  3.5221868014310971E+000                 -8.4797938086982949E+000                  2.8177482634714193E+000                  6.3836651098776398E-001                  3.4762743888984976E-001                  1.4006050122386204E-002 
                                      10                  1.2165179757975540E+001                  2.9285423330337754E+000                  3.5221868936625822E+000                 -8.4797935670443731E+000                  2.8177486011606407E+000                  6.3836651098776376E-001                  3.4762743888984998E-001                  1.4006050122386204E-002 
                                      11                  1.2165179733688795E+001                  2.9285423305847216E+000                  3.5221870362571925E+000                 -8.4797931934361834E+000                  2.8177491232443193E+000                  6.3836651098776331E-001                  3.4762743888985048E-001                  1.4006050122386204E-002 
                                      12                  1.2165179682878534E+001                  2.9285423254610614E+000                  3.5221873063614324E+000                 -8.4797924857480051E+000                  2.8177501121763049E+000                  6.3836651098776165E-001                  3.4762743888985215E-001                  1.4006050122386204E-002 
                                      13                  1.2165179591439651E+001                  2.9285423162404629E+000                  3.5221878063380299E+000                 -8.4797911757963824E+000                  2.8177519427242328E+000                  6.3836651098775643E-001                  3.4762743888985737E-001                  1.4006050122386204E-002 
                                      14                  1.2165179419569522E+001                  2.9285422989093197E+000                  3.5221887534160516E+000                 -8.4797886944807548E+000                  2.8177554101759723E+000                  6.3836651098773867E-001                  3.4762743888987507E-001                  1.4006050122386204E-002 
                                      15                  1.2165179092672744E+001                  2.9285422659456835E+000                  3.5221905503553699E+000                 -8.4797839867465452E+000                  2.8177619889539547E+000                  6.3836651098767672E-001                  3.4762743888993713E-001                  1.4006050122386204E-002 
