                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     300                                     1956                  2.0000000000000000E+001                  2.0000000000000000E-002                  9.3259208621128239E+006                  2.2050346138224268E+003                  3.3261990371977517E+003                  1.2181069317419654E+005                  1.0524587344849965E+003                 -4.0860337298786886E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1116187431772468E-001                  5.2035504428721879E-001                  7.2378739270348176E-008                  1.4473974081522684E-001                  1.9039382438177852E-002                  1.6781102316411896E+001                 -5.1720717582863770E-006                  5.6006488500899465E+000                  1.3558738217826579E-004                  7.2482295556951799E+000                  2.8163843060855562E+000                  6.8237315343795443E-002                  8.4892263470120866E-001                  1.1960857818704761E-001                  7.8267579488160335E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6731100330660691E+001                  1.0458159277805778E+003                  1.6718375723989158E+001                  1.0440289938767160E+003                  8.3450884456805483E+007                  5.1562031323241655E+001                  1.3776378640595963E+006                  1.2204360483545173E+005                  5.9586901085095842E+003                  7.4686634978786955E+004                  4.3997535475782729E+002                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                       net_nuclear_energy                               net_energy                     eps_nuc_plus_nuc_neu                                  eps_nuc                          log_abs_eps_nuc                                       pp                                      cno                                 tri_alfa                                   burn_c                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     logL                        mlt_mixing_length                          mlt_mixing_type                                    gradT                          gradT_sub_grada                          gradT_div_grada                          gradr_sub_gradT                          gradT_sub_gradr                          gradT_div_gradr                                 super_ad                            log_mlt_D_mix                              mixing_type                                log_D_mix                   log_D_mix_non_rotation                               log_D_conv                                log_D_ovr                    log_D_rayleigh_taylor                               log_D_anon                                    omega                                    v_rot 
                                       1                  1.6781102316411896E+001                  3.0222050767292816E+000                  3.5219482350848401E+000                 -8.5722765623208712E+000                  2.7228882733560256E+000                  6.3413039823015616E-001                  3.4579344397901335E-001                  2.0076157790830496E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3512989897871768E-028                  3.2223823864628817E-028                 -2.7491822924972951E+001                  3.2223795641170045E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3413039823015616E-001                  1.6274758518864134E-005                  3.4577716922049451E-001                  1.9387706277760174E-003                  3.9817465270758044E-003                  7.9658564027718839E-003                  5.0856854145916426E+000                  7.1278148394620898E+011                                        0                  2.5474599166604023E-001                 -6.8582151722889451E-002                  7.8788684769580253E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        6                  1.0933629323537913E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  1.1333499011609341E-010                  8.3016772980230066E-002 
                                       2                  1.6781102316403505E+001                  3.0222050767287323E+000                  3.5219482351619424E+000                 -8.5722765620978727E+000                  2.7228882736586884E+000                  6.3413039823015616E-001                  3.4579344397901335E-001                  2.0076157790830496E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3512989915081107E-028                  3.2223823881176152E-028                 -2.7491822924749933E+001                  3.2223795657717353E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3413039823015616E-001                  1.6274758518864134E-005                  3.4577716922049451E-001                  1.9387706277760174E-003                  3.9817465270758044E-003                  7.9658564027718839E-003                  5.0856854145916426E+000                  7.1278148396301367E+011                                        0                  2.5474599172937923E-001                 -6.8582151680720904E-002                  7.8788684784011120E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        6                  1.0933629323537913E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  1.1333499011609341E-010                  8.3016772980125067E-002 
                                       3                  1.6781102316351788E+001                  3.0222050767253550E+000                  3.5219482355012031E+000                 -8.5722765611166505E+000                  2.7228882749904475E+000                  6.3413039823015616E-001                  3.4579344397901335E-001                  2.0076157790830496E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3512989990804276E-028                  3.2223823953986427E-028                 -2.7491822923768638E+001                  3.2223795730527570E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3413039823015616E-001                  1.6274758518864134E-005                  3.4577716922049451E-001                  1.9387706277760174E-003                  3.9817465270758044E-003                  7.9658564027718839E-003                  5.0856854145916426E+000                  7.1278148417911926E+011                                        0                  2.5474599250940400E-001                 -6.8582151161674432E-002                  7.8788684961664512E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        6                  1.1219381661675168E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  1.1333499011609343E-010                  8.3016772979479472E-002 
                                       4                  1.6781102316139023E+001                  3.0222050767114550E+000                  3.5219482369283290E+000                 -8.5722765569890456E+000                  2.7228882805926169E+000                  6.3413039823015616E-001                  3.4579344397901335E-001                  2.0076157790830496E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3512990309341009E-028                  3.2223824260269802E-028                 -2.7491822919640725E+001                  3.2223796036810680E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3413039823015616E-001                  1.6274758518864134E-005                  3.4577716922049451E-001                  1.9387706277760174E-003                  3.9817465270758044E-003                  7.9658564027718839E-003                  5.0856854145916426E+000                  7.1278148506816321E+011                                        0                  2.5474599571842799E-001                 -6.8582149026314820E-002                  7.8788685692531280E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        6                  1.1310260893847742E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  1.1333499011609343E-010                  8.3016772976822403E-002 
                                       5                  1.6781102315239224E+001                  3.0222050766526691E+000                  3.5219482416126375E+000                 -8.5722765434408519E+000                  2.7228882989808287E+000                  6.3413039823015616E-001                  3.4579344397901335E-001                  2.0076157790830496E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3512991354886007E-028                  3.2223825265595140E-028                 -2.7491822906091517E+001                  3.2223797042135139E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3413039823015616E-001                  1.6274758518864134E-005                  3.4577716922049451E-001                  1.9387706277760174E-003                  3.9817465270758044E-003                  7.9658564027718839E-003                  5.0856854145916435E+000                  7.1278148882801392E+011                                        0                  2.5474600928968322E-001                 -6.8582139995676583E-002                  7.8788688783435301E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        6                  1.1344999765692672E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  1.1333499011609343E-010                  8.3016772965585378E-002 
                                       6                  1.6781102312487210E+001                  3.0222050764728756E+000                  3.5219482591887616E+000                 -8.5722764926063189E+000                  2.7228883679757225E+000                  6.3413039823015616E-001                  3.4579344397901335E-001                  2.0076157790830496E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3512995277903333E-028                  3.2223829037703200E-028                 -2.7491822855253183E+001                  3.2223800814239898E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3413039823015616E-001                  1.6274758518864134E-005                  3.4577716922049451E-001                  1.9387706277760174E-003                  3.9817465270758044E-003                  7.9658564027718839E-003                  5.0856854145916444E+000                  7.1278150032740613E+011                                        0                  2.5474605079696966E-001                 -6.8582112375729309E-002                  7.8788698236875332E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        6                  1.1358691475366022E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  1.1333499011609343E-010                  8.3016772931217231E-002 
                                       7                  1.6781102301537164E+001                  3.0222050757574910E+000                  3.5219482962586439E+000                 -8.5722763853910742E+000                  2.7228885134930700E+000                  6.3413039823015616E-001                  3.4579344397901335E-001                  2.0076157790830496E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3513003551950830E-028                  3.2223836993467517E-028                 -2.7491822748029918E+001                  3.2223808769997243E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3413039823015616E-001                  1.6274758518864134E-005                  3.4577716922049451E-001                  1.9387706277760174E-003                  3.9817465270758044E-003                  7.9658564027718839E-003                  5.0856854145916470E+000                  7.1278154608264905E+011                                        0                  2.5474621595149605E-001                 -6.8582002477897475E-002                  7.8788735851438219E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        6                  1.1364092571380974E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  1.1333499011609343E-010                  8.3016772794469201E-002 
                                       8                  1.6781102283588147E+001                  3.0222050745848503E+000                  3.5219483423063891E+000                 -8.5722762522098215E+000                  2.7228886942527155E+000                  6.3413039823015616E-001                  3.4579344397901335E-001                  2.0076157790830496E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3513013829857804E-028                  3.2223846876007541E-028                 -2.7491822614838707E+001                  3.2223818652528613E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3413039823015616E-001                  1.6274758518864134E-005                  3.4577716922049451E-001                  1.9387706277760174E-003                  3.9817465270758044E-003                  7.9658564027718839E-003                  5.0856854145916524E+000                  7.1278162108341687E+011                                        0                  2.5474648666854299E-001                 -6.8581822336095499E-002                  7.8788797508259134E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        6                  1.1366209853282310E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  1.1333499011609343E-010                  8.3016772570315214E-002 
                                       9                  1.6781102265639131E+001                  3.0222050734122115E+000                  3.5219484113780504E+000                 -8.5722760524381236E+000                  2.7228889653920456E+000                  6.3413039823015616E-001                  3.4579344397901335E-001                  2.0076157790830496E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3513029246710171E-028                  3.2223861699809798E-028                 -2.7491822415052070E+001                  3.2223833476317884E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3413039823015616E-001                  1.6274758518864134E-005                  3.4577716922049451E-001                  1.9387706277760174E-003                  3.9817465270758044E-003                  7.9658564027718839E-003                  5.0856854145916577E+000                  7.1278169608425171E+011                                        0                  2.5474675738605035E-001                 -6.8581642193821957E-002                  7.8788859165190617E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        6                  1.1367033515237067E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  1.1333499011609343E-010                  8.3016772346161491E-002 
