                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9575      2.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                             Tsurf_factor                               tau_factor                              tau_surface                       surface_extra_Pgas                                 m_center                                 r_center                                 L_center                                 v_center                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              mix_type_21                              mix_qtop_21                              mix_type_22                              mix_qtop_22                              mix_type_23                              mix_qtop_23                              mix_type_24                              mix_qtop_24                              mix_type_25                              mix_qtop_25                              mix_type_26                              mix_qtop_26                              mix_type_27                              mix_qtop_27                              mix_type_28                              mix_qtop_28                              mix_type_29                              mix_qtop_29                              mix_type_30                              mix_qtop_30                                   log_LH                                  log_LHe                                   log_LC                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             burn_type_21                             burn_qtop_21                             burn_type_22                             burn_qtop_22                             burn_type_23                             burn_qtop_23                             burn_type_24                             burn_qtop_24                             burn_type_25                             burn_qtop_25                             burn_type_26                             burn_qtop_26                             burn_type_27                             burn_qtop_27                             burn_type_28                             burn_qtop_28                             burn_type_29                             burn_qtop_29                             burn_type_30                             burn_qtop_30                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                            envelope_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_v_rot                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                         log_total_energy                      total_energy_change                              num_retries                              num_backups                                num_iters 
                                       1                                     1182                  5.5901699437494777E+001                  1.6464384027302529E+001                  2.0000000000000000E+001                  3.4599708446224163E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666666666666663E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9005890333393971E+000                  4.4395830709974088E-001                  7.8131027389761554E-008                  9.9999999383792704E-001                  9.9999996316480111E-001                  1.0000000000000000E+000                  7.8131027389761554E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  9.9999999999835454E-001                                        6                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.6344107992020858E+000                 -2.8707625823414972E+001                 -9.8999999999999986E+001                  1.1977117054122981E+000                  4.6345696559935963E+000                  2.5900795514068982E+000                  4.6304714794418116E+000                 -2.8707625823414972E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8656356278240191E+033                  1.6463297721999044E+034                  1.7781260806304040E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1562688342799026E+034                                        6                  4.3595743170457384E-004                                        5                  1.0763317071478246E-001                                        4                  2.4620861096145213E-001                                        3                  3.7695840074197956E-001                                        2                  4.4648170320918396E-001                                        3                  5.1051473533639113E-001                                        2                  6.0799414239789429E-001                                        1                  6.9123256803090438E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0000000000000000E+001                  4.5272002099470390E+000                  4.6345696547791571E+000                  7.8614324394812540E-001                  4.1666328611808554E+000                  7.0154953518928303E-025                  1.9602428398236933E+002                  7.5396097807560265E+000                  6.3198312628483300E-001                  1.6369712433184773E+001                  6.3198312628483300E-001                  7.5396097807560265E+000                  6.2517016475925691E-001                  8.4951905020279328E-001                  1.2980639308776651E+000                  6.9910189364904873E-001                  2.8036456357095507E-001                  1.9838057701166789E-004                  9.2947008726490705E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                  3.4416106108120020E-003                  9.3604466091399812E-003                  1.3991941416490635E+001                  5.6029374179585538E+000                  5.0197457971319913E+001                 -2.2981249541806198E+044                                        0                                        0                                        2 
                                       2                                     1182                  1.2298373876248850E+002                  1.8266062568876720E+000                  1.9999998590999777E+001                  3.4599708415628115E+001                 -7.6776951950364296E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666666666666663E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9005685084454562E+000                  4.4395833837661691E-001                  7.8131039304984995E-008                  9.9999999384278315E-001                  9.9999996321582185E-001                  1.0000000000000000E+000                  7.8131039304984995E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.4502845677453257E-001                                        3                  4.5015145377028626E-001                                        0                  9.9999996308435546E-001                                        3                  9.9999996321582185E-001                                        1                  9.9999999398198902E-001                                        0                  9.9999999992383026E-001                                        1                  9.9999999999660993E-001                                        0                  9.9999999999835454E-001                                        6                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.6234100202798247E+000                 -2.8706111969118211E+001                 -9.8999999999999986E+001                  1.1989343768951757E+000                  4.6235734108431386E+000                  2.5841998646749400E+000                  4.6194237589940839E+000                 -2.8706111969118211E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7990123960755366E+033                  1.6391547739696392E+034                  1.7783854342496170E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1565358181189825E+034                                        6                  2.2297911810842397E-004                                        5                  1.0458718174404846E-001                                        4                  2.4620862830685952E-001                                        3                  3.7542101945532502E-001                                        2                  4.4667571357059405E-001                                        3                  5.1051477130216871E-001                                        2                  6.0799418523109594E-001                                        1                  6.9123261672825320E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9999998590999777E+001                  4.5272146533140090E+000                  4.6346040303201894E+000                  7.8613154498470417E-001                  4.1666562285116457E+000                  2.0526061719723367E-006                  1.9597936230188955E+002                  7.5396349480661833E+000                  6.3206911347575623E-001                  1.6369821228639193E+001                  6.3206911347575623E-001                  7.5396349480661833E+000                  6.2517142665776826E-001                  8.4951782351563931E-001                  1.2980675269958917E+000                  6.9909944563611726E-001                  2.8036584016051147E-001                  1.9109450273487527E-004                  9.2944861669769160E-003                  7.0000000000000051E-001                  2.7997020236474890E-001                  3.4416106108119959E-003                  9.3604466091399795E-003                  1.3991909996580743E+001                  5.6029522336585424E+000                  5.0197481902985672E+001                 -8.7754941649122695E+045                                        0                                        0                                        2 
                                       3                                     1182                  2.0348218595248099E+002                  1.9057875029352966E+000                  1.9999996899834258E+001                  3.4599708378904914E+001                 -7.6776013874419897E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666666666666663E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8770378375637797E+000                  4.4107097363018599E-001                  7.8131045633256235E-008                  9.9999999384861082E-001                  9.9999996323445384E-001                  1.0000000000000000E+000                  7.8131045633256235E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.4385196067892113E-001                                        3                  4.4813853333172099E-001                                        0                  9.9999996314651951E-001                                        3                  9.9999996323445384E-001                                        1                  9.9999999398420736E-001                                        0                  9.9999999992386535E-001                                        1                  9.9999999999661060E-001                                        0                  9.9999999999835454E-001                                        6                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.6061898263169594E+000                 -2.8701555250536614E+001                 -9.8999999999999986E+001                  1.2015052337470744E+000                  4.6063608334446142E+000                  2.5688168946290317E+000                  4.6021865878485926E+000                 -2.8701555250536614E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6635446259705657E+033                  1.6294784242610160E+034                  1.7783253942378361E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1573719095560273E+034                                        5                  1.0458719058776156E-001                                        4                  2.4129911969250917E-001                                        3                  3.7234623525350996E-001                                        2                  4.4667738442457183E-001                                        3                  5.1051481447042391E-001                                        2                  6.0799423664204366E-001                                        1                  6.9123267517770037E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9999996899834258E+001                  4.5272644595242211E+000                  4.6347277769218076E+000                  7.8609380586508870E-001                  4.1667316700276800E+000                  1.8199198082846596E-006                  1.9599845280879580E+002                  7.5397108043485526E+000                  6.3232968786107058E-001                  1.6370151405395912E+001                  6.3232968786107058E-001                  7.5397108043485526E+000                  6.2517340375194974E-001                  8.4951589849364972E-001                  1.2980731637678324E+000                  6.9909561011305876E-001                  2.8036785916920248E-001                  1.7967942195505800E-004                  9.2941466763265812E-003                  6.9999999999999929E-001                  2.7997020236474862E-001                  3.4416106108119920E-003                  9.3604466091399691E-003                  1.3991873803145001E+001                  5.6029700961694111E+000                  5.0197555031165926E+001                 -2.6557148667021359E+046                                        0                                        0                                        2 
                                       4                                     1183                  3.0008032258047189E+002                  1.9849687489829215E+000                  1.9999994868541378E+001                  3.4599708334795942E+001                 -7.6771962027617926E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666666666666663E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8404596347451676E+000                  4.4107101842741381E-001                  7.8131053293795105E-008                  9.9999999385561067E-001                  9.9999996326852736E-001                  1.0000000000000000E+000                  7.8131053293795105E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  4.4202309514841948E-001                                        3                  4.4577982766741125E-001                                        0                  9.9999996322118379E-001                                        3                  9.9999996326852736E-001                                        1                  9.9999999398850770E-001                                        0                  9.9999999992394140E-001                                        1                  9.9999999999661926E-001                                        0                  9.9999999999835454E-001                                        6                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  4.5872875548553731E+000                 -2.8692659885742543E+001                 -9.8999999999999986E+001                  1.2055152590509701E+000                  4.5874678241991100E+000                  2.5508221011651142E+000                  4.5832759038994428E+000                 -2.8692659885742543E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5496168004339646E+033                  1.6191009180831579E+034                  1.7777975859553096E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1590021725416884E+034                                        5                  1.0003391662199945E-001                                        4                  2.3966164316288741E-001                                        3                  3.6926422109368384E-001                                        2                  4.4660975658057622E-001                                        3                  5.1051486632069287E-001                                        2                  6.0799429839277797E-001                                        1                  6.9123274538251889E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9999994868541378E+001                  4.5273608288324549E+000                  4.6349707222618814E+000                  7.8602253991865723E-001                  4.1668741578115691E+000                  1.6084293496498170E-006                  1.9604115787941950E+002                  7.5398590009241557E+000                  6.3283866924120125E-001                  1.6370797294940679E+001                  6.3283866924120125E-001                  7.5398590009241557E+000                  6.2517570913851050E-001                  8.4951364454231937E-001                  1.2980797106409054E+000                  6.9909111941815905E-001                  2.8037034926386906E-001                  1.6705237631616193E-004                  9.2937284035973840E-003                  7.0000000000000073E-001                  2.7997020236474923E-001                  3.4416106108120007E-003                  9.3604466091399864E-003                  1.3991832285262499E+001                  5.6029917006826091E+000                  5.0197698909984460E+001                 -5.2246938339792547E+046                                        0                                        0                                        2 
