                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                       1                                     1175                  2.5000000000000000E+001                  1.4000000000000000E-002                  1.0000000000000000E+002                  1.0000000000000000E+002                  4.4655397007841384E+004                  7.4004148658048987E+004                  4.5513366500391941E+000                 -5.8738927518905886E+000                  7.1871964385535292E-001                  2.5574121306111273E-007                  2.6691984872795438E-001                  7.2857526759411329E-005                  3.6069180283025389E-003                  6.3205427636379560E-003                  1.1904825024809142E-003                  2.4999997679903675E+001                 -2.3200963222155151E-008                  1.7986161931711390E+001                  3.7848469548091977E-004                  6.6594750528523159E+000                  3.3831999828114162E-002                  4.9242038245107117E-002                  1.6105687454527276E-001                  2.9764451446560102E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4999997676269498E+001                  4.5373728141776226E+000                  2.4999997643351957E+001                  4.5163088638425783E+000                  1.9443391804311570E+004                  4.3557650770237400E+004                  3.3781886736406060E+006                  5.8033068856780808E+006                  5.8031976292009773E+006                  1.7954734892090701E-021                  5.0757729814735655E+005                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  2.4999997679903675E+001                  6.5813896028051244E-001                  4.6512905710086958E+000                 -8.7466811033141898E+000                  4.3221387566415190E+000                  7.1999999999999997E-001                  2.6600000000000001E-001                  1.4000000000000012E-002 
                                       2                  2.4999997679891177E+001                  6.5812387131565098E-001                  4.6550788701207617E+000                 -8.7300551010303931E+000                  4.3400584337270960E+000                  7.1999999999999997E-001                  2.6600000000000001E-001                  1.4000000000000012E-002 
                                       3                  2.4999997679869782E+001                  6.5809901518222402E-001                  4.6596889818110752E+000                 -8.7102162797316733E+000                  4.3616771637392358E+000                  7.1999999999999997E-001                  2.6600000000000001E-001                  1.4000000000000012E-002 
                                       4                  2.4999997679848391E+001                  6.5807526496096846E-001                  4.6674134861411600E+000                 -8.6786522780592250E+000                  4.3970516788418390E+000                  7.1999999999999997E-001                  2.6600000000000001E-001                  1.4000000000000012E-002 
                                       5                  2.4999997679795033E+001                  6.5802016133927377E-001                  4.6750064066734094E+000                 -8.6473445976608172E+000                  4.4320006450701159E+000                  7.1999999999999986E-001                  2.6600000000000001E-001                  1.4000000000000123E-002 
                                       6                  2.4999997679768352E+001                  6.5799451864884684E-001                  4.6798351751571579E+000                 -8.6282017271478679E+000                  4.4538342670077320E+000                  7.1999999999999986E-001                  2.6600000000000001E-001                  1.4000000000000123E-002 
                                       7                  2.4999997679741675E+001                  6.5796997743755026E-001                  4.6842252238817839E+000                 -8.6109754830130871E+000                  4.4735970115489652E+000                  7.1999999999999997E-001                  2.6600000000000001E-001                  1.4000000000000012E-002 
                                       8                  2.4999997679717701E+001                  6.5794877796276141E-001                  4.6882245911659668E+000                 -8.5954538106306959E+000                  4.4915143023041182E+000                  7.1999999999999997E-001                  2.6600000000000001E-001                  1.4000000000000012E-002 
                                       9                  2.4999997679693724E+001                  6.5792831983362587E-001                  4.6939913331095138E+000                 -8.5735859826446834E+000                  4.5170808186582798E+000                  7.1999999999999997E-001                  2.6600000000000001E-001                  1.4000000000000012E-002 
