                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     550                                     1318                  2.5000000000000000E+001                  1.4000000000000000E-002                  5.2887725911873877E+006                  1.5053071279796388E-006                  3.2738438862476585E+004                  1.2325904199655507E+005                  1.0928292186313803E+001                 -5.6881757013028755E+000                  6.5057648949165182E-007                  7.2534121734577893E-023                  9.8642739428077242E-001                  2.0996958074432051E-004                  8.7533934396053191E-003                  2.1251628199075648E-004                  1.1508395034466822E-003                  2.4477013153967295E+001                 -1.6740324489621302E-007                  1.2767099926762423E+001                  1.5890679267747420E-004                  1.1367451422095579E+001                  1.0046791583557044E-002                  1.3281340134653841E-001                  9.2415491851324874E-002                  2.8884691504159000E-002                  3.8381079541753311E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4477013129092803E+001                  1.0853526120133024E+001                  2.4477012870780964E+001                  1.0732664434707653E+001                  7.3111014117989034E+004                  1.0440596105996099E+004                  1.9858188703633926E+006                  1.3929559165550908E+005                  1.3929502044514933E+005                  3.2441081829610858E-015                  9.5086222027352724E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  2.4477013153967295E+001                  1.0385522980877668E+000                  4.5152135439594288E+000                 -9.3683945877914816E+000                  3.6754114325052316E+000                  7.1999999905301360E-001                  2.6600000094698617E-001                  1.4000000000000234E-002 
                                       2                  2.4477013153955053E+001                  1.0385478319158410E+000                  4.5156350723252947E+000                 -9.3655087633760949E+000                  3.6777439446125491E+000                  7.1999999905301348E-001                  2.6600000094698628E-001                  1.4000000000000234E-002 
                                       3                  2.4477013153934109E+001                  1.0385402390118119E+000                  4.5161664848396432E+000                 -9.3619117553353774E+000                  3.6806708455244244E+000                  7.1999999905301371E-001                  2.6600000094698606E-001                  1.4000000000000234E-002 
                                       4                  2.4477013153913166E+001                  1.0385327083423144E+000                  4.5170931427031631E+000                 -9.3557483287881809E+000                  3.6857381427452487E+000                  7.1999999905301360E-001                  2.6600000094698623E-001                  1.4000000000000234E-002 
                                       5                  2.4477013153860923E+001                  1.0385141872137706E+000                  4.5190026010834394E+000                 -9.3434592519622015E+000                  3.6960406663522143E+000                  7.1999999905301360E-001                  2.6600000094698623E-001                  1.4000000000000234E-002 
                                       6                  2.4477013153761735E+001                  1.0384799971011072E+000                  4.5216883805116703E+000                 -9.3270294141035919E+000                  3.7102389509369522E+000                  7.1999999905301393E-001                  2.6600000094698584E-001                  1.4000000000000234E-002 
                                       7                  2.4477013153646322E+001                  1.0384416825392284E+000                  4.5246457372482931E+000                 -9.3099873401833779E+000                  3.7255068270711522E+000                  7.1999999905301348E-001                  2.6600000094698634E-001                  1.4000000000000234E-002 
                                       8                  2.4477013153523085E+001                  1.0384023341623805E+000                  4.5269245808784966E+000                 -9.2975110097637366E+000                  3.7370389525996304E+000                  7.1999999905301315E-001                  2.6600000094698661E-001                  1.4000000000000234E-002 
                                       9                  2.4477013153460486E+001                  1.0383829097414481E+000                  4.5289719306514797E+000                 -9.2867852802560993E+000                  3.7472226800292381E+000                  7.1999999905301337E-001                  2.6600000094698639E-001                  1.4000000000000234E-002 
                                      10                  2.4477013153354857E+001                  1.0383509249704277E+000                  4.5319395545252776E+000                 -9.2719260009438909E+000                  3.7617288112962193E+000                  7.1999999905301337E-001                  2.6600000094698634E-001                  1.4000000000000234E-002 
                                      11                  2.4477013153214013E+001                  1.0383097026425492E+000                  4.5343098724145987E+000                 -9.2605475789644238E+000                  3.7731312957945824E+000                  7.1999999905301404E-001                  2.6600000094698578E-001                  1.4000000000000234E-002 
                                      12                  2.4477013153155326E+001                  1.0382929674857011E+000                  4.5363837934025453E+000                 -9.2509961769569724E+000                  3.7829510553054924E+000                  7.1999999905301393E-001                  2.6600000094698595E-001                  1.4000000000000123E-002 
                                      13                  2.4477013153037955E+001                  1.0382602196498705E+000                  4.5391143389043025E+000                 -9.2388531924121597E+000                  3.7957117393739019E+000                  7.1999999905301382E-001                  2.6600000094698600E-001                  1.4000000000000234E-002 
                                      14                  2.4477013152920591E+001                  1.0382283676636055E+000                  4.5424780054262479E+000                 -9.2245851413504205E+000                  3.8111572051170106E+000                  7.1999999905301348E-001                  2.6600000094698634E-001                  1.4000000000000234E-002 
                                      15                  2.4477013152744533E+001                  1.0381821213761628E+000                  4.5466004115792593E+000                 -9.2079363145346775E+000                  3.8297507516277247E+000                  7.1999999905301393E-001                  2.6600000094698589E-001                  1.4000000000000234E-002 
                                      16                  2.4477013152553390E+001                  1.0381337837325493E+000                  4.5507912025846062E+000                 -9.1918593617589455E+000                  3.8483062195103512E+000                  7.1999999905301426E-001                  2.6600000094698550E-001                  1.4000000000000234E-002 
