                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     265                                     1815                  2.5000000000000000E+001                  1.4000000000000000E-002                  6.7591192264674790E+006                  3.0473567114930233E+002                  1.3887758936021819E+004                  1.9954883052577946E+005                  7.7271455200429543E+001                 -4.1794061414966830E+000                  0.0000000000000000E+000                  1.2801423213505447E-033                  9.8274776986487367E-001                  1.1216998895942050E-003                  8.6025830938292664E-004                  2.0638416678413023E-004                  1.1495679819358187E-003                  2.4158521791746274E+001                 -1.4150690217825991E-006                  1.0139862891299826E+001                  1.1717461669916104E-004                  1.3668703677204817E+001                  1.3027359674060615E-002                  1.1460061859140570E-001                  7.6217654652350003E-002                  2.8361579014578260E-002                  7.2095288917323828E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4158520090142080E+001                  7.6097888035874448E+001                  2.4158507144313958E+001                  7.3692422500433210E+001                  1.3836524917917834E+006                  8.8848883643421141E+002                  1.2106571473304257E+006                  2.0205448648143187E+005                  1.3717035540447000E+005                  1.2268277304742960E+004                  1.1172853395728618E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  2.4158521791746274E+001                  1.8880190910927794E+000                  4.1426343442064741E+000                 -1.0252923096596108E+001                  2.2826711043611283E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                       2                  2.4158521791734195E+001                  1.8880189955123563E+000                  4.1426402407202723E+000                 -1.0252908788630554E+001                  2.2826936186150113E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                       3                  2.4158521791713518E+001                  1.8880188319455260E+000                  4.1426523250723575E+000                 -1.0252879466242339E+001                  2.2827397592593548E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                       4                  2.4158521791667066E+001                  1.8880184644059939E+000                  4.1426722882547722E+000                 -1.0252831023601388E+001                  2.2828159842588751E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                       5                  2.4158521791602613E+001                  1.8880179545027145E+000                  4.1426945460429270E+000                 -1.0252777007841297E+001                  2.2829009733173447E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                       6                  2.4158521791543389E+001                  1.8880174860023256E+000                  4.1427256976264788E+000                 -1.0252701413175481E+001                  2.2830199201255881E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                       7                  2.4158521791429472E+001                  1.8880165850968775E+000                  4.1427916727710867E+000                 -1.0252541323605326E+001                  2.2832718297434216E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                       8                  2.4158521791176554E+001                  1.8880145854985806E+000                  4.1428787584583358E+000                 -1.0252329905634932E+001                  2.2836043978704526E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                       9                  2.4158521790944871E+001                  1.8880127546727279E+000                  4.1430157399129000E+000                 -1.0251997491139530E+001                  2.2841274446579600E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      10                  2.4158521790413655E+001                  1.8880085599751371E+000                  4.1433051209087282E+000                 -1.0251295286676449E+001                  2.2852323975664799E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      11                  2.4158521789330255E+001                  1.8880000185025203E+000                  4.1437854649747727E+000                 -1.0250128702736866E+001                  2.2870670293442186E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      12                  2.4158521787723913E+001                  1.8879873872093509E+000                  4.1445646011661683E+000                 -1.0248236548207565E+001                  2.2900428472984893E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      13                  2.4158521784943712E+001                  1.8879656178109658E+000                  4.1462376234028744E+000                 -1.0244186266351909E+001                  2.2964262526517363E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      14                  2.4158521778214272E+001                  1.8879134011329581E+000                  4.1497819756983345E+000                 -1.0235621004671529E+001                  2.3099398257683448E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      15                  2.4158521764354706E+001                  1.8878079014530504E+000                  4.1542311030726422E+000                 -1.0224675870040041E+001                  2.3269909240072684E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      16                  2.4158521751330625E+001                  1.8877111612403368E+000                  4.1577210903876889E+000                 -1.0216036056402192E+001                  2.3403810472748114E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      17                  2.4158521742510150E+001                  1.8876468993212470E+000                  4.1599368001752124E+000                 -1.0210560192237036E+001                  2.3488698216966082E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      18                  2.4158521737137573E+001                  1.8876082339067650E+000                  4.1621139299858765E+000                 -1.0205236748665646E+001                  2.3571754057337859E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      19                  2.4158521728357321E+001                  1.8875457921162726E+000                  4.1653142888995163E+000                 -1.0197426105766871E+001                  2.3693645754390298E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      20                  2.4158521715882994E+001                  1.8874586156833126E+000                  4.1688042385886792E+000                 -1.0188880858199775E+001                  2.3826533069054538E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      21                  2.4158521704514655E+001                  1.8873806718734045E+000                  4.1713762320535785E+000                 -1.0182578920465664E+001                  2.3924370477237225E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      22                  2.4158521697869713E+001                  1.8873357499682164E+000                  4.1735182188499929E+000                 -1.0177390598102408E+001                  2.4005472312498224E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      23                  2.4158521689278231E+001                  1.8872783383091987E+000                  4.1763919049895986E+000                 -1.0170467820965701E+001                  2.4113975816520745E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      24                  2.4158521677046309E+001                  1.8871978540594336E+000                  4.1797994225654502E+000                 -1.0162267023705262E+001                  2.4242423624482132E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      25                  2.4158521663963995E+001                  1.8871133364181543E+000                  4.1830244526437399E+000                 -1.0154517941038154E+001                  2.4363755706001604E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      26                  2.4158521652456056E+001                  1.8870402649633498E+000                  4.1872376799116520E+000                 -1.0144568809651416E+001                  2.4521157795719510E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      27                  2.4158521631044600E+001                  1.8869072941441356E+000                  4.1915195273912840E+000                 -1.0134304246692388E+001                  2.4681634402532553E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      28                  2.4158521617685143E+001                  1.8868262063637076E+000                  4.1944014956904745E+000                 -1.0127462728536686E+001                  2.4789182440681619E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      29                  2.4158521607030284E+001                  1.8867625136355259E+000                  4.1982933250122043E+000                 -1.0118391794782966E+001                  2.4933437564450536E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      30                  2.4158521584545852E+001                  1.8866307952617634E+000                  4.2026711615338828E+000                 -1.0108015372136155E+001                  2.5096384302086285E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      31                  2.4158521568295928E+001                  1.8865377752417627E+000                  4.2053169119290441E+000                 -1.0101741669547605E+001                  2.5194792927392369E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      32                  2.4158521560459931E+001                  1.8864935416850335E+000                  4.2082221557073893E+000                 -1.0094995129080035E+001                  2.5302088309969233E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      33                  2.4158521541416430E+001                  1.8863876449130934E+000                  4.2115390909730088E+000                 -1.0087150569227054E+001                  2.5425214263299365E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      34                  2.4158521528815971E+001                  1.8863187892285349E+000                  4.2135940485444792E+000                 -1.0082296431247608E+001                  2.5501430920226538E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      35                  2.4158521521386760E+001                  1.8862786281112061E+000                  4.2157130964030651E+000                 -1.0077344678035901E+001                  2.5579735614941752E+000                  7.1999999532972248E-001                  2.6600000467026591E-001                  1.4000000000011559E-002 
                                      36                  2.4158521507875932E+001                  1.8862063908030331E+000                  4.2188425344174671E+000                 -1.0070012896847492E+001                  2.5695428449951776E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
                                      37                  2.4158521489770244E+001                  1.8861111519168325E+000                  4.2217407154612383E+000                 -1.0063142891191955E+001                  2.5802923922333991E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
                                      38                  2.4158521477761521E+001                  1.8860489416406434E+000                  4.2251274734657560E+000                 -1.0055238823953335E+001                  2.5927895408743820E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
                                      39                  2.4158521453830616E+001                  1.8859271278491541E+000                  4.2287009563800479E+000                 -1.0046716140755871E+001                  2.6060607299633438E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
                                      40                  2.4158521438490581E+001                  1.8858505084708788E+000                  4.2308572300977803E+000                 -1.0041574892498462E+001                  2.6140662865895914E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
                                      41                  2.4158521429571547E+001                  1.8858064661765834E+000                  4.2332149226100722E+000                 -1.0036022406003310E+001                  2.6227850266715085E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
                                      42                  2.4158521411567580E+001                  1.8857186518242637E+000                  4.2358359400945886E+000                 -1.0029756083489442E+001                  2.6325217808905541E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
                                      43                  2.4158521398883998E+001                  1.8856576424874105E+000                  4.2389313749984510E+000                 -1.0022446524299102E+001                  2.6439758669726934E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
                                      44                  2.4158521374596400E+001                  1.8855426966730693E+000                  4.2418367606743068E+000                 -1.0015421299697580E+001                  2.6548053662432376E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
                                      45                  2.4158521363058522E+001                  1.8854889362853255E+000                  4.2445482206703762E+000                 -1.0008978505001124E+001                  2.6648570090278403E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
                                      46                  2.4158521340552085E+001                  1.8853855563846253E+000                  4.2485185531801983E+000                 -9.9994731769877596E+000                  2.6796094162248805E+000                  7.1999999532972248E-001                  2.6600000467026597E-001                  1.4000000000011559E-002 
