                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     700                                     1614                  2.5000000000000000E+001                  1.4000000000000000E-002                  9.2624193061366621E+006                  8.7622704220806227E+001                  2.7396393604707053E+004                  4.6108979338256869E+005                  3.0183166307902880E+001                 -5.0423231268610644E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8624905832631959E-001                  2.3078749882390448E-004                  8.1100819969604377E-003                  1.9386028887021994E-004                  1.1465554624537128E-003                  1.9863642376789596E+001                 -2.2058283593982946E-006                  7.2249694547893417E-001                  2.9814300091305575E-007                  1.8869964811011688E+001                  4.2195518275726885E-003                  1.6808698218280615E-001                  4.2053151409228414E-003                  2.2830279893647169E-002                  1.6746221189277417E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9863641956275139E+001                  2.8241223273770835E+001                  1.9863638434271902E+001                  2.4316823331734327E+001                  3.7252148256742558E+005                  6.6549838932017542E+002                  4.3079770278733160E+005                  2.6437023373621446E+005                  1.7409962614425569E+005                  2.5475482264176107E+003                  1.9328249534511822E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.9863642376789596E+001                  1.4797647966695593E+000                  4.4377002299831352E+000                 -1.0327663224324466E+001                  3.1920618243482348E+000                  5.1863304273985311E-001                  4.6770539349217527E-001                  1.3661563767971563E-002 
                                       2                  1.9863642376779666E+001                  1.4797632304137514E+000                  4.4377187556971540E+000                 -1.0327535254286694E+001                  3.1921423692294346E+000                  5.1863304273985311E-001                  4.6770539349217527E-001                  1.3661563767971563E-002 
                                       3                  1.9863642376762666E+001                  1.4797605507438243E+000                  4.4377421396580523E+000                 -1.0327373850598303E+001                  3.1922440271728290E+000                  5.1863304273985311E-001                  4.6770539349217527E-001                  1.3661563767971563E-002 
                                       4                  1.9863642376745670E+001                  1.4797578720200231E+000                  4.4377829907095103E+000                 -1.0327092295878579E+001                  3.1924215889204381E+000                  5.1863304273985311E-001                  4.6770539349217527E-001                  1.3661563767971563E-002 
                                       5                  1.9863642376703275E+001                  1.4797511944473489E+000                  4.4378642202252676E+000                 -1.0326533829442784E+001                  3.1927745540366401E+000                  5.1863304273985311E-001                  4.6770539349217527E-001                  1.3661563767971563E-002 
                                       6                  1.9863642376627542E+001                  1.4797392807843632E+000                  4.4380221053146558E+000                 -1.0325453834341859E+001                  3.1934601927288808E+000                  5.1863304273985311E-001                  4.6770539349217527E-001                  1.3661563767971563E-002 
                                       7                  1.9863642376473557E+001                  1.4797151145267742E+000                  4.4383305829431432E+000                 -1.0323364076033601E+001                  3.1947982571152802E+000                  5.1863304273985311E-001                  4.6770539349217527E-001                  1.3661563767971563E-002 
                                       8                  1.9863642376178291E+001                  1.4796689863496872E+000                  4.4389004053324559E+000                 -1.0319572901293446E+001                  3.1972646761079648E+000                  5.1863304273985311E-001                  4.6770539349217527E-001                  1.3661563767971563E-002 
                                       9                  1.9863642375642183E+001                  1.4795859237752358E+000                  4.4397259819595520E+000                 -1.0314223544360154E+001                  3.2008271834223208E+000                  5.1863304273985311E-001                  4.6770539349217527E-001                  1.3661563767971563E-002 
