                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     354                                     1282                  4.0000000000000000E+001                  1.4000000000000000E-002                  4.6329376960624596E+006                  1.3034957450855070E+004                  2.8408274023222064E+004                  4.2089911395589483E+005                  2.6819961201917369E+001                 -6.6169777072878846E+000                  5.5927253587372688E-004                  0.0000000000000000E+000                  9.8587273221397598E-001                  2.1616004160292216E-004                  8.7632483615610983E-003                  1.8933706759906207E-004                  1.1416428486353330E-003                  3.6334391671764443E+001                 -6.8515552605048290E-007                  1.2257969436932660E+001                  4.7165483748541441E-005                  2.3574199405062657E+001                  4.6979400870714892E-003                  2.6228945088814831E-001                  7.6202652603760274E-002                  4.2330994959639184E-002                  1.3763419278186657E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6334391470511527E+001                  2.6490833319914639E+001                  3.6334389246533561E+001                  2.5764340235281260E+001                  2.3070756883982883E+005                  2.7452327359114706E+003                  8.6325654930154711E+005                  4.0349823691609822E+005                  4.0349265706800792E+005                  2.9591190423189687E-015                  2.7460543457622254E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  3.6334391671764443E+001                  1.4284581452603458E+000                  4.4534721869939329E+000                 -9.7619182075586046E+000                  3.3576501988663536E+000                  7.1712986251637734E-001                  2.6856499038050069E-001                  1.4305147103121918E-002 
                                       2                  3.6334391671746275E+001                  1.4284570353294175E+000                  4.4535461149312017E+000                 -9.7617005744580325E+000                  3.3579453771566059E+000                  7.1712986251637734E-001                  2.6856499038050069E-001                  1.4305147103121918E-002 
                                       3                  3.6334391671715181E+001                  1.4284551367750344E+000                  4.4536684604966501E+000                 -9.7613408815535152E+000                  3.3584337482305497E+000                  7.1712986251637734E-001                  2.6856499038050069E-001                  1.4305147103121918E-002 
                                       4                  3.6334391671664712E+001                  1.4284520568026036E+000                  4.4539183840267134E+000                 -9.7606083537325325E+000                  3.3594307675382682E+000                  7.1712986251637745E-001                  2.6856499038050069E-001                  1.4305147103121918E-002 
                                       5                  3.6334391671548381E+001                  1.4284449707723148E+000                  4.4542775673543655E+000                 -9.7595585502938711E+000                  3.3608628663386044E+000                  7.1712986251637734E-001                  2.6856499038050069E-001                  1.4305147103121918E-002 
                                       6                  3.6334391671424456E+001                  1.4284374398076560E+000                  4.4548169608862889E+000                 -9.7579870451005331E+000                  3.3630121660549230E+000                  7.1712986251637745E-001                  2.6856499038050069E-001                  1.4305147103121918E-002 
                                       7                  3.6334391671186353E+001                  1.4284230208244058E+000                  4.4558912657085576E+000                 -9.7548660964626599E+000                  3.3672906902314677E+000                  7.1712986251637734E-001                  2.6856499038050069E-001                  1.4305147103121918E-002 
                                       8                  3.6334391670698515E+001                  1.4283936865907234E+000                  4.4572531976454126E+000                 -9.7508758293566586E+000                  3.3727246822244545E+000                  7.1712986251637734E-001                  2.6856499038050069E-001                  1.4305147103121918E-002 
                                       9                  3.6334391670254242E+001                  1.4283672107143452E+000                  4.4590165120972483E+000                 -9.7457520716427144E+000                  3.3797493099463201E+000                  7.1712986251637734E-001                  2.6856499038050069E-001                  1.4305147103121918E-002 
                                      10                  3.6334391669476446E+001                  1.4283213915853183E+000                  4.4622317623008074E+000                 -9.7364753872560108E+000                  3.3925427909557104E+000                  7.1712986251480593E-001                  2.6856499038272574E-001                  1.4305147102468330E-002 
                                      11                  3.6334391667978103E+001                  1.4282349515374431E+000                  4.4657266333871499E+000                 -9.7260696815144243E+000                  3.4065434879616237E+000                  7.1712986251480582E-001                  2.6856499038272585E-001                  1.4305147102468330E-002 
                                      12                  3.6334391666909518E+001                  1.4281747333886159E+000                  4.4687239448985085E+000                 -9.7172344693268986E+000                  3.4185309040266536E+000                  7.1712986251480582E-001                  2.6856499038272591E-001                  1.4305147102468219E-002 
                                      13                  3.6334391665714818E+001                  1.4281087357889488E+000                  4.4713379249417562E+000                 -9.7094198914026215E+000                  3.4290196079077075E+000                  7.1712986251480582E-001                  2.6856499038272597E-001                  1.4305147102468219E-002 
                                      14                  3.6334391664878538E+001                  1.4280633438547448E+000                  4.4744973279541798E+000                 -9.7001947444049730E+000                  3.4416411947165431E+000                  7.1712986251480582E-001                  2.6856499038272602E-001                  1.4305147102468219E-002 
                                      15                  3.6334391663205963E+001                  1.4279744268149168E+000                  4.4784984911484758E+000                 -9.6882241097677468E+000                  3.4577149022740974E+000                  7.1712986251480570E-001                  2.6856499038272602E-001                  1.4305147102468219E-002 
                                      16                  3.6334391661578806E+001                  1.4278902250284513E+000                  4.4825722548356257E+000                 -9.6760452886070514E+000                  3.4740896090374460E+000                  7.1712986251480582E-001                  2.6856499038272602E-001                  1.4305147102468219E-002 
                                      17                  3.6334391659719188E+001                  1.4277965980143428E+000                  4.4857063033108249E+000                 -9.6664092684331315E+000                  3.4867696545390907E+000                  7.1712986251480570E-001                  2.6856499038272608E-001                  1.4305147102468219E-002 
                                      18                  3.6334391658789379E+001                  1.4277507896994306E+000                  4.4884321818605750E+000                 -9.6582501856872423E+000                  3.4977427392709504E+000                  7.1712986251480570E-001                  2.6856499038272608E-001                  1.4305147102468219E-002 
                                      19                  3.6334391657239699E+001                  1.4276758321933163E+000                  4.4914051751376336E+000                 -9.6491504056288093E+000                  3.5097730554164088E+000                  7.1712986251480570E-001                  2.6856499038272613E-001                  1.4305147102468219E-002 
                                      20                  3.6334391655999951E+001                  1.4276170824601415E+000                  4.4946231250067346E+000                 -9.6394269377537238E+000                  3.5227674173768078E+000                  7.1712986251480559E-001                  2.6856499038272613E-001                  1.4305147102468219E-002 
                                      21                  3.6334391654140333E+001                  1.4275308658117802E+000                  4.4989667881435498E+000                 -9.6262187810056670E+000                  3.5403437923050243E+000                  7.1712986251480559E-001                  2.6856499038272613E-001                  1.4305147102468219E-002 
                                      22                  3.6334391651660845E+001                  1.4274192775741319E+000                  4.5025270119641858E+000                 -9.6149749317681295E+000                  3.5548777288930919E+000                  7.1712986251480570E-001                  2.6856499038272619E-001                  1.4305147102468108E-002 
                                      23                  3.6334391650421104E+001                  1.4273648782425639E+000                  4.5048370436780534E+000                 -9.6078007048738634E+000                  3.5642794784489347E+000                  7.1712986251480559E-001                  2.6856499038272619E-001                  1.4305147102468219E-002 
                                      24                  3.6334391649189016E+001                  1.4273116812019915E+000                  4.5082118130215854E+000                 -9.5974831830553011E+000                  3.5779758392842638E+000                  7.1712986251480570E-001                  2.6856499038272619E-001                  1.4305147102468108E-002 
                                      25                  3.6334391646724860E+001                  1.4272077285282816E+000                  4.5125177961389245E+000                 -9.5839721518352885E+000                  3.5955586208889856E+000                  7.1712986251480559E-001                  2.6856499038272624E-001                  1.4305147102468219E-002 
                                      26                  3.6334391644274532E+001                  1.4271074550705622E+000                  4.5156076985923583E+000                 -9.5740594284258496E+000                  3.6082431937824651E+000                  7.1712986251480559E-001                  2.6856499038272619E-001                  1.4305147102468219E-002 
                                      27                  3.6334391643057238E+001                  1.4270587393319405E+000                  4.5186005588073437E+000                 -9.5647610890852981E+000                  3.6204496687980607E+000                  7.1712986251480559E-001                  2.6856499038272624E-001                  1.4305147102468219E-002 
                                      28                  3.6334391640644185E+001                  1.4269641687411558E+000                  4.5214700555486784E+000                 -9.5555240825322869E+000                  3.6322474204663302E+000                  7.1712986251480559E-001                  2.6856499038272619E-001                  1.4305147102468219E-002 
                                      29                  3.6334391639453273E+001                  1.4269184556477350E+000                  4.5242012964234926E+000                 -9.5469930546857267E+000                  3.6434069876742630E+000                  7.1712986251480559E-001                  2.6856499038272624E-001                  1.4305147102468219E-002 
                                      30                  3.6334391637145359E+001                  1.4268315493309294E+000                  4.5276097242460658E+000                 -9.5361694806790975E+000                  3.6573865003240535E+000                  7.1712986251480559E-001                  2.6856499038272630E-001                  1.4305147102468108E-002 
                                      31                  3.6334391634945156E+001                  1.4267506915142139E+000                  4.5315664638399076E+000                 -9.5237751508504154E+000                  3.6735692028105675E+000                  7.1712986251480559E-001                  2.6856499038272630E-001                  1.4305147102468108E-002 
                                      32                  3.6334391631746279E+001                  1.4266363632630235E+000                  4.5357950126031099E+000                 -9.5103281917168925E+000                  3.6909196866334226E+000                  7.1712986251480559E-001                  2.6856499038272630E-001                  1.4305147102468108E-002 
                                      33                  3.6334391628934888E+001                  1.4265388757119954E+000                  4.5388247304407416E+000                 -9.5006341273967969E+000                  3.7033656281995766E+000                  7.1712986251480559E-001                  2.6856499038272624E-001                  1.4305147102468219E-002 
                                      34                  3.6334391627288653E+001                  1.4264830213903827E+000                  4.5419071453337834E+000                 -9.4910495207917709E+000                  3.7159458276607329E+000                  7.1712986251480548E-001                  2.6856499038272630E-001                  1.4305147102468219E-002 
                                      35                  3.6334391624299847E+001                  1.4263837761281983E+000                  4.5458724926998357E+000                 -9.4786039469222256E+000                  3.7321559972390670E+000                  7.1712986251480559E-001                  2.6856499038272630E-001                  1.4305147102468108E-002 
                                      36                  3.6334391621120403E+001                  1.4262811116705765E+000                  4.5504490593021725E+000                 -9.4644179844678629E+000                  3.7508049276758753E+000                  7.1712986251480559E-001                  2.6856499038272630E-001                  1.4305147102468108E-002 
                                      37                  3.6334391616919874E+001                  1.4261497287617282E+000                  4.5540930929397536E+000                 -9.4528400553830849E+000                  3.7657266836665553E+000                  7.1712986251480548E-001                  2.6856499038272630E-001                  1.4305147102468219E-002 
                                      38                  3.6334391614990288E+001                  1.4260909250222082E+000                  4.5566337664935253E+000                 -9.4450029831130369E+000                  3.7760587999535398E+000                  7.1712986251480559E-001                  2.6856499038272630E-001                  1.4305147102468108E-002 
                                      39                  3.6334391612552508E+001                  1.4260179295043838E+000                  4.5593947939196804E+000                 -9.4364793069583506E+000                  3.7872843045325353E+000                  7.1712986251480559E-001                  2.6856499038272630E-001                  1.4305147102468108E-002 
                                      40                  3.6334391610129302E+001                  1.4259467449181233E+000                  4.5627244927439570E+000                 -9.4263443399345643E+000                  3.8007733716091310E+000                  7.1712986251480559E-001                  2.6856499038272635E-001                  1.4305147102467997E-002 
                                      41                  3.6334391606546610E+001                  1.4258438648925966E+000                  4.5665522798300540E+000                 -9.4146356633936144E+000                  3.8162868074368181E+000                  7.1712986251480548E-001                  2.6856499038272630E-001                  1.4305147102468219E-002 
                                      42                  3.6334391602994209E+001                  1.4257444990261463E+000                  4.5697540614042813E+000                 -9.4048232270948962E+000                  3.8292604050086045E+000                  7.1712986251480548E-001                  2.6856499038272630E-001                  1.4305147102468219E-002 
