                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     400                                     1774                  4.0000000000000000E+001                  1.4000000000000000E-002                  4.6440175853669606E+006                  5.2271935414605800E+001                  1.6826171084958773E+004                  4.8370865799613891E+005                  8.1955889101085248E+001                 -4.7873913514724720E+000                  7.1958028767225821E-030                  0.0000000000000000E+000                  9.8581440211052740E-001                  2.9092838071154939E-004                  6.7617245091599124E-003                  1.8823369261872721E-004                  1.1414843509742699E-003                  3.6292303991223676E+001                 -7.1912521441784539E-006                  1.2156554521519439E+001                  2.4605325707214040E-005                  2.3630818509861459E+001                  6.1059439550440317E-003                  2.4986462881714766E-001                  7.4956381988113607E-002                  4.2273530358622774E-002                  1.3396828257786993E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6292301637047686E+001                  8.0562433760872111E+001                  3.6292286687951396E+001                  7.8273996981536783E+001                  1.2330950395455083E+006                  7.7991018479599552E+002                  7.5029262741692271E+005                  4.7082800349059247E+005                  3.4433610087401525E+005                  4.9211922229325610E+003                  3.3495215454997146E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  3.6292303991223676E+001                  1.9135801661092227E+000                  4.2259875488594218E+000                 -1.0265871785028306E+001                  2.5047937594873839E+000                  7.1712873475304728E-001                  2.6856574598614524E-001                  1.4305519260807475E-002 
                                       2                  3.6292303991205529E+001                  1.9135800421215146E+000                  4.2259936448710826E+000                 -1.0265854444267671E+001                  2.5048178351526906E+000                  7.1712873475304728E-001                  2.6856574598614524E-001                  1.4305519260807475E-002 
                                       3                  3.6292303991174478E+001                  1.9135798299427051E+000                  4.2260037389335308E+000                 -1.0265825731024156E+001                  2.5048577006038739E+000                  7.1712873475304717E-001                  2.6856574598614535E-001                  1.4305519260807475E-002 
                                       4                  3.6292303991124058E+001                  1.9135794854737063E+000                  4.2260243784694245E+000                 -1.0265767025128781E+001                  2.5049392125235883E+000                  7.1712873475304673E-001                  2.6856574598614558E-001                  1.4305519260807698E-002 
                                       5                  3.6292303991007863E+001                  1.9135786917550335E+000                  4.2260540985743820E+000                 -1.0265682484446106E+001                  2.5050565886576064E+000                  7.1712873475304539E-001                  2.6856574598614652E-001                  1.4305519260808142E-002 
                                       6                  3.6292303990884079E+001                  1.9135778463594020E+000                  4.2260988712729048E+000                 -1.0265555149033458E+001                  2.5052334043415181E+000                  7.1712873475304206E-001                  2.6856574598614874E-001                  1.4305519260809252E-002 
                                       7                  3.6292303990646253E+001                  1.9135762224605464E+000                  4.2261886013912768E+000                 -1.0265300014674407E+001                  2.5055877411454257E+000                  7.1712873475303074E-001                  2.6856574598615629E-001                  1.4305519260813027E-002 
                                       8                  3.6292303990158985E+001                  1.9135728973453610E+000                  4.2263036995762180E+000                 -1.0264972618417053E+001                  2.5060423000102952E+000                  7.1712873475300420E-001                  2.6856574598617416E-001                  1.4305519260821686E-002 
                                       9                  3.6292303989715222E+001                  1.9135698713310774E+000                  4.2264544514759059E+000                 -1.0264544082312597E+001                  2.5066375603966460E+000                  7.1712873475295491E-001                  2.6856574598620719E-001                  1.4305519260837896E-002 
                                      10                  3.6292303988938329E+001                  1.9135645787597866E+000                  4.2267347498847210E+000                 -1.0263747846351636E+001                  2.5077441316148734E+000                  7.1712873475281658E-001                  2.6856574598629990E-001                  1.4305519260883526E-002 
