                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9575      5.0000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                   total_angular_momentum                              num_retries                              num_backups                                num_iters 
                                       1                                     1175                  5.0000000000000000E+001                  1.6989700043360187E+000                  3.4997648450840764E+001                 -8.0297463686666344E+000                  1.8496236110746089E+001                  3.6980163170899394E-001                  7.8131867087272155E-008                  9.9999999999565425E-001                  9.9785979131998259E-001                  3.8056472835782895E-001                  7.8131867087272155E-008                  9.9999999999565425E-001                  9.9785979131998259E-001                  8.4805109839741970E+000                 -1.6462017607360913E+001                  3.9352286615330745E+000                  8.4805233575664900E+000                  5.1653484394773681E+000                  8.4803007383888822E+000                 -1.6462017607360913E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9159532549579218E+034                  8.5815378522657685E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6803968191666998E+000                  5.0519804574490621E+000                  6.8845542684375827E-001                  4.7599485000061881E+000                 -8.0284665655177269E-006                  7.7914485515715972E+000                  9.4775181233191463E-001                  1.7047123421476257E+001                  9.4775181233191463E-001                  7.7914485515715972E+000                  6.1207000887123808E-001                  8.5458120210112731E-001                  1.2833365439816975E+000                  7.0922556669782488E-001                  2.7663392085222360E-001                  1.2451213162562258E-004                  4.6287371265812810E-003                  2.3825110413126368E-003                  6.5335199888289404E-003                  3.5794137288744928E+001                  1.3499939769222895E+001                  0.0000000000000000E+000                                        1                                        0                                      120 
                                       2                                     1269                  9.9524101303932355E+001                  1.6948166032962106E+000                  3.4997648416581185E+001                 -7.0988489027449573E+000                  4.9285281405487503E+001                  9.8569901911370483E-001                  7.8131873859632606E-008                  9.9999999956545227E-001                  9.9999999749712032E-001                  9.8643807580632514E-001                  7.8131873859632606E-008                  9.9999999956545227E-001                  9.9999999749712032E-001                  7.3435077538315143E+000                 -2.0740976332559949E+001                  2.1622562445653899E+000                  7.3435106149205396E+000                  5.6099801240872749E+000                  7.3354112289524025E+000                 -2.0740976332559949E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0063394755768803E+034                  7.1932166136496906E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6356707892674489E+000                  5.0701411446435616E+000                  7.8698783023950880E-001                  4.5628836589551067E+000                  1.5890370717479530E-005                  7.6974578067046533E+000                  6.6230631897345249E-001                  1.6670156363750525E+001                  6.6230631897345249E-001                  7.6974578067046533E+000                  6.0931266210455937E-001                  8.5776013725916689E-001                  1.2755712441685831E+000                  7.1558600923845139E-001                  2.7016148977541399E-001                  3.0121576273654512E-004                  5.7826351337560283E-003                  2.3825110413126381E-003                  6.5335199888289430E-003                  3.5782330803473606E+001                  1.3505194971473665E+001                  0.0000000000000000E+000                                        1                                        0                                        7 
                                       3                                     1271                  1.3914338234707824E+002                  1.5979065902881542E+000                  3.4997648385630988E+001                 -7.0460575523471407E+000                  4.8719788114061316E+001                  9.7404885882568659E-001                  7.8131879188703124E-008                  9.9999999896779079E-001                  9.9999999389716077E-001                  9.7609797571889489E-001                  7.8131879188703124E-008                  9.9999999896779079E-001                  9.9999999389716077E-001                  6.8285290605694042E+000                 -2.1872413723570524E+001                  1.7044827504271525E+000                  6.8285323244658338E+000                  5.0370017964762823E+000                  6.8214530208296322E+000                 -2.1872413723570524E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3960922227716256E+034                  6.7242813660357734E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6435105684809486E+000                  5.1685316695408936E+000                  8.2050353426117539E-001                  4.4958522199615780E+000                  8.5711977721406661E-006                  7.6742574733773363E+000                  5.9308734698135579E-001                  1.6576926022214039E+001                  5.9308734698135579E-001                  7.6742574733773363E+000                  6.1113220154104164E-001                  8.5773364554691311E-001                  1.2756480197370430E+000                  7.1553114435133380E-001                  2.7019438738879276E-001                  1.6931384947579226E-004                  5.7763021090139572E-003                  2.3825110413126381E-003                  6.5335199888289352E-003                  3.5779537819032782E+001                  1.3506909141633521E+001                  0.0000000000000000E+000                                        1                                        0                                        6 
                                       4                                     1247                  1.7083880718159494E+002                  1.5009965772800977E+000                  3.4997648344845025E+001                 -6.8293002195999861E+000                  4.7502874214253858E+001                  9.4949464242698722E-001                  7.8131886294130481E-008                  9.9999999890419633E-001                  9.9999999271593909E-001                  9.5288682633632793E-001                  7.8131886294130481E-008                  9.9999999890419633E-001                  9.9999999271593909E-001                  6.5812800927169208E+000                 -2.2398666451998306E+001                  1.4938835803324211E+000                  6.5812836440059792E+000                  4.7518438912195240E+000                  6.5747999562893655E+000                 -2.2398666451998306E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0451121540061134E+034                  6.4536769693429808E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6505171253823869E+000                  5.2329579641593833E+000                  8.3870356776754273E-001                  4.4594521121628778E+000                  7.3855133476792256E-006                  7.6637052955745348E+000                  5.6172326630705294E-001                  1.6534601681039231E+001                  5.6172326630705294E-001                  7.6637052955745348E+000                  6.1196022544150985E-001                  8.5772092169069725E-001                  1.2756833033156436E+000                  7.1550488791039857E-001                  2.7021357738904073E-001                  1.2657943663887646E-004                  5.7727459640312447E-003                  2.3825110413126390E-003                  6.5335199888289447E-003                  3.5778283984240140E+001                  1.3507820831254392E+001                  0.0000000000000000E+000                                        1                                        0                                        6 
                                       5                                     1229                  1.9764132541402284E+002                  1.4281756001134449E+000                  3.4997648297125146E+001                 -6.6882907410254333E+000                  4.6622820754770530E+001                  9.3093855167445139E-001                  7.8131894731825469E-008                  9.9999999890883084E-001                  9.9999999215606783E-001                  9.3693384150104486E-001                  7.8131894731825469E-008                  9.9999999890883084E-001                  9.9999999215606783E-001                  6.4346807767829111E+000                 -2.2716633196902027E+001                  1.3673345547738642E+000                  6.4346844958689848E+000                  4.5720195019148537E+000                  6.4286812173099310E+000                 -2.2716633196902027E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8328028366589758E+034                  6.2822037529859092E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6549816559803974E+000                  5.2747464020459054E+000                  8.5066872551478356E-001                  4.4355217489485206E+000                  7.2912208949863948E-006                  7.6574007528989245E+000                  5.4303571144679341E-001                  1.6509348616534794E+001                  5.4303571144679341E-001                  7.6574007528989245E+000                  6.1245507389896070E-001                  8.5771307781006279E-001                  1.2757044049465673E+000                  7.1548880870503750E-001                  2.7022652416894338E-001                  1.0702023305132760E-004                  5.7703936562497667E-003                  2.3825110413126394E-003                  6.5335199888289439E-003                  3.5777529018692512E+001                  1.3508423544671139E+001                  0.0000000000000000E+000                                        1                                        0                                        5 
                                       6                                     1219                  2.2980434729293631E+002                  1.5073568461610698E+000                  3.4997648226527957E+001                 -6.5973839261353326E+000                  4.5950849147465952E+001                  9.1857490927440211E-001                  7.8131908498590974E-008                  9.9999999891470615E-001                  9.9999999180226407E-001                  9.2442493748762511E-001                  7.8131908498590974E-008                  9.9999999891470615E-001                  9.9999999180226407E-001                  6.3101276193341418E+000                 -2.2999329183860173E+001                  1.2552548166047734E+000                  6.3101314467847489E+000                  4.4080313543900926E+000                  6.3046521302880567E+000                 -2.2999329183860173E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6440000117220669E+034                  6.1359576435261332E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6586408231148493E+000                  5.3119104417224685E+000                  8.6193241108416252E-001                  4.4129943072125721E+000                  6.3996387593421863E-006                  7.6518396655703498E+000                  5.2659511020948313E-001                  1.6487102235658238E+001                  5.2659511020948313E-001                  7.6518396655703498E+000                  6.1289174119620493E-001                  8.5770589215012616E-001                  1.2757232254499860E+000                  7.1547418192854872E-001                  2.7023917745778891E-001                  9.3953231544486140E-005                  5.7681331251524890E-003                  2.3825110413126390E-003                  6.5335199888289439E-003                  3.5776848632844839E+001                  1.3509004551475565E+001                  0.0000000000000000E+000                                        1                                        0                                        5 
                                       7                                     1208                  2.6839997354763250E+002                  1.5865380922086947E+000                  3.4997648124540859E+001                 -6.5168074397167342E+000                  4.5193311818432875E+001                  9.0283222076999647E-001                  7.8131926928293183E-008                  9.9999999888985103E-001                  9.9999999145007812E-001                  9.0969662880283686E-001                  7.8131926928293183E-008                  9.9999999888985103E-001                  9.9999999145007812E-001                  6.2020497061008273E+000                 -2.3257260600945813E+001                  1.1533428049169170E+000                  6.2020535882790497E+000                  4.2543397150968110E+000                  6.1971232431245644E+000                 -2.3257260600945813E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4784334775549820E+034                  5.9966550649213866E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6614472896832284E+000                  5.3445576642337498E+000                  8.7264308920304545E-001                  4.3915728489877068E+000                  5.6652771911855669E-006                  7.6468014348370978E+000                  5.1174151197001605E-001                  1.6466974827646496E+001                  5.1174151197001605E-001                  7.6468014348370978E+000                  6.1328763757269134E-001                  8.5769902267615838E-001                  1.2757408322946266E+000                  7.1546028140155016E-001                  2.7025184493672993E-001                  8.4989674237423240E-005                  5.7659033746561856E-003                  2.3825110413126368E-003                  6.5335199888289421E-003                  3.5776210245347542E+001                  1.3509575261879991E+001                  0.0000000000000000E+000                                        1                                        0                                        5 
                                       8                                     1200                  3.1471472505326790E+002                  1.6657193382563196E+000                  3.4997647980522068E+001                 -6.4461148969378579E+000                  4.4368893894839857E+001                  8.8606835327722355E-001                  7.8131952796489657E-008                  9.9999999889983582E-001                  9.9999999109551341E-001                  8.9398261308282434E-001                  7.8131952796489657E-008                  9.9999999889983582E-001                  9.9999999109551341E-001                  6.1066351042664104E+000                 -2.3496406284596993E+001                  1.0591467320725463E+000                  6.1066389973523654E+000                  4.1076742792492036E+000                  6.1022597894515700E+000                 -2.3496406284596993E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3300958152938789E+034                  5.8788522301323809E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6634874443142467E+000                  5.3732281735103316E+000                  8.8289803457929883E-001                  4.3710628142164127E+000                  5.0376375535459941E-006                  7.6421601542745776E+000                  4.9809909456363904E-001                  1.6448460279315700E+001                  4.9809909456363904E-001                  7.6421601542745776E+000                  6.1365271716471192E-001                  8.5769225943470906E-001                  1.2757578820527411E+000                  7.1544665729421375E-001                  2.7026472764978959E-001                  7.8740340916343598E-005                  5.7636659051189783E-003                  2.3825110413126381E-003                  6.5335199888289404E-003                  3.5775592184726207E+001                  1.3510143855988124E+001                  0.0000000000000000E+000                                        1                                        0                                        5 
                                       9                                     1195                  3.7029242686003039E+002                  1.7449005843039445E+000                  3.4997647781126389E+001                 -6.3839997162745670E+000                  4.3483851820435049E+001                  8.6866260302977938E-001                  7.8131989100782562E-008                  9.9999999888136371E-001                  9.9999999073286105E-001                  8.7588666298393114E-001                  7.8131989100782562E-008                  9.9999999888136371E-001                  9.9999999073286105E-001                  6.0212656747125939E+000                 -2.3719957985834924E+001                  9.7134409487050211E-001                  6.0212695460479670E+000                  3.9659542464690105E+000                  6.0174251396403937E+000                 -2.3719957985834924E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1975799460675535E+034                  5.7672984483768024E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6648786525940231E+000                  5.3985036287396042E+000                  8.9275334563438280E-001                  4.3513519927105628E+000                  4.4876497828426279E-006                  7.6378472561436501E+000                  4.8546375610353243E-001                  1.6431283314790374E+001                  4.8546375610353243E-001                  7.6378472561436501E+000                  6.1399244259292807E-001                  8.5768544802037205E-001                  1.2757748459418810E+000                  7.1543297983802256E-001                  2.7027799670844610E-001                  7.4325366248782405E-005                  5.7613895423880871E-003                  2.3825110413126394E-003                  6.5335199888289473E-003                  3.5774978500229167E+001                  1.3510716996354535E+001                  0.0000000000000000E+000                                        1                                        0                                        5 
