                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                       1                                     1175                  5.0000000000000000E+001                  1.4000000000000000E-002                  5.0000000000000000E+001                  5.0000000000000000E+001                  4.7906762123221408E+004                  1.1271467352499413E+005                  4.8804000943003025E+000                 -6.2629611187377323E+000                  7.0922556669782488E-001                  0.0000000000000000E+000                  2.7663392085222360E-001                  1.2451213162562258E-004                  5.0132662043109429E-003                  4.6287371265812810E-003                  1.1869941802532466E-003                  4.9999999533100265E+001                 -9.3379948770139931E-009                  3.5794137288744949E+001                  6.5129389574089449E-004                  1.3499939769222904E+001                  5.9342120871757754E-002                  1.3371816697464251E-001                  2.9071850102358238E-001                  5.9463776565893307E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9999999529337622E+001                  4.8724632619051800E+000                  4.9999999497318413E+001                  4.8606916641773106E+000                  1.5266226853310161E+004                  1.0668015923228629E+005                  4.4359796262030536E+006                  3.0235931833987385E+008                  3.0235070386791748E+008                  3.4512974664782667E-017                  2.6123170512884103E+007                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  4.9999999533100265E+001                  6.8845542684375827E-001                  4.6831238512444466E+000                 -8.5522392492567452E+000                  4.5035897310138679E+000                  7.1999999999999997E-001                  2.6600000000000001E-001                  1.4000000000000012E-002 
                                       2                  4.9999999533075261E+001                  6.8843978459978983E-001                  4.6903150468189319E+000                 -8.5199190626738677E+000                  4.5385882247698515E+000                  7.1999999999999997E-001                  2.6600000000000001E-001                  1.4000000000000012E-002 
                                       3                  4.9999999533032479E+001                  6.8841493154251665E-001                  4.6987516723719924E+000                 -8.4830710288670570E+000                  4.5790961109351018E+000                  7.1999999999999997E-001                  2.6600000000000001E-001                  1.4000000000000012E-002 
                                       4                  4.9999999532989698E+001                  6.8839209642141352E-001                  4.7123520411969890E+000                 -8.4280923781623436E+000                  4.6419140552874127E+000                  7.1999999999999575E-001                  2.6600000000000434E-001                  1.3999999999999901E-002 
                                       5                  4.9999999532882981E+001                  6.8834189772670296E-001                  4.7247927755448851E+000                 -8.3761717121759673E+000                  4.7004395930969709E+000                  7.1999999999999564E-001                  2.6600000000000434E-001                  1.4000000000000012E-002 
                                       6                  4.9999999532829619E+001                  6.8831962104611910E-001                  4.7324422691552472E+000                 -8.3458722917403314E+000                  4.7354956480300459E+000                  7.1999999999999575E-001                  2.6600000000000434E-001                  1.3999999999999901E-002 
                                       7                  4.9999999532776258E+001                  6.8829884247686191E-001                  4.7391986426340358E+000                 -8.3193255673659134E+000                  4.7663509643861000E+000                  7.1999999999999575E-001                  2.6600000000000434E-001                  1.3999999999999901E-002 
                                       8                  4.9999999532728317E+001                  6.8828127484690094E-001                  4.7452110990797571E+000                 -8.2959534887892321E+000                  4.7936725167651755E+000                  7.1999999999999564E-001                  2.6600000000000440E-001                  1.4000000000000012E-002 
                                       9                  4.9999999532680363E+001                  6.8826462568326807E-001                  4.7536919094122085E+000                 -8.2638781985882410E+000                  4.8316852590665178E+000                  7.1999999999999564E-001                  2.6600000000000440E-001                  1.4000000000000012E-002 
                                      10                  4.9999999532584461E+001                  6.8823369293555992E-001                  4.7647209744990748E+000                 -8.2218880416607973E+000                  4.8813250103602623E+000                  7.1999999999999564E-001                  2.6600000000000440E-001                  1.4000000000000012E-002 
                                      11                  4.9999999532472572E+001                  6.8820092336987360E-001                  4.7727253572016286E+000                 -8.1909587506831851E+000                  4.9176603284074369E+000                  7.1999999999999564E-001                  2.6600000000000440E-001                  1.4000000000000012E-002 
                                      12                  4.9999999532416624E+001                  6.8818566235395318E-001                  4.7777794799329278E+000                 -8.1719310285205076E+000                  4.9403009417791219E+000                  7.1999999999999564E-001                  2.6600000000000446E-001                  1.3999999999999901E-002 
                                      13                  4.9999999532360690E+001                  6.8817105402542134E-001                  4.7849753273316775E+000                 -8.1454017542979358E+000                  4.9721958612734038E+000                  7.1999999999999564E-001                  2.6600000000000440E-001                  1.4000000000000012E-002 
                                      14                  4.9999999532248808E+001                  6.8814356468023408E-001                  4.7937490728099030E+000                 -8.1126066867018718E+000                  5.0113861044065908E+000                  7.1999999999999564E-001                  2.6600000000000440E-001                  1.4000000000000012E-002 
                                      15                  4.9999999532136918E+001                  6.8811807004496428E-001                  4.8003893359641090E+000                 -8.0876712708678600E+000                  5.0411331367644241E+000                  7.1999999999999564E-001                  2.6600000000000440E-001                  1.4000000000000012E-002 
                                      16                  4.9999999532064997E+001                  6.8810259295456755E-001                  4.8053245457976690E+000                 -8.0694152663463576E+000                  5.0630735611582516E+000                  7.1999999999999564E-001                  2.6600000000000440E-001                  1.4000000000000012E-002 
                                      17                  4.9999999531993069E+001                  6.8808775142052736E-001                  4.8123637786537934E+000                 -8.0439061693064442E+000                  5.0940403454168344E+000                  7.1999999999999564E-001                  2.6600000000000440E-001                  1.4000000000000012E-002 
                                      18                  4.9999999531849213E+001                  6.8805975748591086E-001                  4.8188412757158297E+000                 -8.0197985255558351E+000                  5.1229525079769669E+000                  7.1999999999999564E-001                  2.6600000000000440E-001                  1.4000000000000012E-002 
                                      19                  4.9999999531777284E+001                  6.8804651443158793E-001                  4.8229755637982867E+000                 -8.0047208771833063E+000                  5.1412126672785039E+000                  7.1999999999999564E-001                  2.6600000000000446E-001                  1.3999999999999901E-002 
                                      20                  4.9999999531705363E+001                  6.8803372210420999E-001                  4.8269494741387131E+000                 -7.9902737250666638E+000                  5.1587379698169702E+000                  7.1999999999999564E-001                  2.6600000000000446E-001                  1.3999999999999901E-002 
                                      21                  4.9999999531633435E+001                  6.8802134724792741E-001                  4.8307750749330971E+000                 -7.9764069931081174E+000                  5.1755852891967837E+000                  7.1999999999999564E-001                  2.6600000000000446E-001                  1.3999999999999901E-002 
                                      22                  4.9999999531561507E+001                  6.8800936026257586E-001                  4.8356851909374958E+000                 -7.9588146752802853E+000                  5.1970798859906067E+000                  7.1999999999999553E-001                  2.6600000000000446E-001                  1.4000000000000012E-002 
                                      23                  4.9999999531441638E+001                  6.8799017299342369E-001                  4.8414838413161903E+000                 -7.9379343960674316E+000                  5.2225377477323587E+000                  7.1999999999999564E-001                  2.6600000000000451E-001                  1.3999999999999790E-002 
                                      24                  4.9999999531321755E+001                  6.8797188402951781E-001                  4.8496906620283555E+000                 -7.9090665786007026E+000                  5.2581336646209955E+000                  7.1999999999999564E-001                  2.6600000000000446E-001                  1.3999999999999901E-002 
                                      25                  4.9999999531082004E+001                  6.8793765220387015E-001                  4.8571546424829801E+000                 -7.8820055769322641E+000                  5.2910417577487463E+000                  7.1999999999999553E-001                  2.6600000000000446E-001                  1.4000000000000012E-002 
                                      26                  4.9999999530962121E+001                  6.8792156744555089E-001                  4.8607125287489676E+000                 -7.8692962704084266E+000                  5.3066078809620736E+000                  7.1999999999999564E-001                  2.6600000000000446E-001                  1.3999999999999901E-002 
                                      27                  4.9999999530902187E+001                  6.8791375636562924E-001                  4.8630287663584593E+000                 -7.8611116349200616E+000                  5.3166844479297248E+000                  7.1999999999999564E-001                  2.6600000000000446E-001                  1.3999999999999901E-002 
                                      28                  4.9999999530842246E+001                  6.8790609070371456E-001                  4.8664232884598375E+000                 -7.8492365062392642E+000                  5.3313750641740336E+000                  7.1999999999999564E-001                  2.6600000000000446E-001                  1.3999999999999901E-002 
                                      29                  4.9999999530722377E+001                  6.8789117174868064E-001                  4.8707670698732883E+000                 -7.8339698857288402E+000                  5.3502226625239881E+000                  7.1999999999999564E-001                  2.6600000000000451E-001                  1.3999999999999790E-002 
                                      30                  4.9999999530602501E+001                  6.8787676666549635E-001                  4.8773623114334486E+000                 -7.8112653398240219E+000                  5.3785312204229152E+000                  7.1999999999999553E-001                  2.6600000000000446E-001                  1.4000000000000012E-002 
                                      31                  4.9999999530342194E+001                  6.8784707579601434E-001                  4.8836325147159725E+000                 -7.7891324784103579E+000                  5.4058103170860798E+000                  7.1999999999999564E-001                  2.6600000000000446E-001                  1.3999999999999901E-002 
                                      32                  4.9999999530212037E+001                  6.8783296583672637E-001                  4.8876451973935255E+000                 -7.7752408168811131E+000                  5.4230908843847994E+000                  7.1999999999999564E-001                  2.6600000000000446E-001                  1.3999999999999901E-002 
                                      33                  4.9999999530081887E+001                  6.8781929875584258E-001                  4.8934315845304139E+000                 -7.7555455250278751E+000                  5.4477901563229558E+000                  7.1999999999999564E-001                  2.6600000000000451E-001                  1.3999999999999790E-002 
                                      34                  4.9999999529821579E+001                  6.8779317292218178E-001                  4.8988493241177755E+000                 -7.7367325916310996E+000                  5.4711654765720397E+000                  7.1999999999999553E-001                  2.6600000000000451E-001                  1.4000000000000012E-002 
                                      35                  4.9999999529691429E+001                  6.8778066211923283E-001                  4.9023363344947999E+000                 -7.7248225636532082E+000                  5.4860797698608357E+000                  7.1999999999999553E-001                  2.6600000000000451E-001                  1.4000000000000012E-002 
                                      36                  4.9999999529561279E+001                  6.8776848871111385E-001                  4.9073916225730976E+000                 -7.7078081115698796E+000                  5.5075350861308525E+000                  7.1999999999999553E-001                  2.6600000000000451E-001                  1.4000000000000012E-002 
                                      37                  4.9999999529300979E+001                  6.8774507441497601E-001                  4.9137443858582071E+000                 -7.6862872015705346E+000                  5.5345924052988149E+000                  7.1999999999999553E-001                  2.6600000000000451E-001                  1.4000000000000012E-002 
                                      38                  4.9999999529040672E+001                  6.8772278858837110E-001                  4.9197435981220243E+000                 -7.6660837921514924E+000                  5.5600674881425887E+000                  7.1999999999999553E-001                  2.6600000000000457E-001                  1.3999999999999901E-002 
                                      39                  4.9999999528780371E+001                  6.8770151255413126E-001                  4.9254278215770491E+000                 -7.6470500713751184E+000                  5.5841352689206118E+000                  7.1999999999999553E-001                  2.6600000000000451E-001                  1.4000000000000012E-002 
                                      40                  4.9999999528520064E+001                  6.8768114591239793E-001                  4.9303115677045843E+000                 -7.6307288744561408E+000                  5.6047938946384672E+000                  7.1999999999999553E-001                  2.6600000000000451E-001                  1.4000000000000012E-002 
                                      41                  4.9999999528309992E+001                  6.8766531392261276E-001                  4.9345039797572499E+000                 -7.6168314096319989E+000                  5.6224529543586428E+000                  7.1999999999999553E-001                  2.6600000000000451E-001                  1.4000000000000012E-002 
                                      42                  4.9999999528099927E+001                  6.8764997888707458E-001                  4.9385421902103817E+000                 -7.6035028129050133E+000                  5.6394242881903285E+000                  7.1999999999999553E-001                  2.6600000000000451E-001                  1.4000000000000012E-002 
                                      43                  4.9999999527889855E+001                  6.8763510578692888E-001                  4.9424378734760834E+000                 -7.5907007108690596E+000                  5.6557594780883429E+000                  7.1999999999999553E-001                  2.6600000000000451E-001                  1.4000000000000012E-002 
                                      44                  4.9999999527679783E+001                  6.8762066325375870E-001                  4.9480707259848558E+000                 -7.5725049442158854E+000                  5.6791680197768564E+000                  7.1999999999999553E-001                  2.6600000000000457E-001                  1.3999999999999901E-002 
                                      45                  4.9999999527259646E+001                  6.8759295935944054E-001                  4.9533710169640308E+000                 -7.5551022810276907E+000                  5.7013846309350917E+000                  7.1999999999999553E-001                  2.6600000000000457E-001                  1.3999999999999901E-002 
                                      46                  4.9999999527049575E+001                  6.8757964961600415E-001                  4.9567909689759606E+000                 -7.5440665197817509E+000                  5.7155901371505484E+000                  7.1999999999999553E-001                  2.6600000000000457E-001                  1.3999999999999901E-002 
                                      47                  4.9999999526839510E+001                  6.8756667264444582E-001                  4.9617614499817657E+000                 -7.5282807787874599E+000                  5.7360658205622395E+000                  7.1999999999999542E-001                  2.6600000000000457E-001                  1.4000000000000012E-002 
                                      48                  4.9999999526419366E+001                  6.8754164185086941E-001                  4.9680371644284191E+000                 -7.5083004789529539E+000                  5.7619522504532616E+000                  7.1999999999999553E-001                  2.6600000000000457E-001                  1.3999999999999901E-002 
                                      49                  4.9999999525999222E+001                  6.8751773250309656E-001                  4.9739898259569211E+000                 -7.4895252775685046E+000                  5.7863873504708971E+000                  7.1999999999999542E-001                  2.6600000000000457E-001                  1.4000000000000012E-002 
                                      50                  4.9999999525579092E+001                  6.8749483106556697E-001                  4.9782445196785501E+000                 -7.4761011968272060E+000                  5.8038553608619923E+000                  7.1999999999999553E-001                  2.6600000000000457E-001                  1.3999999999999901E-002 
                                      51                  4.9999999525369020E+001                  6.8748372757123333E-001                  4.9810095525200921E+000                 -7.4675016176977076E+000                  5.8151233297378377E+000                  7.1999999999999553E-001                  2.6600000000000457E-001                  1.3999999999999901E-002 
                                      52                  4.9999999525158948E+001                  6.8747284095080041E-001                  4.9848216492300343E+000                 -7.4557843541369087E+000                  5.8305644707896294E+000                  7.1999999999999542E-001                  2.6600000000000457E-001                  1.4000000000000012E-002 
                                      53                  4.9999999524775340E+001                  6.8745348820326935E-001                  4.9895554369097646E+000                 -7.4412294199444675E+000                  5.8497423583936596E+000                  7.1999999999999553E-001                  2.6600000000000457E-001                  1.3999999999999901E-002 
                                      54                  4.9999999524391740E+001                  6.8743477083428040E-001                  4.9941063315074956E+000                 -7.4273365550127455E+000                  5.8681121716750582E+000                  7.1999999999999553E-001                  2.6600000000000457E-001                  1.3999999999999901E-002 
                                      55                  4.9999999524008132E+001                  6.8741664044167072E-001                  4.9984880775692222E+000                 -7.4140488351421476E+000                  5.8857392947353757E+000                  7.1999999999999542E-001                  2.6600000000000462E-001                  1.4000000000000012E-002 
                                      56                  4.9999999523624524E+001                  6.8739905419891378E-001                  5.0048091396225542E+000                 -7.3952599400918411E+000                  5.9109110003031411E+000                  7.1999999999999542E-001                  2.6600000000000462E-001                  1.4000000000000012E-002 
                                      57                  4.9999999522857308E+001                  6.8736536496952860E-001                  5.0107351486535725E+000                 -7.3773481832529475E+000                  5.9347105170405658E+000                  7.1999999999999542E-001                  2.6600000000000462E-001                  1.4000000000000012E-002 
