                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     500                                     1531                  5.0000000000000000E+001                  1.4000000000000000E-002                  4.0286366320457328E+006                  2.1113073639797446E+002                  2.4145834848188762E+004                  6.6317527964996174E+005                  4.6600282489816514E+001                 -5.7860801929098722E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8643373626049446E-001                  2.5045780369806572E-004                  8.7165187039129934E-003                  1.8339129835208420E-004                  1.1377593519892473E-003                  4.2655720744823192E+001                 -1.7074995043847421E-005                  1.2121534590322351E+001                  2.2688009180957227E-005                  2.9948210535303033E+001                  7.2139202243620406E-003                  3.2912380664877833E-001                  6.2430950569181569E-002                  4.9438847394820448E-002                  1.8369304254047965E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2655720032425478E+001                  4.5799932744424659E+001                  4.2655713394719996E+001                  4.4179592940919598E+001                  4.8767192397342098E+005                  1.3820292331615613E+003                  6.4320432401125995E+005                  6.7062220226574934E+005                  6.7061795268304599E+005                  1.2917872125427720E-003                  4.5833211741401516E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  4.2655720744823192E+001                  1.6683885493809154E+000                  4.3828506629096848E+000                 -1.0057389589289295E+001                  3.0530817907827585E+000                  7.1541975843772343E-001                  2.7029189884957167E-001                  1.4288342712704960E-002 
                                       2                  4.2655720744801862E+001                  1.6683880588859175E+000                  4.3828733153043400E+000                 -1.0057324107328261E+001                  3.0531718134736474E+000                  7.1541975843772343E-001                  2.7029189884957167E-001                  1.4288342712704960E-002 
                                       3                  4.2655720744765361E+001                  1.6683872195973515E+000                  4.3829197302175222E+000                 -1.0057189965294352E+001                  3.0533562631412705E+000                  7.1541975843772343E-001                  2.7029189884957167E-001                  1.4288342712704960E-002 
                                       4                  4.2655720744683350E+001                  1.6683853341318129E+000                  4.3829874677504836E+000                 -1.0056994144364685E+001                  3.0536254607951130E+000                  7.1541975843772343E-001                  2.7029189884957167E-001                  1.4288342712704960E-002 
                                       5                  4.2655720744592301E+001                  1.6683832421899853E+000                  4.3831048841678273E+000                 -1.0056654989387475E+001                  3.0540920209342621E+000                  7.1541975843772343E-001                  2.7029189884957167E-001                  1.4288342712704960E-002 
                                       6                  4.2655720744383146E+001                  1.6683784400424420E+000                  4.3833596436648028E+000                 -1.0055919764807522E+001                  3.0551041663228653E+000                  7.1541975843772354E-001                  2.7029189884957161E-001                  1.4288342712704849E-002 
                                       7                  4.2655720743939987E+001                  1.6683682816062568E+000                  4.3838586612859025E+000                 -1.0054481352301673E+001                  3.0570863211393946E+000                  7.1541975843772354E-001                  2.7029189884957161E-001                  1.4288342712704849E-002 
                                       8                  4.2655720743101384E+001                  1.6683491203412115E+000                  4.3849429493785586E+000                 -1.0051372900785783E+001                  3.0613891519651504E+000                  7.1541975843772354E-001                  2.7029189884957167E-001                  1.4288342712704738E-002 
                                       9                  4.2655720741137820E+001                  1.6683045651125905E+000                  4.3873705253012272E+000                 -1.0044479250031237E+001                  3.0710068550326364E+000                  7.1541975843772321E-001                  2.7029189884957172E-001                  1.4288342712705071E-002 
                                      10                  4.2655720736739291E+001                  1.6682062811442544E+000                  4.3904363004086973E+000                 -1.0035576080447470E+001                  3.0832007496753504E+000                  7.1541975843772287E-001                  2.7029189884957194E-001                  1.4288342712705182E-002 
                                      11                  4.2655720732873860E+001                  1.6681216079329095E+000                  4.3930332483869066E+000                 -1.0028033890208112E+001                  3.0935302477768718E+000                  7.1541975843772254E-001                  2.7029189884957211E-001                  1.4288342712705404E-002 
                                      12                  4.2655720729560613E+001                  1.6680502419729475E+000                  4.3953798679257208E+000                 -1.0021244753586469E+001                  3.1028579739955546E+000                  7.1541975843772210E-001                  2.7029189884957233E-001                  1.4288342712705626E-002 
                                      13                  4.2655720726247381E+001                  1.6679799485867994E+000                  4.3972934717435814E+000                 -1.0015666118110168E+001                  3.1104748021496427E+000                  7.1541975843772165E-001                  2.7029189884957244E-001                  1.4288342712705848E-002 
                                      14                  4.2655720724046596E+001                  1.6679338341086709E+000                  4.3990471011211705E+000                 -1.0010616454479182E+001                  3.1174399365352956E+000                  7.1541975843772132E-001                  2.7029189884957266E-001                  1.4288342712706070E-002 
                                      15                  4.2655720721121952E+001                  1.6678732386814172E+000                  4.4019603631192759E+000                 -1.0002339969210276E+001                  3.1289842195497997E+000                  7.1541975843772077E-001                  2.7029189884957289E-001                  1.4288342712706292E-002 
                                      16                  4.2655720715373221E+001                  1.6677563074163426E+000                  4.4055758028113861E+000                 -9.9918441119180184E+000                  3.1433655125957189E+000                  7.1541975843771999E-001                  2.7029189884957322E-001                  1.4288342712706736E-002 
                                      17                  4.2655720710001546E+001                  1.6676495722311020E+000                  4.4094587114807293E+000                 -9.9807036684068766E+000                  3.1587798070066473E+000                  7.1541975843771921E-001                  2.7029189884957355E-001                  1.4288342712707180E-002 
