                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     660                                     1256                  2.5000000000000000E+001                  1.4000000000000000E-002                  9.2544522713526227E+006                  1.8380820813481328E+003                  2.8913323336761347E+004                  3.7382545914601226E+005                  2.4400416990775383E+001                 -6.5141803388652040E+000                  7.9508909210439249E-004                  2.6457522477923552E-016                  9.8563529940747685E-001                  2.0996878099401427E-004                  8.7670799479481372E-003                  1.9562400998744027E-004                  1.1467796464963830E-003                  1.9880019851022499E+001                 -1.5014026716662647E-006                  7.4566168056440907E-001                  3.1879649772167299E-007                  1.8864511244142758E+001                  3.9465274153485195E-003                  1.7431054731878473E-001                  4.2482566062648722E-003                  2.2853436530147118E-002                  1.6748885599694638E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9880019606373057E+001                  2.3471888356196214E+001                  1.9880017284846961E+001                  2.1683269059408879E+001                  2.7065810515928897E+005                  1.0170610971494010E+003                  5.3179951671663905E+005                  3.5900681759302272E+005                  3.5900218889372435E+005                  1.0207828707298824E-015                  2.4436574074940960E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.9880019851022499E+001                  1.3873972482750128E+000                  4.4611100219277953E+000                 -1.0093419967399230E+001                  3.3031899104090447E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                       2                  1.9880019851012559E+001                  1.3873955181389683E+000                  4.4611425805697102E+000                 -1.0093197105545563E+001                  3.3033361495782572E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                       3                  1.9880019850995549E+001                  1.3873925587323781E+000                  4.4611836753390479E+000                 -1.0092916182469601E+001                  3.3035206910222348E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                       4                  1.9880019850978542E+001                  1.3873896011790188E+000                  4.4612554614366653E+000                 -1.0092426562020130E+001                  3.3038429383554653E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                       5                  1.9880019850936108E+001                  1.3873822320414291E+000                  4.4613981821256941E+000                 -1.0091457021858426E+001                  3.3044832014378955E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                       6                  1.9880019850860315E+001                  1.3873690968880472E+000                  4.4616755083875352E+000                 -1.0089588162215518E+001                  3.3057257252256780E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                       7                  1.9880019850706201E+001                  1.3873425009170619E+000                  4.4622170443460600E+000                 -1.0085994809815272E+001                  3.3081460645521661E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                       8                  1.9880019850410690E+001                  1.3872919091920153E+000                  4.4632162740338188E+000                 -1.0079552600980993E+001                  3.3125918878135985E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                       9                  1.9880019849874138E+001                  1.3872013598134976E+000                  4.4646612379306143E+000                 -1.0070630850632766E+001                  3.3189784615603197E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      10                  1.9880019849201410E+001                  1.3870900592861908E+000                  4.4670442209984538E+000                 -1.0056948275137795E+001                  3.3293963947895597E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      11                  1.9880019847865029E+001                  1.3868755762767329E+000                  4.4698602518993962E+000                 -1.0042046197231352E+001                  3.3415660556415627E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      12                  1.9880019846797378E+001                  1.3867097853514283E+000                  4.4730861039863923E+000                 -1.0026811159938417E+001                  3.3552904746060288E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      13                  1.9880019845076060E+001                  1.3864513255111577E+000                  4.4774143653420859E+000                 -1.0008734415346872E+001                  3.3734211863826093E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      14                  1.9880019842984332E+001                  1.3861494687397158E+000                  4.4831609188891361E+000                 -9.9886375781859460E+000                  3.3970111102299310E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      15                  1.9880019839884969E+001                  1.3857213483741617E+000                  4.4878772151474031E+000                 -9.9723999101851106E+000                  3.4163591380471559E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      16                  1.9880019838528717E+001                  1.3855405016167230E+000                  4.4906692578948944E+000                 -9.9633369289343143E+000                  3.4277479533478457E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      17                  1.9880019837172465E+001                  1.3853631704738645E+000                  4.4937225102277925E+000                 -9.9535018606162229E+000                  3.4401978901119192E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      18                  1.9880019835485925E+001                  1.3851472993571681E+000                  4.4970078589399902E+000                 -9.9427661761128689E+000                  3.4536207648743704E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      19                  1.9880019833799388E+001                  1.3849363884554400E+000                  4.5017601729909718E+000                 -9.9280326452182894E+000                  3.4729401079417270E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      20                  1.9880019830454181E+001                  1.3845311441183681E+000                  4.5083002675176465E+000                 -9.9071121470272399E+000                  3.4996265689718897E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      21                  1.9880019826497559E+001                  1.3840730097946070E+000                  4.5132830005015361E+000                 -9.8901706330956447E+000                  3.5200984776553832E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      22                  1.9880019824565508E+001                  1.3838573561596679E+000                  4.5156662779809658E+000                 -9.8823670172254392E+000                  3.5298491279186401E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      23                  1.9880019823599479E+001                  1.3837513317852344E+000                  4.5172326013195212E+000                 -9.8773880436831583E+000                  3.5362362138246741E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      24                  1.9880019822633454E+001                  1.3836464396031452E+000                  4.5199279205528251E+000                 -9.8691678711644037E+000                  3.5471772848325518E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      25                  1.9880019820226387E+001                  1.3833896577717182E+000                  4.5236590172497131E+000                 -9.8574400203619241E+000                  3.5623653162656717E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      26                  1.9880019817819321E+001                  1.3831392791844512E+000                  4.5286056156801866E+000                 -9.8426806241819556E+000                  3.5823808315074439E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      27                  1.9880019813634650E+001                  1.3827175641271052E+000                  4.5337093412668965E+000                 -9.8265374012992464E+000                  3.6031439065011734E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      28                  1.9880019810680441E+001                  1.3824300097908808E+000                  4.5376304194243247E+000                 -9.8145396922315751E+000                  3.6190276314560892E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      29                  1.9880019807953364E+001                  1.3821713089125813E+000                  4.5408888845219817E+000                 -9.8045697023479903E+000                  3.6322183249580342E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      30                  1.9880019805813490E+001                  1.3819726059432025E+000                  4.5442581446001489E+000                 -9.7946279357545496E+000                  3.6457968357905286E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      31                  1.9880019802795946E+001                  1.3816982983352990E+000                  4.5476963999928923E+000                 -9.7842259303320489E+000                  3.6596802429175517E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      32                  1.9880019800384606E+001                  1.3814839234612803E+000                  4.5519154620547049E+000                 -9.7721747751721733E+000                  3.6766032417427179E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      33                  1.9880019795952943E+001                  1.3810999262991372E+000                  4.5564803246684571E+000                 -9.7583827205079441E+000                  3.6950050792027640E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      34                  1.9880019792662033E+001                  1.3808230555871650E+000                  4.5597673207693923E+000                 -9.7485610354996357E+000                  3.7082310465435904E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      35                  1.9880019790211527E+001                  1.3806211665886530E+000                  4.5643482622062139E+000                 -9.7359130998004098E+000                  3.7265032388245629E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      36                  1.9880019784452109E+001                  1.3801592288503344E+000                  4.5688190616613662E+000                 -9.7221464424453643E+000                  3.7445261032985475E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      37                  1.9880019781803945E+001                  1.3799529828673691E+000                  4.5727635151952706E+000                 -9.7111036629126790E+000                  3.7602602900619853E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      38                  1.9880019776835923E+001                  1.3795750124068371E+000                  4.5774995272608763E+000                 -9.6972620648682781E+000                  3.7792245638766295E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      39                  1.9880019772283056E+001                  1.3792386641798768E+000                  4.5809303389823617E+000                 -9.6870416258345404E+000                  3.7929837025242721E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      40                  1.9880019769685482E+001                  1.3790508894531359E+000                  4.5841401471034002E+000                 -9.6780234495254085E+000                  3.8057743145261136E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      41                  1.9880019765441514E+001                  1.3787498957624493E+000                  4.5884570093842605E+000                 -9.6658074502444808E+000                  3.8229828985565466E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      42                  1.9880019760183462E+001                  1.3783864912506210E+000                  4.5929266645555735E+000                 -9.6529636613256624E+000                  3.8408221918845928E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      43                  1.9880019755219863E+001                  1.3780526313110109E+000                  4.5981697411412323E+000                 -9.6385305734675306E+000                  3.8616509038820475E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      44                  1.9880019747743599E+001                  1.3775648206388487E+000                  4.6030826298653711E+000                 -9.6240565381612893E+000                  3.8812982316054869E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      45                  1.9880019742981062E+001                  1.3772634401388428E+000                  4.6064481076229562E+000                 -9.6144029199579997E+000                  3.8947171859112109E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      46                  1.9880019739084716E+001                  1.3770218412340052E+000                  4.6091571876699300E+000                 -9.6066602861237200E+000                  3.9055134411900254E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      47                  1.9880019735833603E+001                  1.3768235120707411E+000                  4.6125619377979525E+000                 -9.5973259775258253E+000                  3.9190237491653610E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      48                  1.9880019729903296E+001                  1.3764687579557944E+000                  4.6162142473083110E+000                 -9.5867542672612416E+000                  3.9335942351674489E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      49                  1.9880019725639645E+001                  1.3762193178884017E+000                  4.6195087472093226E+000                 -9.5775033352216177E+000                  3.9466950686010858E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      50                  1.9880019720462645E+001                  1.3759222665789088E+000                  4.6229227197073257E+000                 -9.5677768934697500E+000                  3.9602896206935974E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      51                  1.9880019715565027E+001                  1.3756469257677317E+000                  4.6259907512541982E+000                 -9.5590143506890080E+000                  3.9725086651193187E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      52                  1.9880019711157939E+001                  1.3754036755918608E+000                  4.6293084937697371E+000                 -9.5497391312981641E+000                  3.9856927094290864E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
                                      53                  1.9880019705250604E+001                  1.3750838877040128E+000                  4.6340494736641942E+000                 -9.5367312167933491E+000                  4.0044959811879570E+000                  5.2190862444882336E-001                  4.6442674583691967E-001                  1.3664629714256971E-002 
