                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                      70                                     1542                  5.0000000000000000E+001                  1.4000000000000000E-002                  4.0217271561864782E+006                  1.4482098228834188E+003                  2.0854994866563695E+004                  6.2964507081835484E+005                  6.0867654362513640E+001                 -6.8413329938586180E+000                  1.2888426989667327E-003                  6.4996146410768733E-016                  9.8514191702922260E-001                  2.0983270924699470E-004                  8.7783309480258323E-003                  1.8315314709838875E-004                  1.1365779423014677E-003                  4.1866388258574709E+001                 -1.2996401526027366E-005                  1.1030229148087386E+001                  2.5093580375442941E-005                  3.0261373209177332E+001                  6.1559653743232315E-003                  3.2757350687883141E-001                  5.7630177371875695E-002                  4.8432103161687889E-002                  1.8989955551373665E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1866386965082931E+001                  5.9764351496580254E+001                  4.1866376496468405E+001                  5.7551705112703075E+001                  7.3481949858667131E+005                  1.0735645410700463E+003                  6.6492044802575232E+005                  6.0587164736047864E+005                  6.0586400425569131E+005                  6.9534498871350243E-016                  4.1231312294386749E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  4.1866388258574709E+001                  1.7843865658068077E+000                  4.3192148497846228E+000                 -1.0165961499967182E+001                  2.8198516403692344E+000                  7.1541480498815313E-001                  2.7029686110461659E-001                  1.4288333907230277E-002 
                                       2                  4.1866388258553769E+001                  1.7843862884107171E+000                  4.3192277530961416E+000                 -1.0165925101501628E+001                  2.8199026184705973E+000                  7.1541480498815302E-001                  2.7029686110461659E-001                  1.4288333907230388E-002 
                                       3                  4.1866388258517951E+001                  1.7843858137259681E+000                  4.3192541951371739E+000                 -1.0165850520677788E+001                  2.8200070826995547E+000                  7.1541480498815291E-001                  2.7029686110461676E-001                  1.4288333907230388E-002 
                                       4                  4.1866388258437446E+001                  1.7843847472026502E+000                  4.3193120687152469E+000                 -1.0165687316499509E+001                  2.8202357146202535E+000                  7.1541480498815213E-001                  2.7029686110461743E-001                  1.4288333907230388E-002 
                                       5                  4.1866388258263257E+001                  1.7843824403681428E+000                  4.3194321528757236E+000                 -1.0165348789273825E+001                  2.8207100810301444E+000                  7.1541480498814880E-001                  2.7029686110462076E-001                  1.4288333907230388E-002 
                                       6                  4.1866388257908596E+001                  1.7843777469806943E+000                  4.3196764276527224E+000                 -1.0164660647834543E+001                  2.8216748997511840E+000                  7.1541480498813415E-001                  2.7029686110463536E-001                  1.4288333907230499E-002 
                                       7                  4.1866388257185889E+001                  1.7843681977691126E+000                  4.3201218350368027E+000                 -1.0163406611386852E+001                  2.8234339403756588E+000                  7.1541480498807830E-001                  2.7029686110469048E-001                  1.4288333907231276E-002 
                                       8                  4.1866388255938361E+001                  1.7843517600643453E+000                  4.3208698965412262E+000                 -1.0161302783079107E+001                  2.8263876050325663E+000                  7.1541480498790155E-001                  2.7029686110486523E-001                  1.4288333907233275E-002 
                                       9                  4.1866388253860087E+001                  1.7843245047048335E+000                  4.3220516774663791E+000                 -1.0157982655506633E+001                  2.8310528198299139E+000                  7.1541480498740717E-001                  2.7029686110535389E-001                  1.4288333907238937E-002 
                                      10                  4.1866388250640405E+001                  1.7842825917690461E+000                  4.3239100846980536E+000                 -1.0152777226570038E+001                  2.8383847875777968E+000                  7.1541480498611931E-001                  2.7029686110662693E-001                  1.4288333907253703E-002 
                                      11                  4.1866388245421099E+001                  1.7842154325111850E+000                  4.3262804181724137E+000                 -1.0146098936334729E+001                  2.8477473110672555E+000                  7.1541480498346577E-001                  2.7029686110925011E-001                  1.4288333907284123E-002 
                                      12                  4.1866388239661852E+001                  1.7841424212528285E+000                  4.3295874565936190E+000                 -1.0136899408494498E+001                  2.8607772174428030E+000                  7.1541480497828303E-001                  2.7029686111437323E-001                  1.4288333907343742E-002 
                                      13                  4.1866388229753390E+001                  1.7840193587851152E+000                  4.3326765566145751E+000                 -1.0128029338688473E+001                  2.8730251622692990E+000                  7.1541480497126131E-001                  2.7029686112131457E-001                  1.4288333907424122E-002 
                                      14                  4.1866388224516761E+001                  1.7839555939216918E+000                  4.3346711981406880E+000                 -1.0122385092040306E+001                  2.8809107514973569E+000                  7.1541480496603049E-001                  2.7029686112648538E-001                  1.4288333907484185E-002 
                                      15                  4.1866388219779928E+001                  1.7838986359163851E+000                  4.3378073942843258E+000                 -1.0113716817743194E+001                  2.8932525094553538E+000                  7.1541480495685439E-001                  2.7029686113555607E-001                  1.4288333907589545E-002 
                                      16                  4.1866388208547548E+001                  1.7837661548163375E+000                  4.3415401623348400E+000                 -1.0103069360430080E+001                  2.9080332455412954E+000                  7.1541480494352938E-001                  2.7029686114872820E-001                  1.4288333907742423E-002 
                                      17                  4.1866388200072031E+001                  1.7836685331198820E+000                  4.3448804614400505E+000                 -1.0093661852171914E+001                  2.9212267413515849E+000                  7.1541480493013454E-001                  2.7029686116196927E-001                  1.4288333907896189E-002 
                                      18                  4.1866388190396719E+001                  1.7835594022669823E+000                  4.3486138818048605E+000                 -1.0083155930124713E+001                  2.9359706657896698E+000                  7.1541480491349885E-001                  2.7029686117841417E-001                  1.4288333908087036E-002 
                                      19                  4.1866388179146035E+001                  1.7834354355155964E+000                  4.3523852093713202E+000                 -1.0072471192696394E+001                  2.9508842544776521E+000                  7.1541480489501785E-001                  2.7029686119668306E-001                  1.4288333908299089E-002 
                                      20                  4.1866388168519670E+001                  1.7833210994141293E+000                  4.3556456523756157E+000                 -1.0063206371830043E+001                  2.9637852343779003E+000                  7.1541480487789522E-001                  2.7029686121360919E-001                  1.4288333908495598E-002 
                                      21                  4.1866388159626304E+001                  1.7832273621081527E+000                  4.3589117009490970E+000                 -1.0054032418809800E+001                  2.9766792382594245E+000                  7.1541480485993070E-001                  2.7029686123136754E-001                  1.4288333908701767E-002 
                                      22                  4.1866388148439789E+001                  1.7831118357259532E+000                  4.3624915190405789E+000                 -1.0043922017523252E+001                  2.9908273668917493E+000                  7.1541480483936970E-001                  2.7029686125169261E-001                  1.4288333908937689E-002 
                                      23                  4.1866388136920627E+001                  1.7829955183488246E+000                  4.3653443157045722E+000                 -1.0035766661756126E+001                  3.0021292993160067E+000                  7.1541480482247188E-001                  2.7029686126839647E-001                  1.4288333909131645E-002 
                                      24                  4.1866388129782820E+001                  1.7829247378659054E+000                  4.3690127936989303E+000                 -1.0025674815899000E+001                  3.0165547888600575E+000                  7.1541480480037900E-001                  2.7029686129023583E-001                  1.4288333909385109E-002 
                                      25                  4.1866388112407009E+001                  1.7827562529943906E+000                  4.3729945417646983E+000                 -1.0014228143282338E+001                  3.0323473449831377E+000                  7.1541480477598862E-001                  2.7029686131434627E-001                  1.4288333909665107E-002 
                                      26                  4.1866388102038862E+001                  1.7826582430725357E+000                  4.3763257216489126E+000                 -1.0004891862754201E+001                  3.0454941507964808E+000                  7.1541480475547115E-001                  2.7029686133462838E-001                  1.4288333909900475E-002 
                                      27                  4.1866388088550522E+001                  1.7825333536309951E+000                  4.3799270384920499E+000                 -9.9947150101273134E+000                  3.0597300569652104E+000                  7.1541480473334063E-001                  2.7029686135650494E-001                  1.4288333910154494E-002 
                                      28                  4.1866388075409184E+001                  1.7824143950486060E+000                  4.3831201628055183E+000                 -9.9856622634025065E+000                  3.0723605563293552E+000                  7.1541480471387475E-001                  2.7029686137574743E-001                  1.4288333910377871E-002 
                                      29                  4.1866388064208607E+001                  1.7823150214990395E+000                  4.3862723134039925E+000                 -9.9768127292823294E+000                  3.0848054871034467E+000                  7.1541480469484275E-001                  2.7029686139456116E-001                  1.4288333910596140E-002 
                                      30                  4.1866388050745016E+001                  1.7821978918182100E+000                  4.3900690115916712E+000                 -9.9661872702075804E+000                  3.0997864159455797E+000                  7.1541480467227503E-001                  2.7029686141686982E-001                  1.4288333910855155E-002 
                                      31                  4.1866388033598589E+001                  1.7820521955645210E+000                  4.3946666353372992E+000                 -9.9533330739869808E+000                  3.1179249333922767E+000                  7.1541480464562457E-001                  2.7029686144321441E-001                  1.4288333911161022E-002 
                                      32                  4.1866388012293491E+001                  1.7818762466631917E+000                  4.3987619251455978E+000                 -9.9416313036447068E+000                  3.1341507747115336E+000                  7.1541480462281004E-001                  2.7029686146576720E-001                  1.4288333911422813E-002 
                                      33                  4.1866387997872046E+001                  1.7817601958456202E+000                  4.4011863028581972E+000                 -9.9347096637707164E+000                  3.1437551100346526E+000                  7.1541480460969920E-001                  2.7029686147872761E-001                  1.4288333911573137E-002 
                                      34                  4.1866387990532154E+001                  1.7817020299375088E+000                  4.4036148120361709E+000                 -9.9279716632769652E+000                  3.1533231645940685E+000                  7.1541480459675222E-001                  2.7029686149152593E-001                  1.4288333911721907E-002 
                                      35                  4.1866387975720933E+001                  1.7815863941113317E+000                  4.4068037825168425E+000                 -9.9190017715146901E+000                  3.1659209068602410E+000                  7.1541480458034346E-001                  2.7029686150774640E-001                  1.4288333911910200E-002 
                                      36                  4.1866387960644538E+001                  1.7814710020352538E+000                  4.4103280472773747E+000                 -9.9091573770972659E+000                  3.1798254401263106E+000                  7.1541480456287265E-001                  2.7029686152501670E-001                  1.4288333912110707E-002 
                                      37                  4.1866387941746829E+001                  1.7813294786882341E+000                  4.4139347607247972E+000                 -9.8989839490518055E+000                  3.1940828973670423E+000                  7.1541480454588235E-001                  2.7029686154181204E-001                  1.4288333912305662E-002 
                                      38                  4.1866387924706899E+001                  1.7812047078039435E+000                  4.4172845744114815E+000                 -9.8895767312767315E+000                  3.2073145636557343E+000                  7.1541480453083350E-001                  2.7029686155668819E-001                  1.4288333912478302E-002 
