                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     100                                     1822                  5.0000000000000000E+001                  1.4000000000000000E-002                  4.0328211652010167E+006                  8.1167797162196280E+001                  1.1989195990799084E+004                  7.1721412740622868E+005                  1.9656361680545331E+002                 -5.1101082953194092E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8614319499556324E-001                  2.5248608223774809E-004                  7.7456882014269590E-003                  1.8078352697365038E-004                  1.1362151898499967E-003                  4.1710163265069589E+001                 -9.9494641923774691E-006                  1.0771320099773339E+001                  1.5277057279276197E-005                  3.0363899420620388E+001                  7.3831514264602804E-003                  3.1659449999185374E-001                  5.6059710755277575E-002                  4.8230252732672819E-002                  1.9164557689667859E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1710155103283917E+001                  1.9506263741245891E+002                  4.1710059275850718E+001                  1.8963296915145290E+002                  4.2723549655661108E+006                  2.8967522195268805E+002                  5.8155802669298276E+005                  6.2159361773281405E+005                  4.9870985787787114E+005                  3.2319579925061912E+003                  4.4093958180825925E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  4.1710163265069589E+001                  2.2935031346411292E+000                  4.0787903195340389E+000                 -1.0345661344779202E+001                  2.0741030706716610E+000                  7.1540482906816627E-001                  2.7030672576314496E-001                  1.4288445168688768E-002 
                                       2                  4.1710163265048735E+001                  2.2935031222295650E+000                  4.0787910237886100E+000                 -1.0345659673402123E+001                  2.0741056615207367E+000                  7.1540482906816627E-001                  2.7030672576314496E-001                  1.4288445168688768E-002 
                                       3                  4.1710163265013044E+001                  2.2935031009890507E+000                  4.0787924671849014E+000                 -1.0345656247853956E+001                  2.0741109715634911E+000                  7.1540482906816627E-001                  2.7030672576314496E-001                  1.4288445168688768E-002 
                                       4                  4.1710163264932845E+001                  2.2935030532582092E+000                  4.0787956273412780E+000                 -1.0345648747991417E+001                  2.0741225973217272E+000                  7.1540482906816627E-001                  2.7030672576314496E-001                  1.4288445168688768E-002 
                                       5                  4.1710163264759302E+001                  2.2935029499830102E+000                  4.0788021889378552E+000                 -1.0345633175586624E+001                  2.0741467365380921E+000                  7.1540482906816616E-001                  2.7030672576314507E-001                  1.4288445168688768E-002 
                                       6                  4.1710163264405963E+001                  2.2935027397122254E+000                  4.0788155550368312E+000                 -1.0345601454122221E+001                  2.0741959087818707E+000                  7.1540482906816572E-001                  2.7030672576314546E-001                  1.4288445168688879E-002 
                                       7                  4.1710163263685949E+001                  2.2935023112662623E+000                  4.0788399940509237E+000                 -1.0345543451469579E+001                  2.0742858184250390E+000                  7.1540482906816427E-001                  2.7030672576314702E-001                  1.4288445168688657E-002 
                                       8                  4.1710163262443075E+001                  2.2935015717827043E+000                  4.0788812351594794E+000                 -1.0345445565640381E+001                  2.0744375461160725E+000                  7.1540482906815939E-001                  2.7030672576315184E-001                  1.4288445168688768E-002 
                                       9                  4.1710163260372568E+001                  2.2935003401460077E+000                  4.0789468991800053E+000                 -1.0345289693428089E+001                  2.0746791395930142E+000                  7.1540482906814540E-001                  2.7030672576316567E-001                  1.4288445168688879E-002 
