                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     320                                     1184                  5.0000000000000000E+001                  1.4000000000000000E-002                  2.7027945235840827E+006                  7.2485387484744606E+003                  3.8556984568436812E+004                  4.7765469917074556E+005                  1.5509926528670544E+001                 -7.1398154074726961E+000                  3.3202658106980937E-001                  1.6351153677316126E-009                  6.5438393124849559E-001                  1.3895524627109267E-004                  8.8148525361723858E-003                  2.6082137800484862E-004                  1.1652650914115055E-003                  4.5981658989645034E+001                 -2.0211881964313174E-006                  2.1637072073736334E+001                  3.0442104362389435E-005                  2.3710584845561609E+001                  5.2182100301701876E-003                  3.4457040329286520E-001                  8.3264598145538701E-002                  5.3973879090264722E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5981658911648239E+001                  1.5350892697257869E+001                  4.5981658201599458E+001                  1.5117116880829576E+001                  9.0189476101069376E+004                  6.6992319736946392E+003                  9.6265480208765052E+005                  4.7844907705788699E+005                  4.7844714359773230E+005                  5.2019885772106404E-024                  3.2555947098352197E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  4.5981658989645034E+001                  1.1906097405429061E+000                  4.5862206476037892E+000                 -9.4954794967169978E+000                  3.8593524000204331E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                       2                  4.5981658989622048E+001                  1.1906058080003306E+000                  4.5865390963448336E+000                 -9.4942965623385440E+000                  3.8606822533120764E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                       3                  4.5981658989582698E+001                  1.1905990960818207E+000                  4.5871895460910475E+000                 -9.4918941672825508E+000                  3.8633953690985083E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                       4                  4.5981658989494285E+001                  1.1905840952896023E+000                  4.5881326988438689E+000                 -9.4884189783024837E+000                  3.8673274066590824E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                       5                  4.5981658989396145E+001                  1.1905675753997289E+000                  4.5897544988734245E+000                 -9.4825434035258613E+000                  3.8740655718347092E+000                  7.1548464714692139E-001                  2.7023123725194587E-001                  1.4284115601132741E-002 
                                       6                  4.5981658989170676E+001                  1.1905301275200275E+000                  4.5932118674343050E+000                 -9.4703103525304773E+000                  3.8883615739853066E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                       7                  4.5981658988692963E+001                  1.1904529536548862E+000                  4.5967334779588347E+000                 -9.4576408804199730E+000                  3.9029693978612605E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                       8                  4.5981658988428386E+001                  1.1904114230760532E+000                  4.5988831075442622E+000                 -9.4500961510935397E+000                  3.9118418487610729E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                       9                  4.5981658988229945E+001                  1.1903808039533299E+000                  4.6005457281730084E+000                 -9.4443202951488967E+000                  3.9186900021850106E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      10                  4.5981658988064581E+001                  1.1903556202644194E+000                  4.6025336563954511E+000                 -9.4375313558863638E+000                  3.9268504515948330E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      11                  4.5981658987788968E+001                  1.1903142889775153E+000                  4.6052099654073686E+000                 -9.4284141609668328E+000                  3.9378305603845725E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      12                  4.5981658987458246E+001                  1.1902657067024338E+000                  4.6083950458742384E+000                 -9.4176576537948478E+000                  3.9508748710385597E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      13                  4.5981658987048768E+001                  1.1902070069436073E+000                  4.6121012035439621E+000                 -9.4052082036250031E+000                  3.9660359035394963E+000                  7.1548464714692128E-001                  2.7023123725194592E-001                  1.4284115601132852E-002 
                                      14                  4.5981658986570004E+001                  1.1901402839941917E+000                  4.6152388192435785E+000                 -9.3945324481535941E+000                  3.9789016882104984E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      15                  4.5981658986270766E+001                  1.1900995796613634E+000                  4.6187739150124303E+000                 -9.3829414942258271E+000                  3.9932934590229108E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      16                  4.5981658985672304E+001                  1.1900202821274528E+000                  4.6226741594249052E+000                 -9.3697430510137618E+000                  4.0092665786964092E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      17                  4.5981658985239740E+001                  1.1899646550827141E+000                  4.6256803054874478E+000                 -9.3596668631793882E+000                  4.0215544000886370E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      18                  4.5981658984853368E+001                  1.1899160908322259E+000                  4.6286159874830766E+000                 -9.3498859116285384E+000                  4.0335396056932398E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      19                  4.5981658984418694E+001                  1.1898626539313755E+000                  4.6316376863276858E+000                 -9.3397764829598202E+000                  4.0458853282910985E+000                  7.1548464714692139E-001                  2.7023123725194587E-001                  1.4284115601132741E-002 
                                      20                  4.5981658983984019E+001                  1.1898104275027024E+000                  4.6340882760731681E+000                 -9.3314962011325147E+000                  4.0559167062133641E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      21                  4.5981658983694246E+001                  1.1897762572347335E+000                  4.6363322766323654E+000                 -9.3240175659917508E+000                  4.0650776348396604E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      22                  4.5981658983307867E+001                  1.1897314625037416E+000                  4.6394613899971491E+000                 -9.3136233719316603E+000                  4.0778434827680590E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      23                  4.5981658982728312E+001                  1.1896658344341300E+000                  4.6424880380821625E+000                 -9.3033132020681109E+000                  4.0902521681945796E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      24                  4.5981658982341933E+001                  1.1896230928358862E+000                  4.6447512667208510E+000                 -9.2956607426881632E+000                  4.0995172915389047E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      25                  4.5981658981989156E+001                  1.1895847387707970E+000                  4.6473957472034026E+000                 -9.2868011543638342E+000                  4.1103234821544552E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
                                      26                  4.5981658981459994E+001                  1.1895283509666048E+000                  4.6504783317188911E+000                 -9.2763390403088462E+000                  4.1229521601380075E+000                  7.1548464714692139E-001                  2.7023123725194592E-001                  1.4284115601132630E-002 
