                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9575      6.0000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_v_rot                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1181                  1.0000000000000000E+002                  2.0000000000000000E+000                  5.9999823789965433E+001                  3.5076828425491193E+001                 -5.7539693636037290E+000                  4.3568593133055217E+001                  7.2608115654009042E-001                  7.8130418024180415E-008                  9.9999999931805172E-001                  9.9999997676345675E-001                  7.4633059566032256E-001                  7.8130418024180415E-008                  9.9999999931805172E-001                  9.9999997676345675E-001                  5.8381102979082398E+000                 -2.4595844040459625E+001                  6.7166445661294127E-001                  5.8381132582168611E+000                  3.7206723675481883E+000                  5.8347836361169625E+000                 -2.4595844040459625E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5718829559989966E+034                  6.5453963863781183E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6855908773520500E+000                  5.7078075614265478E+000                  1.0059808624618001E+000                  4.2040776034205347E+000                  3.2800422143001427E-006                  0.0000000000000000E+000                  7.6226351546064066E+000                  3.7261600119396160E-001                  1.6327078534430324E+001                  3.7261600119396160E-001                  7.6226351546064066E+000                  6.1348529686338815E-001                  8.5946209362456305E-001                  1.2714799973020512E+000                  7.1898731452163467E-001                  2.6665187657570810E-001                  1.0880075766216573E-004                  6.3926752970564641E-003                  2.3825110413126399E-003                  6.5335199888289404E-003                  4.3154732613245905E+001                  1.5988573037085311E+001                                        0                                        0                                        6 
                                       2                                     1052                  2.1999999999999997E+002                  2.0791812460476247E+000                  5.9999619183776808E+001                  3.5076826944495338E+001                 -5.7682624805869738E+000                  4.3391693479835432E+001                  7.2257038047874012E-001                  7.8130684699750930E-008                  9.9999999881170554E-001                  9.9999993660892017E-001                  7.4302663535336455E-001                  7.8130684699750930E-008                  9.9999999881170554E-001                  9.9999993660892017E-001                  5.7780058366421239E+000                 -2.4644960079993524E+001                  6.5261795582046078E-001                  5.7780090904717083E+000                  3.6199738379993693E+000                  5.7749770699831560E+000                 -2.4644960079993524E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4669733139029357E+034                  6.4622768092234268E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6836040812873270E+000                  5.7083369461109648E+000                  1.0102191469334556E+000                  4.1955995534813706E+000                  2.9330796408574419E-006                  0.0000000000000000E+000                  7.6217177408706247E+000                  3.6985752591327825E-001                  1.6323376338154858E+001                  3.6985752591327825E-001                  7.6217177408706247E+000                  6.1356385913874456E-001                  8.5945382512583512E-001                  1.2715015811158528E+000                  7.1897036383436952E-001                  2.6666650507980116E-001                  8.8576695289863946E-005                  6.3899213075663515E-003                  2.3825110413126381E-003                  6.5335199888289456E-003                  4.3153828376290448E+001                  1.5989171361664532E+001                                        0                                        0                                        5 
                                       3                                     1052                  3.6399999999999994E+002                  2.1583624920952493E+000                  5.9999372016381386E+001                  3.5076825155423037E+001                 -5.7653713109558566E+000                  4.3488028755606109E+001                  7.2432999038798118E-001                  7.8131006553405768E-008                  9.9999999881170554E-001                  9.9999996774166000E-001                  7.4550958550779867E-001                  7.8131006553405768E-008                  9.9999999881170554E-001                  9.9999996774166000E-001                  5.7311032981854622E+000                 -2.4662578396070359E+001                  6.4575396669278551E-001                  5.7311068662540636E+000                  3.5181813431526958E+000                  5.7284352374987897E+000                 -2.4662578396070359E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3739419366625875E+034                  6.3847633711628103E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6825600940294869E+000                  5.7083843906805853E+000                  1.0123308437339442E+000                  4.1913743708080871E+000                  2.6268399449506340E-006                  0.0000000000000000E+000                  7.6213853659023023E+000                  3.6886782157188064E-001                  1.6322038627286567E+001                  3.6886782157188064E-001                  7.6213853659023023E+000                  6.1359805445110061E-001                  8.5944496110992796E-001                  1.2715243350613794E+000                  7.1895233281361959E-001                  2.6668254684961684E-001                  7.4129890047933055E-005                  6.3866602694090330E-003                  2.3825110413126403E-003                  6.5335199888289465E-003                  4.3152846490752573E+001                  1.5989820754995153E+001                                        0                                        0                                        5 
                                       4                                     1039                  5.3679999999999995E+002                  2.2375437381428744E+000                  5.9999074745624739E+001                  3.5076823003677696E+001                 -5.7643915495997318E+000                  4.3257281022570602E+001                  7.2080269788907225E-001                  7.8131393799196758E-008                  9.9999999877678503E-001                  9.9999997631919890E-001                  7.4138010996263515E-001                  7.8131393799196758E-008                  9.9999999877678503E-001                  9.9999997631919890E-001                  5.7017149342507469E+000                 -2.4655224711795764E+001                  6.4853766016645509E-001                  5.7017187766732400E+000                  3.4112411781202892E+000                  5.6994843153013148E+000                 -2.4655224711795764E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3136721176209349E+034                  6.3324131498887187E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6826563356529380E+000                  5.7085395010353217E+000                  1.0122159156644104E+000                  4.1916020752018168E+000                  2.2349806923740142E-006                  0.0000000000000000E+000                  7.6215215364582898E+000                  3.6929331963425288E-001                  1.6322593456150120E+001                  3.6929331963425288E-001                  7.6215215364582898E+000                  6.1359731005438078E-001                  8.5943492986790415E-001                  1.2715494228777975E+000                  7.1893209543843950E-001                  2.6670162471827480E-001                  6.4959622416925955E-005                  6.3827006027636210E-003                  2.3825110413126373E-003                  6.5335199888289421E-003                  4.3151736238915895E+001                  1.5990586465721950E+001                                        0                                        0                                        5 
                                       5                                     1042                  7.4415999999999985E+002                  2.3167249841904991E+000                  5.9998717804112154E+001                  3.5076820420001347E+001                 -5.7641279244899772E+000                  4.2975772280452524E+001                  7.1548423657200533E-001                  7.8131858538554866E-008                  9.9999999877678503E-001                  9.9999997754574943E-001                  7.3635652915029781E-001                  7.8131858538554866E-008                  9.9999999877678503E-001                  9.9999997754574943E-001                  5.6892171769160091E+000                 -2.4632381995255905E+001                  6.5730249033670085E-001                  5.6892212121396293E+000                  3.2944282233634761E+000                  5.6874638142938618E+000                 -2.4632381995255905E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2864879439967135E+034                  6.3055285173297005E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6828739584972521E+000                  5.7088529634452216E+000                  1.0119374011807329E+000                  4.1921565204928219E+000                  1.9028053273104803E-006                  0.0000000000000000E+000                  7.6219483195654805E+000                  3.7059238810196216E-001                  1.6324319032915433E+001                  3.7059238810196216E-001                  7.6219483195654805E+000                  6.1357586698975786E-001                  8.5942311233770508E-001                  1.2715783789505126E+000                  7.1890838603807172E-001                  2.6672500268935762E-001                  5.9844133614803268E-005                  6.3778315688747421E-003                  2.3825110413126390E-003                  6.5335199888289447E-003                  4.3150436524396660E+001                  1.5991519597829862E+001                                        0                                        0                                        6 
                                       6                                     1043                  9.9299199999999985E+002                  2.3959062302381238E+000                  5.9998288970424561E+001                  3.5076817315922185E+001                 -5.7636173356381546E+000                  4.2756246543690573E+001                  7.1190563039257926E-001                  7.8132416758691647E-008                  9.9999999877678503E-001                  9.9999997756701597E-001                  7.3298705422343580E-001                  7.8132416758691647E-008                  9.9999999877678503E-001                  9.9999997756701597E-001                  5.6883120252383179E+000                 -2.4603466314223969E+001                  6.6840887109743330E-001                  5.6883161736235826E+000                  3.1639561132508125E+000                  5.6870116208113810E+000                 -2.4603466314223969E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2810047941149284E+034                  6.2988939049091825E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6831497898423438E+000                  5.7092563535397813E+000                  1.0115874335378288E+000                  4.1928533516994673E+000                  1.6263024294746959E-006                  0.0000000000000000E+000                  7.6224891546934019E+000                  3.7222855500920743E-001                  1.6326499731625194E+001                  3.7222855500920743E-001                  7.6224891546934019E+000                  6.1354790662924219E-001                  8.5940886188701660E-001                  1.2716128897514347E+000                  7.1887987165881462E-001                  2.6675383783048623E-001                  5.7396796378314616E-005                  6.3718293261513688E-003                  2.3825110413126386E-003                  6.5335199888289456E-003                  4.3148879650070391E+001                  1.5992667652944077E+001                                        0                                        0                                        6 
                                       7                                     1033                  1.2915903999999998E+003                  2.4750874762857489E+000                  5.9997773588790672E+001                  3.5076813585343118E+001                 -5.7629585382872071E+000                  4.2631731208860614E+001                  7.1008432601491145E-001                  7.8133087555443126E-008                  9.9999999877678503E-001                  9.9999997746433777E-001                  7.3213242772607434E-001                  7.8133087555443126E-008                  9.9999999877678503E-001                  9.9999997746433777E-001                  5.6930330153960504E+000                 -2.4575768438714274E+001                  6.7903481038912039E-001                  5.6930372205703712E+000                  3.0180325346182237E+000                  5.6921141684568219E+000                 -2.4575768438714274E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2877463727666404E+034                  6.3031279193737498E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6834290975978048E+000                  5.7096473915076320E+000                  1.0112243370108329E+000                  4.1935758141743902E+000                  1.3930485625653642E-006                  0.0000000000000000E+000                  7.6230070527190570E+000                  3.7378667125000964E-001                  1.6328580932299769E+001                  3.7378667125000964E-001                  7.6230070527190570E+000                  6.1352459136861914E-001                  8.5939151490463128E-001                  1.2716546801482083E+000                  7.1884519172039107E-001                  2.6678930511770871E-001                  5.6449425801487563E-005                  6.3644564703809747E-003                  2.3825110413126412E-003                  6.5335199888289465E-003                  4.3146994175852370E+001                  1.5994079338669412E+001                                        0                                        0                                        6 
                                       8                                     1038                  1.6499084799999998E+003                  2.5542687223333735E+000                  5.9997154235987615E+001                  3.5076809102128536E+001                 -5.7623306148695654E+000                  4.2589218967746909E+001                  7.0917793698093101E-001                  7.8133893688381306E-008                  9.9999999877678503E-001                  9.9999997743128877E-001                  7.3127905380296165E-001                  7.8133893688381306E-008                  9.9999999877678503E-001                  9.9999997743128877E-001                  5.6990717399210142E+000                 -2.4553622004903410E+001                  6.8749777233722731E-001                  5.6990759686341947E+000                  2.8581220199177122E+000                  5.6984449125280552E+000                 -2.4553622004903410E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2978586624668075E+034                  6.3107103970562412E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6836510748111468E+000                  5.7099340012718818E+000                  1.0109236874662733E+000                  4.1941726300489339E+000                  1.1954687762291894E-006                  0.0000000000000000E+000                  7.6234202625885139E+000                  3.7502059999293297E-001                  1.6330232556934014E+001                  3.7502059999293297E-001                  7.6234202625885139E+000                  6.1351284771360359E-001                  8.5937039875292587E-001                  1.2717054588229797E+000                  7.1880298021595168E-001                  2.6683264526020883E-001                  5.6219442019849540E-005                  6.3554643620512274E-003                  2.3825110413126390E-003                  6.5335199888289421E-003                  4.3144704951347755E+001                  1.5995807178217083E+001                                        0                                        0                                        6 
                                       9                                     1031                  2.0798901759999999E+003                  2.6334499683809982E+000                  5.9996410247607763E+001                  3.5076803716672252E+001                 -5.7618838159069874E+000                  4.2600231596664223E+001                  7.0918673117615361E-001                  7.8134862691037199E-008                  9.9999999877678503E-001                  9.9999997759654857E-001                  7.3128812206414961E-001                  7.8134862691037199E-008                  9.9999999877678503E-001                  9.9999997759654857E-001                  5.7042099065355600E+000                 -2.4538664483937637E+001                  6.9315648537911900E-001                  5.7042141403202997E+000                  2.6901705893712693E+000                  5.7037892231902285E+000                 -2.4538664483937637E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3067012320048612E+034                  6.3175739987792164E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6838092827352815E+000                  5.7100692306475507E+000                  1.0106748863058381E+000                  4.1946648469135193E+000                  1.0265739759043561E-006                  0.0000000000000000E+000                  7.6236976007346575E+000                  3.7583912343549364E-001                  1.6331330176529210E+001                  3.7583912343549364E-001                  7.6236976007346575E+000                  6.1351579592974692E-001                  8.5934475569794011E-001                  1.2717670997249926E+000                  7.1875171226060619E-001                  2.6688533073524712E-001                  5.6282275913666203E-005                  6.3445647074658659E-003                  2.3825110413126368E-003                  6.5335199888289421E-003                  4.3141930500530485E+001                  1.5997909977911688E+001                                        0                                        0                                        6 
