                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9575      6.0000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                   total_angular_momentum                              num_retries                              num_backups                                num_iters 
                                       1                                     1175                  5.0000000000000000E+001                  1.6989700043360187E+000                  3.5076829698283767E+001                 -8.1337113447271658E+000                  2.2142816533502234E+001                  3.6825568287948085E-001                  7.8131867087272155E-008                  9.9999999999778866E-001                  9.9521599120166526E-001                  3.7750227200975284E-001                  7.8131867087272155E-008                  9.9999999999778866E-001                  9.9521599120166526E-001                  8.7137146806562455E+000                 -1.5959041364964049E+001                  4.1745480777423367E+000                  8.7137272297231245E+000                  5.2936768607024298E+000                  8.7135495494876505E+000                 -1.5959041364964049E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6323401858727822E+034                  1.0401581710153587E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6988981938372438E+000                  5.2112250306125754E+000                  7.3107496408442563E-001                  4.7538906729678558E+000                 -2.4294035881836315E-006                  7.8043372810577472E+000                  9.1533107086061871E-001                  1.7051509454747137E+001                  9.1533107086061871E-001                  7.8043372810577472E+000                  6.1419888921653709E-001                  8.5230976356629140E-001                  1.2889465857891069E+000                  7.0468283604692383E-001                  2.8123912828492020E-001                  1.3969715238865946E-004                  4.1576172225327975E-003                  2.3825110413126381E-003                  6.5335199888289473E-003                  4.2854983127093909E+001                  1.6298878068211149E+001                  0.0000000000000000E+000                                        1                                        0                                      124 
                                       2                                     1110                  9.7531378603979036E+001                  1.6769804107899842E+000                  3.5076829652040075E+001                 -6.8715609938030253E+000                  5.9456347960545259E+001                  9.9088717588305131E-001                  7.8131875524967143E-008                  9.9999999964490371E-001                  9.9999999769437320E-001                  9.9153647987762261E-001                  7.8131875524967143E-008                  9.9999999964490371E-001                  9.9999999769437320E-001                  7.4675093158454473E+000                 -2.0398704420111571E+001                  2.3317565270786580E+000                  7.4675124929384928E+000                  5.7101190302176974E+000                  7.4598495004292431E+000                 -2.0398704420111571E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3140063600880561E+034                  8.7200959424074505E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6729070871679870E+000                  5.3242056969224967E+000                  8.3954751057790089E-001                  4.5369455337372129E+000                  1.7858254907933619E-005                  7.7058126374906646E+000                  6.1592119265103518E-001                  1.6656914317202407E+001                  6.1592119265103518E-001                  7.7058126374906646E+000                  6.0987653702968003E-001                  8.5693984834103365E-001                  1.2775695000507665E+000                  7.1394511284347739E-001                  2.7182066382064141E-001                  2.8550293058360429E-004                  5.6175418697536261E-003                  2.3825110413126399E-003                  6.5335199888289378E-003                  4.2839958962149787E+001                  1.6306092771800920E+001                  0.0000000000000000E+000                                        1                                        0                                        7 
                                       3                                     1085                  1.3555648148716227E+002                  1.5800703977819277E+000                  3.5076829582957991E+001                 -6.6003381286018143E+000                  5.8560969684803077E+001                  9.7529491949322467E-001                  7.8131888181509623E-008                  9.9999999925146177E-001                  9.9999999462962730E-001                  9.7726293362829164E-001                  7.8131888181509623E-008                  9.9999999925146177E-001                  9.9999999462962730E-001                  6.9496693029856003E+000                 -2.1545108510973009E+001                  1.8655245735045956E+000                  6.9496728809646457E+000                  5.1274539497591647E+000                  6.9430796947437798E+000                 -2.1545108510973009E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5694727404594748E+034                  8.1605292872245693E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6790220231791588E+000                  5.4200970777423008E+000                  8.7526332896545767E-001                  4.4655138278800184E+000                  9.9998000430082880E-006                  7.6820484608140411E+000                  5.4474075534379685E-001                  1.6561425815835282E+001                  5.4474075534379685E-001                  7.6820484608140411E+000                  6.1129574543589948E-001                  8.5691227030692385E-001                  1.2776484634535477E+000                  7.1388815961775842E-001                  2.7185708573654760E-001                  1.6152357191619312E-004                  5.6107181781310835E-003                  2.3825110413126386E-003                  6.5335199888289378E-003                  4.2836421960811059E+001                  1.6308413756581437E+001                  0.0000000000000000E+000                                        1                                        0                                        6 
                                       4                                     1050                  1.6597656379370886E+002                  1.4831603847738715E+000                  3.5076829494104089E+001                 -6.3941170825460416E+000                  5.7250539537505844E+001                  9.5397497299614997E-001                  7.8131904057698875E-008                  9.9999999919116189E-001                  9.9999999356289315E-001                  9.5741876575169071E-001                  7.8131904057698875E-008                  9.9999999919116189E-001                  9.9999999356289315E-001                  6.7049703552553588E+000                 -2.2078489404252611E+001                  1.6509948862451411E+000                  6.7049741906223357E+000                  4.8382384163179140E+000                  6.6990271519727820E+000                 -2.2078489404252611E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1626409194725673E+034                  7.8359195270844904E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6826678964368682E+000                  5.4721804304160013E+000                  8.9401325878689020E-001                  4.4280138793832462E+000                  8.9539429041743496E-006                  7.6712427067660860E+000                  5.1259201033023838E-001                  1.6518071287944124E+001                  5.1259201033023838E-001                  7.6712427067660860E+000                  6.1214653061814761E-001                  8.5689877703269035E-001                  1.2776853326899820E+000                  7.1386043951217426E-001                  2.7187848123143726E-001                  1.2267003268559548E-004                  5.6068991405191625E-003                  2.3825110413126351E-003                  6.5335199888289352E-003                  4.2834820737360616E+001                  1.6309638231529952E+001                  0.0000000000000000E+000                                        1                                        0                                        6 
                                       5                                     1032                  1.9139611814296612E+002                  1.4051679323173201E+000                  3.5076829398145591E+001                 -6.2827178121769647E+000                  5.6322307249772017E+001                  9.3693415437837413E-001                  7.8131920933088850E-008                  9.9999999916414284E-001                  9.9999999296513387E-001                  9.4200237454321478E-001                  7.8131920933088850E-008                  9.9999999916414284E-001                  9.9999999296513387E-001                  6.5622500145309308E+000                 -2.2398304591489801E+001                  1.5230810071380616E+000                  6.5622539829115478E+000                  4.6576698556152936E+000                  6.5568059490322241E+000                 -2.2398304591489801E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9004530357902778E+034                  7.6387597673360603E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6845609437450557E+000                  5.5037261476649739E+000                  9.0600002279500136E-001                  4.4040402554085274E+000                  9.1863727342215053E-006                  7.6648373244500654E+000                  4.9357733339703908E-001                  1.6492398341656788E+001                  4.9357733339703908E-001                  7.6648373244500654E+000                  6.1265102413205330E-001                  8.5689050114233967E-001                  1.2777073102468846E+000                  7.1384354637446557E-001                  2.7189267314691273E-001                  1.0535413019420619E-004                  5.6044161521962644E-003                  2.3825110413126381E-003                  6.5335199888289430E-003                  4.2833857183851521E+001                  1.6310435478888078E+001                  0.0000000000000000E+000                                        1                                        0                                        5 
                                       6                                     1022                  2.2189958336207479E+002                  1.4843491783649447E+000                  3.5076829263599635E+001                 -6.2151119681984754E+000                  5.5599415097408965E+001                  9.2665643060788527E-001                  7.8131944802883879E-008                  9.9999999917063520E-001                  9.9999999260061090E-001                  9.2665785145472357E-001                  7.8131944802883879E-008                  9.9999999917063520E-001                  9.9999999260061090E-001                  6.4410599593720796E+000                 -2.2683386478561626E+001                  1.4095049555905002E+000                  6.4410639979390423E+000                  4.4931224120050635E+000                  6.4361360917126582E+000                 -2.2683386478561626E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6903087954439201E+034                  7.4674950461854831E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6858487834216964E+000                  5.5312433743575404E+000                  9.1718295678800288E-001                  4.3816742528765706E+000                  8.0958103801152206E-006                  7.6591733036665870E+000                  4.7679774120502771E-001                  1.6469718550674056E+001                  4.7679774120502771E-001                  7.6591733036665870E+000                  6.1309732198774469E-001                  8.5688289958067154E-001                  1.2777270216286625E+000                  7.1382812628134307E-001                  2.7190643809491760E-001                  9.3930323884448860E-005                  5.6020488232857860E-003                  2.3825110413126377E-003                  6.5335199888289404E-003                  4.2832979942164890E+001                  1.6311201221535654E+001                  0.0000000000000000E+000                                        1                                        0                                        6 
                                       7                                     1014                  2.5850374162500520E+002                  1.5635304244125696E+000                  3.5076829078550098E+001                 -6.1558760092341709E+000                  5.4804353188967269E+001                  9.1101679126187429E-001                  7.8131977998552316E-008                  9.9999999914750293E-001                  9.9999999226023295E-001                  9.1735758729570871E-001                  7.8131977998552316E-008                  9.9999999914750293E-001                  9.9999999226023295E-001                  6.3356210664677493E+000                 -2.2943588080798264E+001                  1.3062023465499701E+000                  6.3356251249491704E+000                  4.3387261671558282E+000                  6.3312247828785733E+000                 -2.2943588080798264E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4922781721961138E+034                  7.3101744520348202E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6865985821320866E+000                  5.5553526523871213E+000                  9.2773799838201432E-001                  4.3605639846390094E+000                  7.1795103476804910E-006                  7.6540406738566800E+000                  4.6162512644028264E-001                  1.6449187182573251E+001                  4.6162512644028264E-001                  7.6540406738566800E+000                  6.1350211007938371E-001                  8.5687557842199324E-001                  1.2777456561982019E+000                  7.1381334953903008E-001                  2.7192020856502747E-001                  8.6119092121728140E-005                  5.5997161311115403E-003                  2.3825110413126386E-003                  6.5335199888289395E-003                  4.2832149609869809E+001                  1.6311950785520107E+001                  0.0000000000000000E+000                                        1                                        0                                        5 
                                       8                                     1008                  3.0242873154052165E+002                  1.6427116704601945E+000                  3.5076828828119837E+001                 -6.1036586793388876E+000                  5.3909615867498502E+001                  8.9849420274199421E-001                  7.8132023184629418E-008                  9.9999999912647142E-001                  9.9999999183827715E-001                  9.0424241720994292E-001                  7.8132023184629418E-008                  9.9999999912647142E-001                  9.9999999183827715E-001                  6.2423535948339026E+000                 -2.3184478450230102E+001                  1.2108696647747934E+000                  6.2423576340618405E+000                  4.1920440371416809E+000                  6.2384683721408107E+000                 -2.3184478450230102E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3245892916678351E+034                  7.1709305200199594E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6869042566209540E+000                  5.5766094425203052E+000                  9.3775504447087099E-001                  4.3405296420310391E+000                  6.3773247476681150E-006                  7.6493200985379888E+000                  4.4770321574849764E-001                  1.6430324441286775E+001                  4.4770321574849764E-001                  7.6493200985379888E+000                  6.1387479001791934E-001                  8.5686840135737319E-001                  1.2777636756097155E+000                  7.1379891660066919E-001                  2.7193406366676914E-001                  8.0708800760881743E-005                  5.5974010671908433E-003                  2.3825110413126403E-003                  6.5335199888289447E-003                  4.2831339412148679E+001                  1.6312695270643296E+001                  0.0000000000000000E+000                                        1                                        0                                        5 
                                       9                                      999                  3.5513871943914148E+002                  1.7218929165078192E+000                  3.5076828493750952E+001                 -6.0573011527897673E+000                  5.2954199008947121E+001                  8.8107473689893878E-001                  7.8132083802806562E-008                  9.9999999910727366E-001                  9.9999999133445328E-001                  8.8929617364232816E-001                  7.8132083802806562E-008                  9.9999999910727366E-001                  9.9999999133445328E-001                  6.1586465586556880E+000                 -2.3408808822135509E+001                  1.1223479535057317E+000                  6.1586505533514497E+000                  4.0500363770186851E+000                  6.1552513173612597E+000                 -2.3408808822135509E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1631712847585897E+034                  7.0475221236200657E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6868564887520732E+000                  5.5954667991198095E+000                  9.4727925850838546E-001                  4.3214808795871189E+000                  5.6589485473859753E-006                  7.6449505725443645E+000                  4.3484995817610045E-001                  1.6412885058789808E+001                  4.3484995817610045E-001                  7.6449505725443645E+000                  6.1422035560824906E-001                  8.5686110542879601E-001                  1.2777818133979595E+000                  7.1378428181898990E-001                  2.7194840223763272E-001                  7.6847036770439061E-005                  5.5950352284740773E-003                  2.3825110413126403E-003                  6.5335199888289395E-003                  4.2830529399771628E+001                  1.6313443922721696E+001                  0.0000000000000000E+000                                        1                                        0                                        5 
