                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     550                                     1267                  6.0000000000000000E+001                  1.4000000000000000E-002                  3.6841541645415528E+006                  2.3865142756693345E+002                  2.1676999009833202E+004                  8.3774680303431989E+005                  6.4985566698579575E+001                 -5.8353215767004398E+000                  1.0771366074521634E-029                  0.0000000000000000E+000                  9.8644072497501178E-001                  2.5248585818935854E-004                  8.7182356911427832E-003                  1.7936311193081548E-004                  1.1360816776021933E-003                  4.7844635223008758E+001                 -2.2382914433503626E-005                  1.1205233695700660E+001                  1.0109839451403864E-004                  3.5986378852227929E+001                  1.6278358883891134E-002                  3.7868873360533845E-001                  4.7764290783254462E-002                  5.5246840615192139E-002                  2.2979680298945212E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7844633682762748E+001                  6.3685345241965763E+001                  4.7844621134719830E+001                  6.1251243031700916E+001                  7.5830219544748159E+005                  9.8699816415712405E+002                  5.7111092575603316E+005                  8.0565129682564712E+005                  8.0564549654844089E+005                  2.5806124172456032E-002                  5.4982937475144405E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    omega                                    v_rot 
                                       1                  4.7844635223008758E+001                  1.8128169105012184E+000                  4.3360035746647236E+000                 -1.0217464080860447E+001                  2.8614999428058914E+000                  7.1999894576940626E-001                  2.6600058813928884E-001                  1.4000466091304897E-002                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  4.7844635222984827E+001                  1.8128166172231002E+000                  4.3360145603282128E+000                 -1.0217432307532496E+001                  2.8615436118656632E+000                  7.1999894576940637E-001                  2.6600058813928884E-001                  1.4000466091304786E-002                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  4.7844635222947915E+001                  1.8128161646245191E+000                  4.3360278913817085E+000                 -1.0217393748917569E+001                  2.8615966045008889E+000                  7.1999894576940637E-001                  2.6600058813928890E-001                  1.4000466091304675E-002                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  4.7844635222910995E+001                  1.8128157120647057E+000                  4.3360478854519373E+000                 -1.0217335926007161E+001                  2.8616760816626408E+000                  7.1999894576940626E-001                  2.6600058813928884E-001                  1.4000466091304897E-002                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  4.7844635222837148E+001                  1.8128148070613364E+000                  4.3360873854330650E+000                 -1.0217221706140281E+001                  2.8618330922140820E+000                  7.1999894576940626E-001                  2.6600058813928884E-001                  1.4000466091304897E-002                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  4.7844635222692112E+001                  1.8128130299981147E+000                  4.3361622071451515E+000                 -1.0217005390359654E+001                  2.8621304951594668E+000                  7.1999894576940615E-001                  2.6600058813928884E-001                  1.4000466091305008E-002                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  4.7844635222422362E+001                  1.8128097262484806E+000                  4.3362840143449679E+000                 -1.0216653250045644E+001                  2.8626146536600774E+000                  7.1999894576940571E-001                  2.6600058813928901E-001                  1.4000466091305341E-002                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  4.7844635222016286E+001                  1.8128047567508854E+000                  4.3364923240305178E+000                 -1.0216051488363117E+001                  2.8634425354630944E+000                  7.1999894576940460E-001                  2.6600058813928940E-001                  1.4000466091306007E-002                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  4.7844635221265015E+001                  1.8127955754614673E+000                  4.3368428378380806E+000                 -1.0215039304983632E+001                  2.8648354891241632E+000                  7.1999894576940116E-001                  2.6600058813929045E-001                  1.4000466091308450E-002                  0.0000000000000000E+000                  0.0000000000000000E+000 
