                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9575      2.5000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                   total_angular_momentum                              num_retries                              num_backups                                num_iters 
                                       1                                     1175                  1.0000000000000000E+002                  2.0000000000000000E+000                  3.4696618459232219E+001                 -9.8999999999999986E+001                  9.8159471275968233E+000                  3.8972165200686915E-001                  7.8131873746409460E-008                  9.9999999761406766E-001                  9.9999995014751031E-001                  3.8972165200686915E-001                  7.8131873746409460E-008                  9.9999999761406766E-001                  9.9999995014751031E-001                  6.7613983740281869E+000                 -2.0719032799905143E+001                  2.0490195531862390E+000                  6.7614067957575221E+000                  4.1051532312915100E+000                  6.7604389318617226E+000                 -2.0719032799905143E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2615334116589079E+034                  3.7389301311630045E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6502707616284020E+000                  4.8700219417496893E+000                  6.5772828407066697E-001                  4.5203727939438290E+000                 -6.3224012854453201E-006                  7.6917046464660972E+000                  9.6376156927080636E-001                  1.6884137054035065E+001                  9.6376156927080636E-001                  7.6917046464660972E+000                  6.0835854115527699E-001                  8.5927909240433920E-001                  1.2719242212684336E+000                  7.1862052322401782E-001                  2.6702025817273606E-001                  6.8250874412444882E-005                  6.2983050544213976E-003                  2.3825110413126368E-003                  6.5335199888289447E-003                  1.7986166732121891E+001                  6.6596613680933041E+000                  0.0000000000000000E+000                                        0                                        0                                       32 
                                       2                                     1248                  1.8000000000000003E+002                  1.9030899869919435E+000                  3.4696618459232219E+001                 -9.8999999999999986E+001                  1.9267683178575247E+001                  7.6956925748225080E-001                  7.8131866751572246E-008                  9.9999999905204096E-001                  9.9999999353958169E-001                  7.6956925748225080E-001                  7.8131866751572246E-008                  9.9999999905204096E-001                  9.9999999353958169E-001                  6.5101372933887323E+000                 -2.3323468874170427E+001                  1.0120094977846561E+000                  6.5101386726794903E+000                  4.8603178141030501E+000                  6.5003000327545868E+000                 -2.3323468874170427E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5372565842984681E+034                  3.1933732609842513E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6078121324733177E+000                  4.7657866777860676E+000                  6.9052791039902506E-001                  4.4547735412871123E+000                  2.7593180211545683E-006                  7.6398670716009498E+000                  8.0583793012247129E-001                  1.6673149993798649E+001                  8.0583793012247129E-001                  7.6398670716009498E+000                  6.1209087333458634E-001                  8.5953330654881221E-001                  1.2712799487197488E+000                  7.1913411376572900E-001                  2.6655319029411034E-001                  4.0510819588667727E-004                  6.4043602070472157E-003                  2.3825110413126373E-003                  6.5335199888289465E-003                  1.7983312933361109E+001                  6.6604989890952977E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
                                       3                                     1230                  2.4400000000000000E+002                  1.8061799739838871E+000                  3.4696618459232219E+001                 -9.8999999999999986E+001                  2.0838835338346183E+001                  8.3256528001008090E-001                  7.8131867251172607E-008                  9.9999999831551778E-001                  9.9999999000430473E-001                  8.3256528001008090E-001                  7.8131867251172607E-008                  9.9999999831551778E-001                  9.9999999000430473E-001                  6.1588674408354001E+000                 -2.4324034174280929E+001                  6.2245625960524076E-001                  6.1588687037456813E+000                  4.5329477547200012E+000                  6.1484669340753300E+000                 -2.4324034174280929E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3427975723680739E+034                  3.0420331327826056E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5905391522152241E+000                  4.7216040512567554E+000                  7.0298255765055595E-001                  4.4298642467840512E+000                  1.4535043052198796E-006                  7.6208591516198450E+000                  7.4865228964131902E-001                  1.6596321656151684E+001                  7.4865228964131902E-001                  7.6208591516198450E+000                  6.1354076742849639E-001                  8.5954222090535948E-001                  1.2712640844625209E+000                  7.1915126549778230E-001                  2.6652445281547837E-001                  3.4175989876302209E-004                  6.4111208658556226E-003                  2.3825110413126373E-003                  6.5335199888289465E-003                  1.7982311899568792E+001                  6.6608124315497719E+000                  0.0000000000000000E+000                                        0                                        0                                        6 
                                       4                                     1207                  2.9520000000000005E+002                  1.7092699609758308E+000                  3.4696618459232219E+001                 -9.8999999999999986E+001                  2.1126942585639540E+001                  8.4366842668312292E-001                  7.8131867695261817E-008                  9.9999999782450211E-001                  9.9999998818208813E-001                  8.4366842668312292E-001                  7.8131867695261817E-008                  9.9999999782450211E-001                  9.9999998818208813E-001                  5.9497389126845128E+000                 -2.4830029799999512E+001                  4.2740129858559578E-001                  5.9497402171904046E+000                  4.3105889145290810E+000                  5.9396541205335325E+000                 -2.4830029799999512E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1998258981229815E+034                  2.9268367398923296E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5816050504237307E+000                  4.6986004240613459E+000                  7.0934894763583856E-001                  4.4171314668134851E+000                  9.7521873404998657E-007                  7.6114307044305889E+000                  7.2043933370369784E-001                  1.6558329855493291E+001                  7.2043933370369784E-001                  7.6114307044305889E+000                  6.1426951092137982E-001                  8.5953714497923217E-001                  1.2712820025156790E+000                  7.1914038152214854E-001                  2.6652451338214234E-001                  2.7850448390911759E-004                  6.4113232998432978E-003                  2.3825110413126373E-003                  6.5335199888289465E-003                  1.7981824003008828E+001                  6.6609815235662078E+000                  0.0000000000000000E+000                                        0                                        0                                        5 
                                       5                                     1197                  3.3616000000000008E+002                  1.6123599479677744E+000                  3.4696618459232219E+001                 -9.8999999999999986E+001                  2.1029130034492983E+001                  8.3931077704400159E-001                  7.8131863014591698E-008                  9.9999999761406688E-001                  9.9999998712510707E-001                  8.3931077704400159E-001                  7.8131863014591698E-008                  9.9999999761406688E-001                  9.9999998712510707E-001                  5.8094143384182342E+000                 -2.5123983554496121E+001                  3.1471568892814999E-001                  5.8094157286428265E+000                  4.1534495960238367E+000                  5.7997168495226079E+000                 -2.5123983554496121E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1048257999969518E+034                  2.8513665665903779E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5763406080751325E+000                  4.6851449816533108E+000                  7.1315011112901783E-001                  4.4095291398271268E+000                  7.4779365554656667E-007                  7.6060085769431582E+000                  7.0427872046941475E-001                  1.6536531780035013E+001                  7.0427872046941475E-001                  7.6060085769431582E+000                  6.1469208460722047E-001                  8.5953083258056961E-001                  1.2713016568474618E+000                  7.1912712468889162E-001                  2.6652961072646364E-001                  2.3045907295314374E-004                  6.4103375169378644E-003                  2.3825110413126407E-003                  6.5335199888289543E-003                  1.7981544700199919E+001                  6.6610889661335282E+000                  0.0000000000000000E+000                                        0                                        0                                        4 
                                       6                                     1193                  3.8531200000000013E+002                  1.6915411940153993E+000                  3.4696618459232219E+001                 -9.8999999999999986E+001                  2.0916736286271316E+001                  8.3484907191015867E-001                  7.8131862856184798E-008                  9.9999999733348655E-001                  9.9999998645598942E-001                  8.3484907191015867E-001                  7.8131862856184798E-008                  9.9999999733348655E-001                  9.9999998645598942E-001                  5.6772257617174571E+000                 -2.5381894485766939E+001                  2.1624409609944706E-001                  5.6772272641739141E+000                  4.0107435710677599E+000                  5.6677628456625788E+000                 -2.5381894485766939E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0087160154439630E+034                  2.7741756975663607E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5717030568285573E+000                  4.6736692037017136E+000                  7.1668732464636831E-001                  4.4024547127924256E+000                  5.9232881763686603E-007                  7.6012831300637984E+000                  6.9026150274930420E-001                  1.6517588964274541E+001                  6.9026150274930420E-001                  7.6012831300637984E+000                  6.1506041850831317E-001                  8.5952530808357319E-001                  1.2713187932399890E+000                  7.1911540823508879E-001                  2.6653467189404456E-001                  1.9212544974666628E-004                  6.4093676652980545E-003                  2.3825110413126412E-003                  6.5335199888289482E-003                  1.7981299385687105E+001                  6.6611949039308298E+000                  0.0000000000000000E+000                                        0                                        0                                        5 
                                       7                                     1189                  4.4429440000000011E+002                  1.7707224400630239E+000                  3.4696618459232219E+001                 -9.8999999999999986E+001                  2.0620271948409542E+001                  8.2442379622387307E-001                  7.8131862578078576E-008                  9.9999999726334143E-001                  9.9999998582137406E-001                  8.2442379622387307E-001                  7.8131862578078576E-008                  9.9999999726334143E-001                  9.9999998582137406E-001                  5.5534280694132843E+000                 -2.5609942919813658E+001                  1.2945459852543062E-001                  5.5534297055139534E+000                  3.8783677481600169E+000                  5.5441522206407541E+000                 -2.5609942919813658E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9188749164399866E+034                  2.7013421867326183E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5676981597831610E+000                  4.6645990398403772E+000                  7.2016203680649360E-001                  4.3955052884721750E+000                  4.9385256246526813E-007                  7.5971271471017143E+000                  6.7788717127391929E-001                  1.6500992332536413E+001                  6.7788717127391929E-001                  7.5971271471017143E+000                  6.1516428291030789E-001                  8.5952028910530820E-001                  1.2713341407322012E+000                  7.1910474847245631E-001                  2.6653985978326711E-001                  1.6091473162458485E-004                  6.4083833875506905E-003                  2.3825110413126412E-003                  6.5335199888289491E-003                  1.7981078387758718E+001                  6.6613024297777450E+000                  0.0000000000000000E+000                                        0                                        0                                        4 
                                       8                                     1184                  5.1507328000000007E+002                  1.8499036861106488E+000                  3.4696618459232219E+001                 -9.8999999999999986E+001                  2.0190728430379909E+001                  8.0579132229355988E-001                  7.8131862859640891E-008                  9.9999999705290632E-001                  9.9999998520953792E-001                  8.0579132229355988E-001                  7.8131862859640891E-008                  9.9999999705290632E-001                  9.9999998520953792E-001                  5.4379267989786966E+000                 -2.5812662297747284E+001                  5.2485348267610386E-002                  5.4379285868735190E+000                  3.7532028865685589E+000                  5.4288572164223847E+000                 -2.5812662297747284E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8318118356855620E+034                  2.6288601766143037E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5644292748754713E+000                  4.6587787874359474E+000                  7.2378968041965674E-001                  4.3882500012458490E+000                  4.3646185697107196E-007                  7.5934507245719196E+000                  6.6698573155190377E-001                  1.6486386520341256E+001                  6.6698573155190377E-001                  7.5934507245719196E+000                  6.1516938722862369E-001                  8.5951557392836031E-001                  1.2713482484573457E+000                  7.1909477207792705E-001                  2.6654532901749522E-001                  1.3522389975109740E-004                  6.4073555438866371E-003                  2.3825110413126407E-003                  6.5335199888289456E-003                  1.7980875027970228E+001                  6.6614138883350256E+000                  0.0000000000000000E+000                                        0                                        0                                        5 
                                       9                                     1180                  6.0000793600000009E+002                  1.9290849321582737E+000                  3.4696618459232219E+001                 -9.8999999999999986E+001                  1.9637659113562961E+001                  7.8410685652341028E-001                  7.8131862803691056E-008                  9.9999999691261621E-001                  9.9999998460900164E-001                  7.8410685652341028E-001                  7.8131862803691056E-008                  9.9999999691261621E-001                  9.9999998460900164E-001                  5.3309412185534297E+000                 -2.5993453329238413E+001                 -1.6031758511548415E-002                  5.3309431720396745E+000                  3.6329964316173267E+000                  5.3221463462214871E+000                 -2.5993453329238413E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7461568070005549E+034                  2.5611750127086484E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5620653688996304E+000                  4.6573101054367969E+000                  7.2778315137176519E-001                  4.3802630593416323E+000                  4.0574752577724226E-007                  7.5901854228120786E+000                  6.5742150232185270E-001                  1.6473508759704409E+001                  6.5742150232185270E-001                  7.5901854228120786E+000                  6.1517423781027269E-001                  8.5951101950215358E-001                  1.2713615104677047E+000                  7.1908520385980701E-001                  2.6655121688487116E-001                  1.1409165730791279E-004                  6.4062585023333127E-003                  2.3825110413126407E-003                  6.5335199888289456E-003                  1.7980684773003166E+001                  6.6615309392858881E+000                  0.0000000000000000E+000                                        0                                        0                                        5 
