                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                      50                                      633                  2.0000000000000000E+001                  8.8000000000000005E-003                  1.8288589153388038E+005                  7.2389857374980947E+003                  3.5126000206984900E+004                  4.2225591424687533E+004                  5.5563463326775482E+000                 -5.9837094134088975E+000                  7.2024921054244317E-001                  7.7923335103780091E-008                  2.7082181898623098E-001                  3.9457570831638656E-005                  2.9826611531632518E-003                  3.1832687613829293E-003                  9.2376237786695079E-004                  1.9995916766629382E+001                 -2.2214316332590601E-008                  1.4460318320978780E+001                  2.1877018932143079E-004                  5.3578127912343234E+000                  1.2497105797261163E-002                  3.9143663872452134E-002                  7.1467134011737043E-002                  1.8471475619971183E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9995916762102780E+001                  5.5362069392931605E+000                  1.9995916712070869E+001                  5.5028615549551878E+000                  2.9325597751979825E+004                  4.0003420796296894E+004                  4.7354971456808560E+006                  4.2363453648292671E+004                  4.2363453648292663E+004                  7.3689766663425680E-028                  2.9378257906054532E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.9995916766629382E+001                  7.4478930792285825E-001                  4.5464039392972699E+000                 -8.9519820442734606E+000                  3.9576054685696276E+000                  7.2719999996046059E-001                  2.6400000003953877E-001                  8.8000000000005851E-003 
                                       2                  1.9995916766619381E+001                  7.4477866639402568E-001                  4.5483352962765649E+000                 -8.9405659249222413E+000                  3.9687036945526009E+000                  7.2719999996046059E-001                  2.6400000003953877E-001                  8.8000000000005851E-003 
                                       3                  1.9995916766602299E+001                  7.4476095046138413E-001                  4.5525518238201856E+000                 -8.9170990285528404E+000                  3.9921676957212955E+000                  7.2719999996046059E-001                  2.6400000003953877E-001                  8.8000000000005851E-003 
                                       4                  1.9995916766559802E+001                  7.4471919815095200E-001                  4.5572889441291542E+000                 -8.8927296233871029E+000                  4.0174594921005085E+000                  7.2719999996046059E-001                  2.6400000003953877E-001                  8.8000000000005851E-003 
                                       5                  1.9995916766534393E+001                  7.4469559028625665E-001                  4.5625239787912424E+000                 -8.8679761942615887E+000                  4.0442059434663626E+000                  7.2719999996046059E-001                  2.6400000003953877E-001                  8.8000000000005851E-003 
                                       6                  1.9995916766483575E+001                  7.4465097993939788E-001                  4.5689794005991535E+000                 -8.8398284070047524E+000                  4.0758441463856361E+000                  7.2719999996046059E-001                  2.6400000003953877E-001                  8.8000000000005851E-003 
                                       7                  1.9995916766437990E+001                  7.4461346527584427E-001                  4.5749171584742196E+000                 -8.8159264651868270E+000                  4.1037923360516215E+000                  7.2719999996046059E-001                  2.6400000003953877E-001                  8.8000000000005851E-003 
                                       8                  1.9995916766392408E+001                  7.4457795053431630E-001                  4.5806822585501159E+000                 -8.7941823383851272E+000                  4.1300590980993839E+000                  7.2719999996046059E-001                  2.6400000003953877E-001                  8.8000000000005851E-003 
                                       9                  1.9995916766346824E+001                  7.4454416206744489E-001                  4.5862700154650415E+000                 -8.7742236567923602E+000                  4.1548354021706171E+000                  7.2719999996046059E-001                  2.6400000003953877E-001                  8.8000000000005851E-003 
