                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1100                                      636                  2.0000000000000000E+001                  8.8000000000000005E-003                  8.1818309048203882E+006                  1.2793678844729799E+004                  2.8394833985544406E+004                  9.0148289964319803E+004                  1.2423927694625826E+001                 -6.4330979193361628E+000                  2.2306509402220637E-001                  8.8131088166007975E-010                  7.6839086484697039E-001                  8.4030731194418903E-005                  5.5726232016715411E-003                  1.6388125403347782E-004                  9.2376237786695068E-004                  1.9640498123408982E+001                 -7.4634447368450582E-008                  9.3467750000361995E+000                  1.5120046433517352E-004                  1.0123262464693989E+001                  8.4778261832463373E-003                  7.6016684990244915E-002                  3.2323950969628958E-002                  1.8143153248971578E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9640498089878744E+001                  1.2314877925877276E+001                  1.9640497727274447E+001                  1.2103340688474523E+001                  9.8934028889609515E+004                  8.0847785233749855E+003                  2.1786878188352305E+006                  9.0299126006696315E+004                  9.0299126006696388E+004                  2.4408164412454604E-024                  6.1450368193420145E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.9640498123408982E+001                  1.0942589151998652E+000                  4.4533425327761798E+000                 -9.4046015464277186E+000                  3.4901632862769167E+000                  7.1972015893685282E-001                  2.7147137000334026E-001                  8.8084710598068661E-003 
                                       2                  1.9640498123399162E+001                  1.0942562641744045E+000                  4.4535716271509402E+000                 -9.4034623031981628E+000                  3.4912931429466139E+000                  7.1972015893685271E-001                  2.7147137000334026E-001                  8.8084710598070881E-003 
                                       3                  1.9640498123382379E+001                  1.0942517454174012E+000                  4.4540748498327547E+000                 -9.4009746024174277E+000                  3.4937684939328171E+000                  7.1972015893685271E-001                  2.7147137000334026E-001                  8.8084710598070881E-003 
                                       4                  1.9640498123340638E+001                  1.0942405703792317E+000                  4.4550742101305083E+000                 -9.3960901863130211E+000                  3.4986598132018671E+000                  7.1972015893685248E-001                  2.7147137000334054E-001                  8.8084710598069771E-003 
                                       5                  1.9640498123265765E+001                  1.0942207468986456E+000                  4.4568559755506163E+000                 -9.3875631033398186E+000                  3.5073005575840948E+000                  7.1972015893685148E-001                  2.7147137000334148E-001                  8.8084710598070881E-003 
                                       6                  1.9640498123131447E+001                  1.0941858686291144E+000                  4.4596048230023646E+000                 -9.3748286313990814E+000                  3.5204442973351422E+000                  7.1972015893684871E-001                  2.7147137000334431E-001                  8.8084710598069771E-003 
                                       7                  1.9640498122939597E+001                  1.0941374764773228E+000                  4.4639806657117100E+000                 -9.3555722754488748E+000                  3.5409097345376539E+000                  7.1972015893683983E-001                  2.7147137000335314E-001                  8.8084710598070881E-003 
                                       8                  1.9640498122603795E+001                  1.0940564133798947E+000                  4.4693828010908767E+000                 -9.3332012049583568E+000                  3.5655375982407840E+000                  7.1972015893681951E-001                  2.7147137000337340E-001                  8.8084710598070881E-003 
                                       9                  1.9640498122271357E+001                  1.0939801487247967E+000                  4.4734318745744286E+000                 -9.3173384584969785E+000                  3.5835810293474162E+000                  7.1972015893679642E-001                  2.7147137000339638E-001                  8.8084710598071991E-003 
                                      10                  1.9640498122090023E+001                  1.0939400256955405E+000                  4.4781606200619022E+000                 -9.2999529198141531E+000                  3.6041204976378309E+000                  7.1972015893674846E-001                  2.7147137000344418E-001                  8.8084710598073102E-003 
                                      11                  1.9640498121660197E+001                  1.0938486098063056E+000                  4.4828954724903438E+000                 -9.2832088431187980E+000                  3.6243837902795772E+000                  7.1972015893668817E-001                  2.7147137000350419E-001                  8.8084710598076432E-003 
                                      12                  1.9640498121458720E+001                  1.0938073603816030E+000                  4.4873378773745589E+000                 -9.2684590479343480E+000                  3.6429453591626770E+000                  7.1972015893654895E-001                  2.7147137000364291E-001                  8.8084710598081983E-003 
