                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1400                                      811                  2.0000000000000000E+001                  8.8000000000000005E-003                  9.7771605915056709E+006                  1.4816374100954667E+002                  2.1941216908384791E+004                  1.2608672112086900E+005                  2.4607760444745463E+001                 -4.8353429911277388E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9147349532215645E-001                  1.5823427059636966E-004                  5.5219570786961018E-003                  1.2281869892986452E-004                  9.2375957072831326E-004                  1.8798241557858042E+001                 -1.2214414335879166E-006                  7.0795593678567830E+000                  1.3629664549696610E-004                  1.1555776013252121E+001                  8.1271037472652793E-003                  7.4378033029862220E-002                  2.9067695648167868E-002                  1.7365088732817457E-002                  6.7185425225038653E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8798241396485000E+001                  2.4285981596224016E+001                  1.8798239890053555E+001                  2.3579077616177759E+001                  2.8189222266877018E+005                  2.6734529760500855E+003                  1.4908978035710603E+006                  1.1261113654329746E+005                  1.1261112728142447E+005                  1.7981831741511998E-003                  7.6645508947560720E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.8798241557858042E+001                  1.3910720903079610E+000                  4.3412794927734772E+000                 -9.8482226172689398E+000                  2.9944807602552155E+000                  7.1874549682300859E-001                  2.7244154514778385E-001                  8.8129580292075627E-003 
                                       2                  1.8798241557848641E+001                  1.3910711834118175E+000                  4.3413247440563474E+000                 -9.8479700744633991E+000                  2.9947094232880467E+000                  7.1874549682300859E-001                  2.7244154514778385E-001                  8.8129580292075627E-003 
                                       3                  1.8798241557832579E+001                  1.3910696344444293E+000                  4.3414242490313937E+000                 -9.8474153180753898E+000                  2.9952120344688007E+000                  7.1874549682300859E-001                  2.7244154514778390E-001                  8.8129580292075627E-003 
                                       4                  1.8798241557792629E+001                  1.3910657868454517E+000                  4.3416223317226139E+000                 -9.8463130225624482E+000                  2.9962118478568098E+000                  7.1874549682300848E-001                  2.7244154514778385E-001                  8.8129580292076737E-003 
                                       5                  1.8798241557720971E+001                  1.3910589023452604E+000                  4.3419770520193604E+000                 -9.8443460229510400E+000                  2.9979998044995497E+000                  7.1874549682300848E-001                  2.7244154514778390E-001                  8.8129580292075627E-003 
                                       6                  1.8798241557592409E+001                  1.3910466066175347E+000                  4.3425284482417830E+000                 -9.8413047251924368E+000                  3.0007733392862952E+000                  7.1874549682300837E-001                  2.7244154514778401E-001                  8.8129580292075627E-003 
                                       7                  1.8798241557408787E+001                  1.3910291649856055E+000                  4.3434164110361824E+000                 -9.8364518196558741E+000                  3.0052237243230104E+000                  7.1874549682300815E-001                  2.7244154514778424E-001                  8.8129580292075627E-003 
                                       8                  1.8798241557087387E+001                  1.3909989713018900E+000                  4.3448351420193054E+000                 -9.8288022866909266E+000                  3.0122969654516316E+000                  7.1874549682300759E-001                  2.7244154514778485E-001                  8.8129580292075627E-003 
                                       9                  1.8798241556595645E+001                  1.3909535696775215E+000                  4.3473885514740500E+000                 -9.8153748954910061E+000                  3.0249021659646282E+000                  7.1874549682300570E-001                  2.7244154514778668E-001                  8.8129580292075627E-003 
