                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     200                                      627                  2.0000000000000000E+001                  8.8000000000000005E-003                  1.2887214589000065E+006                  7.5206434875547866E+003                  3.4644273229604012E+004                  4.5524711700446787E+004                  5.9308853441794049E+000                 -6.0576703930644609E+000                  6.8184594151560640E-001                  6.4922066318471661E-008                  3.0945762863751980E-001                  5.9099734380789657E-005                  4.5645228005033881E-003                  1.3492373273104688E-003                  9.2376237786695068E-004                  1.9969679380108968E+001                 -2.5606362511755113E-008                  1.3948494282484670E+001                  1.7683457456187657E-004                  5.8464402283116170E+000                  1.0157908943234031E-002                  6.3873167803660827E-002                  4.6149435100745061E-002                  1.8447238509410064E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9969679374696145E+001                  5.9076660166721249E+000                  1.9969679315717606E+001                  5.8693701394708944E+000                  3.2361401220374122E+004                  3.4670091740462791E+004                  4.3865581206773426E+006                  4.5588524681676849E+004                  4.5588524681676863E+004                  4.5277956417809948E-028                  3.1259489520068578E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.9969679380108968E+001                  7.7311952833758157E-001                  4.5402845332956785E+000                 -8.9899027249590979E+000                  3.9216078566760797E+000                  7.2719964109863222E-001                  2.6400034111808279E-001                  8.8000177832849857E-003 
                                       2                  1.9969679380098981E+001                  7.7310999242724188E-001                  4.5419072241986687E+000                 -8.9803243530461749E+000                  3.9308625712397478E+000                  7.2719964109863222E-001                  2.6400034111808279E-001                  8.8000177832849857E-003 
                                       3                  1.9969679380081917E+001                  7.7309404995820818E-001                  4.5454537928256293E+000                 -8.9604224942375481E+000                  3.9505560825199004E+000                  7.2719964109863222E-001                  2.6400034111808279E-001                  8.8000177832849857E-003 
                                       4                  1.9969679380039477E+001                  7.7305616832922897E-001                  4.5494476748391577E+000                 -8.9394745950760974E+000                  3.9719706969444988E+000                  7.2719964109863222E-001                  2.6400034111808274E-001                  8.8000177832849857E-003 
                                       5                  1.9969679380014103E+001                  7.7303458007563275E-001                  4.5538734489470212E+000                 -8.9179165704040511E+000                  3.9948201921593403E+000                  7.2719964109863222E-001                  2.6400034111808285E-001                  8.8000177832849857E-003 
                                       6                  1.9969679379963349E+001                  7.7299348559414083E-001                  4.5593577761066042E+000                 -8.8930987999320674E+000                  4.0221060987245281E+000                  7.2719964109863222E-001                  2.6400034111808285E-001                  8.8000177832849857E-003 
                                       7                  1.9969679379917828E+001                  7.7295866231478794E-001                  4.5644299295238007E+000                 -8.8717807950298351E+000                  4.0464309693990117E+000                  7.2719964109863222E-001                  2.6400034111808290E-001                  8.8000177832848747E-003 
                                       8                  1.9969679379872304E+001                  7.7292549932773291E-001                  4.5693840219826125E+000                 -8.8522176663205983E+000                  4.0694726947251789E+000                  7.2719964109863200E-001                  2.6400034111808296E-001                  8.8000177832849857E-003 
                                       9                  1.9969679379826779E+001                  7.7289378994256774E-001                  4.5742166169677230E+000                 -8.8341480158621390E+000                  4.0913599439419350E+000                  7.2719964109863200E-001                  2.6400034111808302E-001                  8.8000177832849857E-003 
                                      10                  1.9969679379781258E+001                  7.7286336628876440E-001                  4.5791480123536168E+000                 -8.8165950977179008E+000                  4.1131685452552320E+000                  7.2719964109863189E-001                  2.6400034111808313E-001                  8.8000177832849857E-003 
                                      11                  1.9969679379731410E+001                  7.7283136509284500E-001                  4.5866346047905342E+000                 -8.7915351840758049E+000                  4.1453115740804645E+000                  7.2719964109862834E-001                  2.6400034111808662E-001                  8.8000177832849857E-003 
                                      12                  1.9969679379631714E+001                  7.7277093198347246E-001                  4.5937155513530037E+000                 -8.7685298696458140E+000                  4.1752559185624927E+000                  7.2719964109862822E-001                  2.6400034111808668E-001                  8.8000177832850968E-003 
                                      13                  1.9969679379581862E+001                  7.7274226557522374E-001                  4.6005385458587620E+000                 -8.7476751932181180E+000                  4.2032757856605736E+000                  7.2719964109862734E-001                  2.6400034111808757E-001                  8.8000177832850968E-003 
                                      14                  1.9969679379482166E+001                  7.7268760507657741E-001                  4.6090803758387260E+000                 -8.7219439546536819E+000                  4.2380456635177062E+000                  7.2719964109862734E-001                  2.6400034111808757E-001                  8.8000177832850968E-003 
                                      15                  1.9969679379382470E+001                  7.7263607015207936E-001                  4.6167800855999488E+000                 -8.6991337954054710E+000                  4.2690818035807725E+000                  7.2719964109862700E-001                  2.6400034111808779E-001                  8.8000177832852078E-003 
                                      16                  1.9969679379290284E+001                  7.7259084109392917E-001                  4.6237428990849629E+000                 -8.6787216034615895E+000                  4.2969609123998751E+000                  7.2719964109862689E-001                  2.6400034111808790E-001                  8.8000177832852078E-003 
                                      17                  1.9969679379198098E+001                  7.7254767547779390E-001                  4.6313890457244815E+000                 -8.6565265910792561E+000                  4.3273868246052896E+000                  7.2719964109862589E-001                  2.6400034111808890E-001                  8.8000177832852078E-003 
                                      18                  1.9969679379075185E+001                  7.7249297029497310E-001                  4.6394947129759290E+000                 -8.6327231722095732E+000                  4.3597508809619807E+000                  7.2719964109862556E-001                  2.6400034111808923E-001                  8.8000177832852078E-003 
                                      19                  1.9969679378952272E+001                  7.7244116372697424E-001                  4.6451592751780195E+000                 -8.6157476328132052E+000                  4.3825447237244228E+000                  7.2719964109862534E-001                  2.6400034111808945E-001                  8.8000177832852078E-003 
                                      20                  1.9969679378890817E+001                  7.7241624680600363E-001                  4.6506028613106389E+000                 -8.5998068439635009E+000                  4.4042068454708367E+000                  7.2719964109862523E-001                  2.6400034111808957E-001                  8.8000177832852078E-003 
                                      21                  1.9969679378767900E+001                  7.7236819684600955E-001                  4.6557042604097871E+000                 -8.5842734987005773E+000                  4.4248491639578225E+000                  7.2719964109862512E-001                  2.6400034111808968E-001                  8.8000177832852078E-003 
                                      22                  1.9969679378706445E+001                  7.7234501027399005E-001                  4.6589876363389733E+000                 -8.5743428322775372E+000                  4.4380880027700647E+000                  7.2719964109862500E-001                  2.6400034111808973E-001                  8.8000177832852078E-003 
                                      23                  1.9969679378644987E+001                  7.7232234428579527E-001                  4.6637452920009190E+000                 -8.5600192011575782E+000                  4.4572231932450670E+000                  7.2719964109862489E-001                  2.6400034111808984E-001                  8.8000177832852078E-003 
                                      24                  1.9969679378522073E+001                  7.7227847295307717E-001                  4.6713524693843027E+000                 -8.5367651950190009E+000                  4.4880122643355369E+000                  7.2719964109862489E-001                  2.6400034111808990E-001                  8.8000177832852078E-003 
