                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                      50                                     1211                  3.0000000000000000E+001                  8.8000000000000005E-003                  4.8670722184269667E+004                  1.6339541055126399E+003                  4.0527979744041615E+004                  1.1541955915360777E+005                  6.9006282421966123E+000                 -6.3748099172106674E+000                  7.2390057486356707E-001                  4.5021086843850986E-008                  2.6712057461855343E-001                  3.7951016565355082E-005                  2.6367858007081465E-003                  3.5805636169061687E-003                  9.2376237786695133E-004                  2.9992536833115167E+001                 -1.5101332208543694E-007                  2.1742428842392854E+001                  1.4875316912538964E-004                  7.9813394950036960E+000                  9.0255274977992621E-003                  6.5422125702429446E-002                  1.1248726344370999E-001                  2.7705977143220567E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9992536823112395E+001                  6.8702984628276393E+000                  2.9992536725649693E+001                  6.8256089955551609E+000                  3.3140565741845676E+004                  2.6511719628600455E+004                  2.5985662268211553E+006                  1.1595280149350135E+005                  1.1595280149350133E+005                  1.6686202535224318E-026                  8.0561451724121525E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  2.9992536833115167E+001                  8.3888863127333635E-001                  4.6083693188425103E+000                 -9.0325932569957530E+000                  4.0772256294742499E+000                  7.2719999894062370E-001                  2.6400000074554908E-001                  8.8000003138272165E-003 
                                       2                  2.9992536833100168E+001                  8.3887859925690111E-001                  4.6098935477506036E+000                 -9.0237167693265654E+000                  4.0851978285971464E+000                  7.2719999894062370E-001                  2.6400000074554908E-001                  8.8000003138272165E-003 
                                       3                  2.9992536833074546E+001                  8.3886180017406931E-001                  4.6132081621936702E+000                 -9.0051727623375282E+000                  4.1022396597519801E+000                  7.2719999894062370E-001                  2.6400000074554908E-001                  8.8000003138272165E-003 
                                       4                  2.9992536833010806E+001                  8.3882175768981582E-001                  4.6168952629782218E+000                 -8.9853536834711658E+000                  4.1208872727548549E+000                  7.2719999894062370E-001                  2.6400000074554908E-001                  8.8000003138272165E-003 
                                       5                  2.9992536832972693E+001                  8.3879887832956224E-001                  4.6196058542797731E+000                 -8.9714192676626148E+000                  4.1343399240302876E+000                  7.2719999894062370E-001                  2.6400000074554908E-001                  8.8000003138272165E-003 
                                       6                  2.9992536832934583E+001                  8.3877671795888864E-001                  4.6222699279665189E+000                 -8.9581433519812137E+000                  4.1473911648894690E+000                  7.2719999894062370E-001                  2.6400000074554908E-001                  8.8000003138272165E-003 
                                       7                  2.9992536832896469E+001                  8.3875522151655435E-001                  4.6259217794387659E+000                 -8.9406333607198683E+000                  4.1649946210736859E+000                  7.2719999894062370E-001                  2.6400000074554908E-001                  8.8000003138272165E-003 
                                       8                  2.9992536832828094E+001                  8.3871817354236577E-001                  4.6293359276104429E+000                 -8.9246276218475789E+000                  4.1813059651080495E+000                  7.2719999894062370E-001                  2.6400000074554908E-001                  8.8000003138272165E-003 
                                       9                  2.9992536832793913E+001                  8.3870031643583987E-001                  4.6315723894309766E+000                 -8.9144686188716928E+000                  4.1918513252777458E+000                  7.2719999894062370E-001                  2.6400000074554908E-001                  8.8000003138272165E-003 
