                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1900                                     1157                  3.0000000000000000E+001                  8.8000000000000005E-003                  3.1182217125970004E+006                  1.6277008021528275E+003                  3.8046058173921549E+004                  1.5917469417181256E+005                  9.1955246571458762E+000                 -6.6161107389766505E+000                  5.0025507895105603E-001                  9.2336169146801071E-009                  4.9119692518451152E-001                  8.0608519459734313E-005                  5.5529836927843542E-003                  1.9088935595853112E-004                  9.2376237786695133E-004                  2.9329585235971088E+001                 -3.0805419807694870E-007                  1.7068384135278720E+001                  1.0984100205322632E-004                  1.2007336647270455E+001                  6.8268431902701408E-003                  1.3113393858503128E-001                  3.5914556770063701E-002                  2.7093567399431903E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9329585215149283E+001                  9.1343657623146619E+000                  2.9329585009383003E+001                  9.0438033452882447E+000                  5.1551983610323921E+004                  1.3795607970075022E+004                  1.8426035236677034E+006                  1.5939873973181224E+005                  1.5939873973181230E+005                  1.1793286368408304E-025                  1.0855681957692765E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  2.9329585235971088E+001                  9.6357651325903237E-001                  4.5805982058995136E+000                 -9.2430189276149495E+000                  3.9145551029465961E+000                  7.1742918908367947E-001                  2.7371905506837879E-001                  8.8517558479417335E-003 
                                       2                  2.9329585235956422E+001                  9.6356978290316919E-001                  4.5813052539752199E+000                 -9.2391160928453786E+000                  3.9180383619715737E+000                  7.1742918908367936E-001                  2.7371905506837896E-001                  8.8517558479417335E-003 
                                       3                  2.9329585235931361E+001                  9.6355838313640807E-001                  4.5828524980998351E+000                 -9.2307469985334354E+000                  3.9256049645210056E+000                  7.1742918908367803E-001                  2.7371905506838012E-001                  8.8517558479418446E-003 
                                       4                  2.9329585235869029E+001                  9.6353056808410453E-001                  4.5852480722280982E+000                 -9.2181597395461594E+000                  3.9371998268158741E+000                  7.1742918908367370E-001                  2.7371905506838462E-001                  8.8517558479417335E-003 
                                       5                  2.9329585235794493E+001                  9.6349824890084823E-001                  4.5871784393429209E+000                 -9.2083005297582012E+000                  3.9464500773412832E+000                  7.1742918908366782E-001                  2.7371905506839050E-001                  8.8517558479417335E-003 
                                       6                  2.9329585235757225E+001                  9.6348244940059002E-001                  4.5889604387461986E+000                 -9.1994827884826549E+000                  3.9548927605382258E+000                  7.1742918908366138E-001                  2.7371905506839694E-001                  8.8517558479417335E-003 
                                       7                  2.9329585235690363E+001                  9.6345467075757629E-001                  4.5923433530728524E+000                 -9.1833509042831007E+000                  3.9707114133378614E+000                  7.1742918908364595E-001                  2.7371905506841238E-001                  8.8517558479417335E-003 
                                       8                  2.9329585235556639E+001                  9.6340112425326108E-001                  4.5956402866501440E+000                 -9.1680605263599357E+000                  3.9859820990074639E+000                  7.1742918908362630E-001                  2.7371905506843214E-001                  8.8517558479415115E-003 
                                       9                  2.9329585235489784E+001                  9.6337527012772350E-001                  4.5979064738404469E+000                 -9.1579427573059551E+000                  3.9963390430429433E+000                  7.1742918908361142E-001                  2.7371905506844701E-001                  8.8517558479415115E-003 
                                      10                  2.9329585235416570E+001                  9.6334760666891839E-001                  4.6002376951895414E+000                 -9.1477650225674854E+000                  4.0069107917523921E+000                  7.1742918908359543E-001                  2.7371905506846306E-001                  8.8517558479415115E-003 
                                      11                  2.9329585235343355E+001                  9.6332057886361200E-001                  4.6025310229690337E+000                 -9.1379643093962351E+000                  4.0172340539728344E+000                  7.1742918908357911E-001                  2.7371905506847954E-001                  8.8517558479412894E-003 
                                      12                  2.9329585235270144E+001                  9.6329414928403367E-001                  4.6047866637550827E+000                 -9.1285088237206562E+000                  4.0273202460894844E+000                  7.1742918908356279E-001                  2.7371905506849592E-001                  8.8517558479412894E-003 
                                      13                  2.9329585235196930E+001                  9.6326828424065669E-001                  4.6070049469857777E+000                 -9.1193706445092069E+000                  4.0371800159912627E+000                  7.1742918908354669E-001                  2.7371905506851196E-001                  8.8517558479412894E-003 
