                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    3350                                     1686                  3.0000000000000000E+001                  8.8000000000000005E-003                  6.5409224332559472E+006                  2.0667291382988418E+002                  1.2371734147734833E+004                  3.0276846144785295E+005                  1.1993694858220239E+002                 -4.8383881052502469E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9143069325266631E-001                  1.8023655181932752E-004                  5.4248297201091363E-003                  1.1271271323292849E-004                  1.0517867109347313E-003                  2.6590050788773251E+001                 -3.1321543921355935E-006                  7.8933669185523225E+000                  8.9659257820339490E-005                  1.8467218630254788E+001                  6.3262043020883207E-003                  1.2393300500712312E-001                  2.6381032358319501E-002                  2.4880104028704927E-002                  1.1932061634263240E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6590045167578964E+001                  1.1529560322708480E+002                  2.6590005984505265E+001                  1.0872206216680439E+002                  2.5503717030841224E+006                  4.5704003403483654E+002                  8.7823053503057698E+005                  2.4610281559831803E+005                  2.3823769078214979E+005                  3.9650306901704630E+002                  1.6214063209563554E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  2.6590050788773251E+001                  2.0789529953874593E+000                  4.0924315015361294E+000                 -1.0887749399052570E+001                  1.8969155217424944E+000                  7.1067845027255061E-001                  2.8049231283655407E-001                  8.8292368908953200E-003 
                                       2                  2.6590050788759953E+001                  2.0789528740367316E+000                  4.0924337683316683E+000                 -1.0887737828142935E+001                  1.8969258739796815E+000                  7.1067845027255061E-001                  2.8049231283655407E-001                  8.8292368908953200E-003 
                                       3                  2.6590050788737241E+001                  2.0789526666576807E+000                  4.0924387548529113E+000                 -1.0887712375804599E+001                  1.8969486466292427E+000                  7.1067845027255061E-001                  2.8049231283655407E-001                  8.8292368908953200E-003 
                                       4                  2.6590050788680728E+001                  2.0789521509130608E+000                  4.0924486905023114E+000                 -1.0887661666773621E+001                  1.8969940201884496E+000                  7.1067845027255061E-001                  2.8049231283655401E-001                  8.8292368908953200E-003 
                                       5                  2.6590050788579362E+001                  2.0789512258848672E+000                  4.0924665125298647E+000                 -1.0887570724490308E+001                  1.8970754053547583E+000                  7.1067845027255061E-001                  2.8049231283655407E-001                  8.8292368908953200E-003 
                                       6                  2.6590050788397516E+001                  2.0789495667260689E+000                  4.0924984721609343E+000                 -1.0887407694847077E+001                  1.8972213394772528E+000                  7.1067845027255061E-001                  2.8049231283655407E-001                  8.8292368908953200E-003 
                                       7                  2.6590050788071405E+001                  2.0789465923704222E+000                  4.0925408313672431E+000                 -1.0887191692714923E+001                  1.8974147456474120E+000                  7.1067845027255061E-001                  2.8049231283655407E-001                  8.8292368908953200E-003 
                                       8                  2.6590050787724078E+001                  2.0789434260238298E+000                  4.0925986893012984E+000                 -1.0886896868587671E+001                  1.8976788729030902E+000                  7.1067845027255050E-001                  2.8049231283655413E-001                  8.8292368908953200E-003 
                                       9                  2.6590050787151259E+001                  2.0789382074312632E+000                  4.0927215400655532E+000                 -1.0886271752714860E+001                  1.8982395098996576E+000                  7.1067845027255039E-001                  2.8049231283655440E-001                  8.8292368908952090E-003 
