                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     350                                     1137                  3.0000000000000000E+001                  8.8000000000000005E-003                  5.7023552743088303E+005                  1.8384041768077409E+003                  3.9843849463700761E+004                  1.2120491950328079E+005                  7.3163821076038280E+000                 -6.4421584253479898E+000                  6.9460581033176205E-001                  4.1137501441516828E-008                  2.9666759298123047E-001                  6.0780537500806014E-005                  4.3492665529570318E-003                  1.5930033964351711E-003                  9.2376237786695112E-004                  2.9909978400956589E+001                 -1.6707693393067629E-007                  2.1054290247478729E+001                  1.1799096746515833E-004                  8.5929937758621104E+000                  7.7222011409342527E-003                  1.0535277946552950E-001                  6.8041428444177030E-002                  2.7629712769616819E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9909978389428094E+001                  7.2819481807918613E+000                  2.9909978276446019E+001                  7.2311587724991400E+000                  3.6230146511546482E+004                  2.3680731374142699E+004                  2.4677198354268931E+006                  1.2138291359820339E+005                  1.2138291359820333E+005                  6.5315164637617973E-027                  8.3152328365777557E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  2.9909978400956589E+001                  8.6429637899278200E-001                  4.6008928192071243E+000                 -9.0735770102770896E+000                  4.0393018331448642E+000                  7.2708902653838348E-001                  2.6407811183864333E-001                  8.8328616229731427E-003 
                                       2                  2.9909978400941633E+001                  8.6428715433140924E-001                  4.6022118300571284E+000                 -9.0659199443853780E+000                  4.0461544284335513E+000                  7.2708902653838348E-001                  2.6407811183864338E-001                  8.8328616229731427E-003 
                                       3                  2.9909978400916078E+001                  8.6427166388202525E-001                  4.6050855128971193E+000                 -9.0498244108306753E+000                  4.0608613042016977E+000                  7.2708902653838337E-001                  2.6407811183864344E-001                  8.8328616229731427E-003 
                                       4                  2.9909978400852516E+001                  8.6423453245818849E-001                  4.6082951016951235E+000                 -9.0325011105704931E+000                  4.0770427270865817E+000                  7.2708902653838314E-001                  2.6407811183864360E-001                  8.8328616229732537E-003 
                                       5                  2.9909978400814506E+001                  8.6421319446530109E-001                  4.6106613558837823E+000                 -9.0202409478971344E+000                  4.0887723835518806E+000                  7.2708902653838292E-001                  2.6407811183864377E-001                  8.8328616229733647E-003 
                                       6                  2.9909978400776499E+001                  8.6419244740682633E-001                  4.6129934218761228E+000                 -9.0085045898739189E+000                  4.1001958585074867E+000                  7.2708902653838259E-001                  2.6407811183864405E-001                  8.8328616229733647E-003 
                                       7                  2.9909978400738492E+001                  8.6417225065222569E-001                  4.6161995360889447E+000                 -8.9929390989893498E+000                  4.1156704813540905E+000                  7.2708902653838225E-001                  2.6407811183864432E-001                  8.8328616229733647E-003 
                                       8                  2.9909978400670308E+001                  8.6413728683118152E-001                  4.6192108233972506E+000                 -8.9786470566335517E+000                  4.1300756835217527E+000                  7.2708902653838170E-001                  2.6407811183864466E-001                  8.8328616229735868E-003 
                                       9                  2.9909978400636220E+001                  8.6412036783175439E-001                  4.6211884731030723E+000                 -8.9695353282579475E+000                  4.1394219109708503E+000                  7.2708902653838126E-001                  2.6407811183864499E-001                  8.8328616229738088E-003 
                                      10                  2.9909978400602128E+001                  8.6410379818765370E-001                  4.6241101800512494E+000                 -8.9564366357313645E+000                  4.1530768093215480E+000                  7.2708902653838059E-001                  2.6407811183864538E-001                  8.8328616229740309E-003 
                                      11                  2.9909978400533944E+001                  8.6407163807380938E-001                  4.6269568257136786E+000                 -8.9438285857055160E+000                  4.1663195656832190E+000                  7.2708902653837992E-001                  2.6407811183864588E-001                  8.8328616229742529E-003 
                                      12                  2.9909978400499849E+001                  8.6405601554960021E-001                  4.6288259344822951E+000                 -8.9357476057659060E+000                  4.1749302369410284E+000                  7.2708902653837959E-001                  2.6407811183864621E-001                  8.8328616229742529E-003 
                                      13                  2.9909978400465757E+001                  8.6404067938841111E-001                  4.6317612187985135E+000                 -8.9233578502282871E+000                  4.1883224337520986E+000                  7.2708902653837881E-001                  2.6407811183864671E-001                  8.8328616229744750E-003 
                                      14                  2.9909978400391097E+001                  8.6400803240956903E-001                  4.6356724348029665E+000                 -8.9070844567708800E+000                  4.2060681306259466E+000                  7.2708902653837770E-001                  2.6407811183864749E-001                  8.8328616229748080E-003 
                                      15                  2.9909978400316437E+001                  8.6397657914306258E-001                  4.6394641762701578E+000                 -8.8916527254347173E+000                  4.2231222811411824E+000                  7.2708902653837648E-001                  2.6407811183864838E-001                  8.8328616229751411E-003 
                                      16                  2.9909978400241776E+001                  8.6394621739683608E-001                  4.6422247549544080E+000                 -8.8805297302390951E+000                  4.2354909551030131E+000                  7.2708902653837570E-001                  2.6407811183864899E-001                  8.8328616229753631E-003 
                                      17                  2.9909978400204444E+001                  8.6393141808581531E-001                  4.6440352647521923E+000                 -8.8733615216487056E+000                  4.2435464385162600E+000                  7.2708902653837493E-001                  2.6407811183864943E-001                  8.8328616229755852E-003 
                                      18                  2.9909978400167113E+001                  8.6391685956252739E-001                  4.6467069134056231E+000                 -8.8629521643045983E+000                  4.2553579246325279E+000                  7.2708902653837415E-001                  2.6407811183865004E-001                  8.8328616229758072E-003 
                                      19                  2.9909978400092452E+001                  8.6388842788736508E-001                  4.6501657336747746E+000                 -8.8495296182366623E+000                  4.2706271030929557E+000                  7.2708902653837293E-001                  2.6407811183865093E-001                  8.8328616229761403E-003 
                                      20                  2.9909978400017788E+001                  8.6386085616430197E-001                  4.6535221986089850E+000                 -8.8366458535632493E+000                  4.2853815643721607E+000                  7.2708902653837160E-001                  2.6407811183865187E-001                  8.8328616229764734E-003 
                                      21                  2.9909978399943128E+001                  8.6383408534535933E-001                  4.6567805578873767E+000                 -8.8242508212146991E+000                  4.2996548972027817E+000                  7.2708902653837026E-001                  2.6407811183865282E-001                  8.8328616229769175E-003 
