                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1350                                      755                  4.0000000000000000E+001                  8.8000000000000005E-003                  5.2061833638232555E+006                  2.7011354397381642E+003                  2.0722462683929069E+004                  5.1172350814398931E+005                  5.5576832103207558E+001                 -6.5474092132983630E+000                  3.2631293405967904E-004                  0.0000000000000000E+000                  9.9114711508335929E-001                  1.4677932658597795E-004                  5.5484877311902285E-003                  1.0779986219207875E-004                  9.2376237786695339E-004                  3.3662228600127243E+001                 -8.3213534396215086E-006                  7.7008368367376105E+000                  9.2861609523369742E-005                  2.5672785008716257E+001                  7.8312073433123696E-003                  1.6959711114428153E-001                  1.9406324564974632E-002                  3.1095900335954326E-002                  1.7505976925354879E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3662227441797022E+001                  5.4512502941199131E+001                  3.3662218918399986E+001                  5.2676301481159392E+001                  7.1499469805737212E+005                  9.3526807929276356E+002                  6.5782064072489960E+005                  4.6505748057798762E+005                  4.6505748057798744E+005                  6.5677825100186683E-014                  3.1645870361280697E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  3.3662228600127243E+001                  1.7448937882257005E+000                  4.3164458174464926E+000                 -1.0131082875445186E+001                  2.8184665406462006E+000                  6.9225456912613537E-001                  2.9902143073636261E-001                  8.7240001375019638E-003 
                                       2                  3.3662228600110410E+001                  1.7448935178439318E+000                  4.3164577609892767E+000                 -1.0131048734651829E+001                  2.8185138247070718E+000                  6.9225456912613537E-001                  2.9902143073636261E-001                  8.7240001375019638E-003 
                                       3                  3.3662228600081669E+001                  1.7448930561627560E+000                  4.3164840228847314E+000                 -1.0130973674396941E+001                  2.8186177917564339E+000                  6.9225456912613537E-001                  2.9902143073636261E-001                  8.7240001375019638E-003 
                                       4                  3.3662228600010195E+001                  1.7448919081654655E+000                  4.3165463738960073E+000                 -1.0130795505610436E+001                  2.8188646188852258E+000                  6.9225456912613537E-001                  2.9902143073636261E-001                  8.7240001375019638E-003 
                                       5                  3.3662228599843644E+001                  1.7448892343832838E+000                  4.3166501712539729E+000                 -1.0130498864041474E+001                  2.8192755300946657E+000                  6.9225456912613537E-001                  2.9902143073636261E-001                  8.7240001375019638E-003 
                                       6                  3.3662228599613641E+001                  1.7448855443058602E+000                  4.3167642389189282E+000                 -1.0130172751799051E+001                  2.8197271343554617E+000                  6.9225456912613526E-001                  2.9902143073636261E-001                  8.7240001375021858E-003 
                                       7                  3.3662228599407406E+001                  1.7448822379401647E+000                  4.3169277555545564E+000                 -1.0129705734226048E+001                  2.8203743749835506E+000                  6.9225456912613537E-001                  2.9902143073636267E-001                  8.7240001375019638E-003 
                                       8                  3.3662228598987646E+001                  1.7448755154410232E+000                  4.3172209705121682E+000                 -1.0128868537707719E+001                  2.8215349218322614E+000                  6.9225456912613537E-001                  2.9902143073636267E-001                  8.7240001375019638E-003 
                                       9                  3.3662228598282681E+001                  1.7448642463689572E+000                  4.3177328423122985E+000                 -1.0127408695717540E+001                  2.8235604257738829E+000                  6.9225456912613514E-001                  2.9902143073636278E-001                  8.7240001375020748E-003 
                                      10                  3.3662228597017652E+001                  1.7448440902152060E+000                  4.3186536941605516E+000                 -1.0124787571320317E+001                  2.8272027906372559E+000                  6.9225456912613481E-001                  2.9902143073636311E-001                  8.7240001375020748E-003 
                                      11                  3.3662228594717611E+001                  1.7448076560575492E+000                  4.3203636412269626E+000                 -1.0119941016104555E+001                  2.8339603253302936E+000                  6.9225456912613370E-001                  2.9902143073636422E-001                  8.7240001375020748E-003 
                                      12                  3.3662228590326066E+001                  1.7447388380954292E+000                  4.3233488586800579E+000                 -1.0111512587648686E+001                  2.8457480701535318E+000                  6.9225456912613037E-001                  2.9902143073636767E-001                  8.7240001375019638E-003 
                                      13                  3.3662228582800317E+001                  1.7446230985563176E+000                  4.3274000869764615E+000                 -1.0099999866837134E+001                  2.8617670524178176E+000                  6.9225456912612238E-001                  2.9902143073637560E-001                  8.7240001375019638E-003 
                                      14                  3.3662228573621611E+001                  1.7444855103613699E+000                  4.3336581817554531E+000                 -1.0082654972653806E+001                  2.8863838684479197E+000                  6.9225456912610395E-001                  2.9902143073639403E-001                  8.7240001375019638E-003 
                                      15                  3.3662228555932735E+001                  1.7442303907553194E+000                  4.3400752053064275E+000                 -1.0063897395124942E+001                  2.9119099812717630E+000                  6.9225456912607441E-001                  2.9902143073642368E-001                  8.7240001375019638E-003 
                                      16                  3.3662228544175136E+001                  1.7440677492259415E+000                  4.3451358846840309E+000                 -1.0049453964924862E+001                  2.9319389290551787E+000                  6.9225456912604588E-001                  2.9902143073645238E-001                  8.7240001375017417E-003 
                                      17                  3.3662228531621487E+001                  1.7438995841975169E+000                  4.3509784703099763E+000                 -1.0032959059148522E+001                  2.9550104804287072E+000                  6.9225456912600669E-001                  2.9902143073649151E-001                  8.7240001375017417E-003 
