                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1356                                      965                  4.0000000000000000E+001                  8.8000000000000005E-003                  5.2141555597873498E+006                  7.0808644871472154E+002                  7.3215669686302326E+003                  5.1487429475813842E+005                  4.4658215312596053E+002                 -5.0373859018058065E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9083376340054408E-001                  2.6206754772136918E-004                  4.1805726430883712E-003                  1.0664743039991537E-004                  2.8172152110460063E-003                  3.3591874993575445E+001                 -5.8660840989619628E-006                  7.6281144162850110E+000                  9.1418598476517460E-005                  2.5670458496833614E+001                  9.0995125675724028E-003                  1.5751672636752675E-001                  1.9207193312558660E-002                  4.6930640175960721E-002                  1.7680007953987214E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3591803619367326E+001                  4.4573507089150496E+002                  3.3591671657715438E+001                  4.4362957545062608E+002                  1.6303036229350498E+007                  1.1519813724149319E+002                  6.5242866726052400E+005                  4.6453115641990682E+005                  2.8804727731283108E+005                  6.4126081085772685E+003                  1.9615101408905037E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  3.3591874993575445E+001                  2.6499013632634396E+000                  3.8646040440619074E+000                 -9.7593160591212040E+000                  1.9739663508399790E+000                  6.9218115200765007E-001                  2.9909501181753090E-001                  8.7238361748189774E-003 
                                       2                  3.3591874993558648E+001                  2.6499013630424972E+000                  3.8646040573164573E+000                 -9.7593159999912871E+000                  1.9739664300455060E+000                  6.9218115200764996E-001                  2.9909501181753090E-001                  8.7238361748191995E-003 
                                       3                  3.3591874993529970E+001                  2.6499013626652062E+000                  3.8646040864651918E+000                 -9.7593158699558398E+000                  1.9739666042302300E+000                  6.9218115200764996E-001                  2.9909501181753090E-001                  8.7238361748191995E-003 
                                       4                  3.3591874993458639E+001                  2.6499013617268923E+000                  3.8646041556941411E+000                 -9.7593155611189175E+000                  1.9739670179228215E+000                  6.9218115200764996E-001                  2.9909501181753095E-001                  8.7238361748190885E-003 
                                       5                  3.3591874993292443E+001                  2.6499013595406171E+000                  3.8646042710291444E+000                 -9.7593150465998182E+000                  1.9739677071310595E+000                  6.9218115200764985E-001                  2.9909501181753106E-001                  8.7238361748190885E-003 
                                       6                  3.3591874993062916E+001                  2.6499013565213541E+000                  3.8646043979075828E+000                 -9.7593144805864025E+000                  1.9739684653179137E+000                  6.9218115200764974E-001                  2.9909501181753118E-001                  8.7238361748190885E-003 
                                       7                  3.3591874992857115E+001                  2.6499013538140810E+000                  3.8646045799748525E+000                 -9.7593136683750288E+000                  1.9739695532937804E+000                  6.9218115200764940E-001                  2.9909501181753145E-001                  8.7238361748191995E-003 
                                       8                  3.3591874992438228E+001                  2.6499013483039415E+000                  3.8646049070941237E+000                 -9.7593122090892894E+000                  1.9739715080458815E+000                  6.9218115200764851E-001                  2.9909501181753240E-001                  8.7238361748190885E-003 
                                       9                  3.3591874991734734E+001                  2.6499013390499573E+000                  3.8646054800552578E+000                 -9.7593096531285095E+000                  1.9739749318392887E+000                  6.9218115200764607E-001                  2.9909501181753484E-001                  8.7238361748190885E-003 
                                      10                  3.3591874990472355E+001                  2.6499013224442063E+000                  3.8646065169398915E+000                 -9.7593050277191740E+000                  1.9739811277784993E+000                  6.9218115200763852E-001                  2.9909501181754239E-001                  8.7238361748190885E-003 
                                      11                  3.3591874988177125E+001                  2.6499012922522485E+000                  3.8646084631687678E+000                 -9.7592963461841258E+000                  1.9739927572547955E+000                  6.9218115200761388E-001                  2.9909501181756704E-001                  8.7238361748190885E-003 
                                      12                  3.3591874983794753E+001                  2.6499012346068729E+000                  3.8646119293026242E+000                 -9.7592808859367786E+000                  1.9740134678366978E+000                  6.9218115200753461E-001                  2.9909501181764647E-001                  8.7238361748189774E-003 
                                      13                  3.3591874976284736E+001                  2.6499011358241975E+000                  3.8646167878468596E+000                 -9.7592592175151616E+000                  1.9740424961942136E+000                  6.9218115200733921E-001                  2.9909501181784237E-001                  8.7238361748184223E-003 
                                      14                  3.3591874967125207E+001                  2.6499010153506743E+000                  3.8646246024844082E+000                 -9.7592243710794317E+000                  1.9740891816346255E+000                  6.9218115200686126E-001                  2.9909501181832138E-001                  8.7238361748174231E-003 
                                      15                  3.3591874949473301E+001                  2.6499007831968600E+000                  3.8646331675335301E+000                 -9.7591861876229657E+000                  1.9741403425483943E+000                  6.9218115200599828E-001                  2.9909501181918630E-001                  8.7238361748154247E-003 
                                      16                  3.3591874937740279E+001                  2.6499006289001237E+000                  3.8646451345525383E+000                 -9.7591328514911915E+000                  1.9742118132009794E+000                  6.9218115200448360E-001                  2.9909501182070430E-001                  8.7238361748120941E-003 
                                      17                  3.3591874908417481E+001                  2.6499002433334429E+000                  3.8646618065957199E+000                 -9.7590585760594379E+000                  1.9743113584022545E+000                  6.9218115200132946E-001                  2.9909501182386550E-001                  8.7238361748049886E-003 
                                      18                  3.3591874880546200E+001                  2.6498998769144424E+000                  3.8646895813915134E+000                 -9.7589349060726018E+000                  1.9744771393755436E+000                  6.9218115199448882E-001                  2.9909501183072146E-001                  8.7238361747896676E-003 
                                      19                  3.3591874813138652E+001                  2.6498989909674302E+000                  3.8647187963240914E+000                 -9.7588049361414217E+000                  1.9746514230880101E+000                  6.9218115198353436E-001                  2.9909501184170034E-001                  8.7238361747652426E-003 
                                      20                  3.3591874780342323E+001                  2.6498985600475895E+000                  3.8647412117373841E+000                 -9.7587052806324230E+000                  1.9747850907509290E+000                  6.9218115197382946E-001                  2.9909501185142695E-001                  8.7238361747435933E-003 
