                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9575      6.0000000000000000E+001      8.8000000000000005E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_v_rot                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1147                  1.0000000000000000E+002                  2.0000000000000000E+000                  5.9999978588667510E+001                  3.5076829545963406E+001                 -6.6693563044657980E+000                  3.0862528935696588E+001                  5.1424334031432251E-001                  7.8129816949434883E-008                  9.9999999871052658E-001                  9.9999998110478061E-001                  5.6532821470821149E-001                  7.8129816949434883E-008                  9.9999999871052658E-001                  9.9999998110478061E-001                  7.9621408712342401E+000                 -1.7614484205853344E+001                 -9.8999999999999986E+001                  7.9621408712342401E+000                  3.9747177323995504E+000                  7.9620961634108989E+000                 -1.7614484205853344E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.2350451999443501E+034                  1.0124235779792414E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7484850730125894E+000                  5.5317281073713733E+000                  7.9215274411313441E-001                  4.6317349605900793E+000                 -5.3253864722009102E-006                  0.0000000000000000E+000                  7.7671056916108299E+000                  8.0498666403508978E-001                  1.6907530527570028E+001                  8.0498666403508978E-001                  7.7671056916108299E+000                  6.0510677234059518E-001                  8.6172034426181021E-001                  1.2644134257307367E+000                  7.2344068720006771E-001                  2.6761362335277217E-001                  6.3923331916692174E-005                  3.3502332042544070E-003                  1.5143086687572824E-003                  4.1185965080215445E-003                  4.3500844409565325E+001                  1.5964739688126553E+001                                        0                                        0                                       10 
                                       2                                     1118                  1.8000000000000003E+002                  1.9030899869919435E+000                  5.9999946203730943E+001                  3.5076829311553276E+001                 -6.3927469362860068E+000                  5.7704315952825155E+001                  9.6132827371456542E-001                  7.8129859359954423E-008                  9.9999999967777231E-001                  9.9999999743804890E-001                  9.6986479855157681E-001                  7.8129859359954423E-008                  9.9999999967777231E-001                  9.9999999743804890E-001                  7.0856890924171099E+000                 -2.0644627772592070E+001                 -9.8999999999999986E+001                  7.0856890924171099E+000                  5.4199696498017333E+000                  7.0762093592407700E+000                 -2.0644627772592070E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8386846594815236E+034                  8.3727599654222367E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7088663389143965E+000                  5.5069695566500583E+000                  8.5901093694886244E-001                  4.4980183405084890E+000                  7.3943568212255622E-006                  0.0000000000000000E+000                  7.7010707284766182E+000                  6.0468745325706630E-001                  1.6642267395783414E+001                  6.0468745325706630E-001                  7.7010707284766182E+000                  6.0450048226764019E-001                  8.6238618381521592E-001                  1.2628300132331554E+000                  7.2477135209145682E-001                  2.6625352207376335E-001                  1.2190570697172200E-004                  3.6386929684690868E-003                  1.5143086687572798E-003                  4.1185965080215410E-003                  4.3490527488239991E+001                  1.5971172083599054E+001                                        0                                        0                                        6 
                                       3                                     1050                  2.4400000000000000E+002                  1.8061799739838871E+000                  5.9999919182446760E+001                  3.5076829115966476E+001                 -6.3744739891170594E+000                  5.7348078040313695E+001                  9.5444528712569177E-001                  7.8129894554024304E-008                  9.9999999934734174E-001                  9.9999999470910994E-001                  9.6612194493095649E-001                  7.8129894554024304E-008                  9.9999999934734174E-001                  9.9999999470910994E-001                  6.6427034123737974E+000                 -2.1543196481045580E+001                 -9.8999999999999986E+001                  6.6427034123737974E+000                  4.8525190627610497E+000                  6.6356052783562509E+000                 -2.1543196481045580E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0886975611708425E+034                  7.7913905352623296E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7027028654331753E+000                  5.5320679298274591E+000                  8.8388707050000614E-001                  4.4482658778194057E+000                  4.9956526897594354E-006                  0.0000000000000000E+000                  7.6824961410037362E+000                  5.4923540727795861E-001                  1.6567653609795791E+001                  5.4923540727795861E-001                  7.6824961410037362E+000                  6.0585252874587014E-001                  8.6236118716434162E-001                  1.2628926155543918E+000                  7.2472180167881872E-001                  2.6629648101625730E-001                  6.8167085153112941E-005                  3.6304025725208845E-003                  1.5143086687572844E-003                  4.1185965080215480E-003                  4.3487598360782961E+001                  1.5973689144830429E+001                                        0                                        0                                        6 
                                       4                                     1030                  2.9520000000000005E+002                  1.7092699609758308E+000                  5.9999894174736113E+001                  3.5076828934954349E+001                 -6.3111960253979236E+000                  5.5747636622966915E+001                  9.2814207029550677E-001                  7.8129926861514321E-008                  9.9999999921102978E-001                  9.9999999353203273E-001                  9.4355833340046014E-001                  7.8129926861514321E-008                  9.9999999921102978E-001                  9.9999999353203273E-001                  6.4476471195282716E+000                 -2.1995338911493505E+001                 -9.8999999999999986E+001                  6.4476471195282716E+000                  4.5435378877996664E+000                  6.4421971103398876E+000                 -2.1995338911493505E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7357732900795154E+034                  7.5157499293399839E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7010412897571667E+000                  5.5541903160480794E+000                  8.9827141496233276E-001                  4.4194970078826250E+000                  4.9146227683276272E-006                  0.0000000000000000E+000                  7.6733192663640919E+000                  5.2196009931983134E-001                  1.6530852375136341E+001                  5.2196009931983134E-001                  7.6733192663640919E+000                  6.0656125904877312E-001                  8.6234810417224872E-001                  1.2629244225061009E+000                  7.2469580668602940E-001                  2.6632137519853571E-001                  5.4963422601347419E-005                  3.6257079667258788E-003                  1.5143086687572837E-003                  4.1185965080215497E-003                  4.3486104935463551E+001                  1.5975094893341048E+001                                        0                                        0                                        6 
                                       5                                     1019                  3.3616000000000008E+002                  1.6123599479677744E+000                  5.9999871695969020E+001                  3.5076828772247289E+001                 -6.2605874603565388E+000                  5.4555655085904817E+001                  9.0803999498577292E-001                  7.8129956060379868E-008                  9.9999999912730508E-001                  9.9999999280522589E-001                  9.2925850464341475E-001                  7.8129956060379868E-008                  9.9999999912730508E-001                  9.9999999280522589E-001                  6.3396106886770607E+000                 -2.2269995372122015E+001                 -9.8999999999999986E+001                  6.3396106886770607E+000                  4.3469684818543293E+000                  6.3351709225196737E+000                 -2.2269995372122015E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5428212445897911E+034                  7.3557218692812067E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7003162121712556E+000                  5.5701354771963638E+000                  9.0769415070829595E-001                  4.4006513736836395E+000                  5.3591107662006870E-006                  0.0000000000000000E+000                  7.6677986909398124E+000                  5.0559415597732349E-001                  1.6508740081011254E+001                  5.0559415597732349E-001                  7.6677986909398124E+000                  6.0698797661148407E-001                  8.6233983971487238E-001                  1.2629442862315798E+000                  7.2467936389836496E-001                  2.6633767597144120E-001                  5.0288836525500857E-005                  3.6226783534760057E-003                  1.5143086687572835E-003                  4.1185965080215549E-003                  4.3485170395545282E+001                  1.5975999086775778E+001                                        0                                        0                                        6 
                                       6                                     1008                  3.6892800000000011E+002                  1.5154499349597179E+000                  5.9999852164650129E+001                  3.5076828630874566E+001                 -6.2247183640032580E+000                  5.3692083293178804E+001                  8.9469754835117676E-001                  7.8129982483687854E-008                  9.9999999913616944E-001                  9.9999999231213466E-001                  9.1609343933585463E-001                  7.8129982483687854E-008                  9.9999999913616944E-001                  9.9999999231213466E-001                  6.2714314685753179E+000                 -2.2452722118108007E+001                 -9.0308998699194358E+000                  6.2714314685753187E+000                  4.2116904699259141E+000                  6.2676300768756636E+000                 -2.2452722118108007E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4178482152822469E+034                  7.2547746777093357E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6998684106995281E+000                  5.5814305616993094E+000                  9.1423729590322456E-001                  4.3875649419210561E+000                  6.0919104373750566E-006                  0.0000000000000000E+000                  7.6641481540292222E+000                  4.9479219077576841E-001                  1.6494130754393051E+001                  4.9479219077576841E-001                  7.6641481540292222E+000                  6.0727038895833196E-001                  8.6233412198374737E-001                  1.2629579606843282E+000                  7.2466797868455857E-001                  2.6634912550112305E-001                  4.8189740003815511E-005                  3.6205709937610817E-003                  1.5143086687572816E-003                  4.1185965080215462E-003                  4.3484528855923102E+001                  1.5976624761420478E+001                                        0                                        0                                        5 
                                       7                                     1004                  3.9904651846449167E+002                  1.4788336050279711E+000                  5.9999833134693525E+001                  3.5076828493130783E+001                 -6.1993958072184219E+000                  5.3070208580195242E+001                  8.8319219795450576E-001                  7.8130007130639001E-008                  9.9999999909998327E-001                  9.9999999196569589E-001                  9.0804057857373621E-001                  7.8130007130639001E-008                  9.9999999909998327E-001                  9.9999999196569589E-001                  6.2192337213786448E+000                 -2.2597397592592092E+001                 -9.8999999999999986E+001                  6.2192337213786448E+000                  4.1021742433850719E+000                  6.2159041482626183E+000                 -2.2597397592592092E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3218969829718580E+034                  7.1769432406745568E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6995007415819297E+000                  5.5906302803094485E+000                  9.1957249344349157E-001                  4.3768944090967423E+000                  6.4513859266115838E-006                  0.0000000000000000E+000                  7.6612702800339960E+000                  4.8628979635106018E-001                  1.6482621963096577E+001                  4.8628979635106018E-001                  7.6612702800339960E+000                  6.0749320836154486E-001                  8.6232942549414404E-001                  1.2629691634811853E+000                  7.2465862140069626E-001                  2.6635860398510697E-001                  4.6976155439659474E-005                  3.6188399683008180E-003                  1.5143086687572829E-003                  4.1185965080215445E-003                  4.3484003856559987E+001                  1.5977137497511901E+001                                        0                                        0                                        4 
                                       8                                     1002                  4.2978887050143584E+002                  1.4877370914522594E+000                  5.9999812765842705E+001                  3.5076828345695688E+001                 -6.1787705639951165E+000                  5.2536698888330150E+001                  8.7432718817236721E-001                  7.8130033664969289E-008                  9.9999999906547077E-001                  9.9999999169619869E-001                  9.0155365480580707E-001                  7.8130033664969289E-008                  9.9999999906547077E-001                  9.9999999169619869E-001                  6.1738293488907274E+000                 -2.2726194326488233E+001                 -9.8999999999999986E+001                  6.1738293488907265E+000                  4.0028642667500494E+000                  6.1708897491528694E+000                 -2.2726194326488233E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2380435975220834E+034                  7.1055398297939943E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6991454958647312E+000                  5.5989363715571985E+000                  9.2443603050176359E-001                  4.3671671875451041E+000                  6.4040853942074057E-006                  0.0000000000000000E+000                  7.6587174509026346E+000                  4.7875885922454187E-001                  1.6472420094644118E+001                  4.7875885922454187E-001                  7.6587174509026346E+000                  6.0769103437712979E-001                  8.6232507977812034E-001                  1.2629795136852180E+000                  7.2464995878554672E-001                  2.6636741478405040E-001                  4.6148203290487376E-005                  3.6172421672999435E-003                  1.5143086687572837E-003                  4.1185965080215488E-003                  4.3483519128263993E+001                  1.5977610064605631E+001                                        0                                        0                                        5 
                                       9                                      997                  4.6258409253129753E+002                  1.5158105755038664E+000                  5.9999790083550167E+001                  3.5076828181515239E+001                 -6.1601236280310649E+000                  5.2036822952454180E+001                  8.6586029121100805E-001                  7.8130062974857140E-008                  9.9999999907384329E-001                  9.9999999145576046E-001                  8.9469847408454772E-001                  7.8130062974857140E-008                  9.9999999907384329E-001                  9.9999999145576046E-001                  6.1321070826090853E+000                 -2.2846512948340202E+001                 -9.8999999999999986E+001                  6.1321070826090853E+000                  3.9081874930015390E+000                  6.1295059371129881E+000                 -2.2846512948340202E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1561076303041439E+034                  7.0460195993607669E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6987784921878326E+000                  5.6067517279843795E+000                  9.2907771606915079E-001                  4.3578836522298783E+000                  6.1752028950531723E-006                  0.0000000000000000E+000                  7.6563404079819399E+000                  4.7175737387730871E-001                  1.6462927584088913E+001                  4.7175737387730871E-001                  7.6563404079819399E+000                  6.0787542927997129E-001                  8.6232083480611099E-001                  1.2629896145249770E+000                  7.2464149345828821E-001                  2.6637604536513459E-001                  4.5530596455200266E-005                  3.6156874631545015E-003                  1.5143086687572809E-003                  4.1185965080215462E-003                  4.3483047245168436E+001                  1.5978068350587646E+001                                        0                                        0                                        4 
