1:t[yr] 2:M/Msun 3:Teff[K] 4:log(L/Lsun) 5:R/Rsun 6:log(Mdot)[Msun/yr] 7:logg 8:v_surf[km/s] 9:P[days] 10:v_crit[km/s] 11:Gamma 12:H 13:He 14:Li 15:Be 16:B 17:C 18:N 19:O 20:F 21:Ne 22:Na 23:Mg 24:Al 25:Si 26:Fe 27:sH1 28:sHe3 29:sHe4 30:sLi7 31:sBe9 32:sB10 33:sB11 34:sC12 35:sC13 36:sN14 37:sN15 38:sO16 39:sO17 40:sO18 41:sF19 42:sNe20 43:sNe21 44:sNe22 45:sNa23 46:sMg24 47:sMg25 48:sMg26 49:sAl26 50:sAl27 51:sSi28 52:sSi29 53:sSi30 54:sFe56 55:cH1 56:cHe3 57:cHe4 58:cLi7 59:cBe9 60:cB10 61:cB11 62:cC12 63:cC13 64:cN14 65:cN15 66:cO16 67:cO17 68:cO18 69:cF19 70:cNe20 71:cNe21 72:cNe22 73:cNa23 74:cMg24 74:cMg25 76:cMg26 77:cAl26 78:cAl27 79:cSi28 80:cSi29 81:cSi30 82:cFe56
0.00000e+00 19.98988 34364.03820 4.60672 5.66899 -7.57391 4.23152 273.70202 1.04880 797.77800 0.05347 12.00000 10.95754 2.75182 1.19705 2.68694 8.13001 7.64001 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.27740e-05 2.63815e-01 2.82124e-09 1.03053e-10 7.15682e-10 3.10413e-09 1.16445e-03 1.41319e-05 4.42904e-04 1.74462e-06 4.11974e-03 1.63238e-06 9.29309e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 8.40698e-13 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.12853e-01 8.41395e-07 2.77971e-01 4.90908e-17 8.10961e-21 5.49541e-17 2.47742e-17 5.70164e-05 1.18304e-05 2.83139e-03 1.21060e-07 2.61216e-03 2.90402e-04 1.60694e-08 1.68655e-08 9.35406e-04 1.03753e-06 4.80839e-05 5.61048e-05 2.88403e-04 3.23594e-05 4.50817e-05 3.99025e-06 4.63447e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
5.22896e+04 19.98848 34329.78907 4.60824 5.69026 -7.57249 4.22824 273.33898 1.05413 796.17800 0.05366 12.00000 10.95754 2.67007 1.15356 2.68002 8.13001 7.64002 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.27740e-05 2.63815e-01 2.34347e-09 9.32331e-11 7.10902e-10 3.04782e-09 1.16445e-03 1.41332e-05 4.42915e-04 1.74458e-06 4.11974e-03 1.63283e-06 9.29309e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 2.87250e-12 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.11214e-01 7.79830e-07 2.79898e-01 4.58142e-17 5.22396e-21 3.57273e-17 1.62555e-17 5.55904e-05 1.18304e-05 2.93089e-03 1.24738e-07 2.49459e-03 2.87078e-04 1.07647e-08 1.51356e-08 9.35406e-04 1.00462e-06 4.57088e-05 5.86138e-05 2.88403e-04 3.18420e-05 4.52898e-05 4.28549e-06 4.63447e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
1.03860e+05 19.98709 34325.06040 4.60985 5.70239 -7.57009 4.22636 273.39265 1.05617 795.21700 0.05387 12.00000 10.95754 2.59021 1.11021 2.67188 8.13001 7.64003 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.27740e-05 2.63815e-01 1.95434e-09 8.43762e-11 7.04823e-10 2.98346e-09 1.16445e-03 1.41358e-05 4.42925e-04 1.74450e-06 4.11974e-03 1.63388e-06 9.29266e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 7.73838e-12 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.09578e-01 7.46449e-07 2.81838e-01 4.66659e-17 3.55631e-21 2.62422e-17 1.17761e-17 5.42001e-05 1.19124e-05 3.02691e-03 1.27938e-07 2.39332e-03 2.83139e-04 9.01571e-09 1.35831e-08 9.35406e-04 9.74990e-07 4.35512e-05 6.10942e-05 2.88403e-04 3.13329e-05 4.54988e-05 4.54988e-06 4.63447e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
1.53520e+05 19.98574 34317.44356 4.61136 5.71485 -7.56653 4.22443 273.41509 1.05839 794.24300 0.05406 12.00000 10.95754 2.51361 1.06820 2.66295 8.13000 7.64005 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.27733e-05 2.63815e-01 1.64146e-09 7.65967e-11 6.97686e-10 2.91481e-09 1.16442e-03 1.41400e-05 4.42945e-04 1.74434e-06 4.11974e-03 1.63603e-06 9.29202e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 1.72707e-11 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.07946e-01 7.09578e-07 2.83792e-01 4.65586e-17 1.90985e-21 1.66341e-17 7.17794e-18 5.27230e-05 1.19950e-05 3.11889e-03 1.30617e-07 2.29615e-03 2.78612e-04 7.07946e-09 1.21619e-08 9.33254e-04 9.46237e-07 4.15911e-05 6.32412e-05 2.88403e-04 3.09030e-05 4.57088e-05 4.78630e-06 4.64515e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
2.01567e+05 19.98443 34312.85245 4.61287 5.72628 -7.56329 4.22267 273.47548 1.06028 793.34400 0.05425 12.00000 10.95754 2.43955 1.02737 2.65339 8.12999 7.64007 8.55000 4.56000 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.27725e-05 2.63815e-01 1.38637e-09 6.97236e-11 6.89652e-10 2.84348e-09 1.16439e-03 1.41469e-05 4.42976e-04 1.74409e-06 4.11965e-03 1.63987e-06 9.29116e-06 5.01788e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 3.39031e-11 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.04693e-01 6.65273e-07 2.85759e-01 4.63447e-17 9.41890e-22 9.52796e-18 3.96278e-18 5.05825e-05 1.19950e-05 3.20627e-03 1.33045e-07 2.20293e-03 2.73527e-04 4.90908e-09 1.05439e-08 9.33254e-04 9.18333e-07 3.97192e-05 6.53131e-05 2.88403e-04 3.04089e-05 4.60257e-05 5.01187e-06 4.64515e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
2.48029e+05 19.98315 34314.13295 4.61437 5.73581 -7.55996 4.22120 273.61904 1.06148 792.57800 0.05444 12.00000 10.95754 2.36782 0.98773 2.64339 8.12998 7.64013 8.55000 4.55999 7.84001 6.17002 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.27703e-05 2.63815e-01 1.17693e-09 6.36414e-11 6.80926e-10 2.77109e-09 1.16434e-03 1.41570e-05 4.43037e-04 1.74377e-06 4.11965e-03 1.64604e-06 9.28988e-06 5.01776e-07 9.35470e-04 2.35451e-06 7.56624e-05 2.47469e-05 2.88118e-04 3.80058e-05 4.34851e-05 6.03587e-11 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.03072e-01 6.32412e-07 2.87740e-01 4.72063e-17 5.01187e-22 5.91562e-18 2.37137e-18 4.87528e-05 1.20226e-05 3.28852e-03 1.35207e-07 2.11349e-03 2.67917e-04 3.79315e-09 9.16220e-09 9.33254e-04 8.93305e-07 3.79315e-05 6.72977e-05 2.88403e-04 2.99916e-05 4.62381e-05 5.22396e-06 4.64515e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
2.92812e+05 19.98190 34312.58173 4.61583 5.74598 -7.55644 4.21963 273.72709 1.06294 791.77400 0.05463 12.00000 10.95754 2.29844 0.94938 2.63313 8.12995 7.64020 8.55000 4.55997 7.84001 6.17003 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.27680e-05 2.63815e-01 1.00434e-09 5.82626e-11 6.71707e-10 2.69898e-09 1.16426e-03 1.41710e-05 4.43108e-04 1.74333e-06 4.11965e-03 1.65531e-06 9.28795e-06 5.01753e-07 9.35470e-04 2.35451e-06 7.56624e-05 2.47474e-05 2.88118e-04 3.80058e-05 4.34851e-05 9.93139e-11 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.01455e-01 6.02560e-07 2.89734e-01 4.77529e-17 2.55270e-22 3.57273e-18 1.37404e-18 4.70977e-05 1.20504e-05 3.36512e-03 1.37404e-07 2.03236e-03 2.62422e-04 2.87078e-09 7.94328e-09 9.33254e-04 8.66962e-07 3.63915e-05 6.90240e-05 2.88403e-04 2.95121e-05 4.64515e-05 5.42001e-06 4.64515e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
3.36158e+05 19.98069 34309.90588 4.61727 5.75640 -7.55312 4.21803 273.81785 1.06452 790.95600 0.05481 12.00000 10.95754 2.23101 0.91210 2.62267 8.12993 7.64031 8.55000 4.55995 7.84001 6.17004 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.27642e-05 2.63815e-01 8.60756e-10 5.34700e-11 6.62110e-10 2.62779e-09 1.16418e-03 1.41889e-05 4.43221e-04 1.74273e-06 4.11965e-03 1.66855e-06 9.28560e-06 5.01730e-07 9.35470e-04 2.35445e-06 7.56606e-05 2.47480e-05 2.88118e-04 3.80049e-05 4.34851e-05 1.53713e-10 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 6.99842e-01 5.71479e-07 2.91743e-01 4.85289e-17 1.25893e-22 2.06063e-18 7.60326e-19 4.54988e-05 1.20781e-05 3.44350e-03 1.39316e-07 1.95434e-03 2.55859e-04 2.02768e-09 6.74528e-09 9.33254e-04 8.45279e-07 3.48337e-05 7.07946e-05 2.88403e-04 2.91072e-05 4.66659e-05 5.58470e-06 4.64515e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
3.78218e+05 19.97951 34307.69134 4.61870 5.76660 -7.54989 4.21647 273.91542 1.06603 790.15600 0.05499 12.00000 10.95754 2.16528 0.87579 2.61209 8.12990 7.64046 8.55000 4.55992 7.84001 6.17006 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.27590e-05 2.63815e-01 7.40508e-10 4.91813e-11 6.52244e-10 2.55782e-09 1.16407e-03 1.42122e-05 4.43374e-04 1.74197e-06 4.11955e-03 1.68655e-06 9.28239e-06 5.01695e-07 9.35470e-04 2.35440e-06 7.56606e-05 2.47491e-05 2.88118e-04 3.80049e-05 4.34851e-05 2.26418e-10 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 6.98232e-01 5.49541e-07 2.93765e-01 4.95450e-17 6.79204e-23 1.29122e-18 4.60257e-19 4.41570e-05 1.21060e-05 3.51560e-03 1.41254e-07 1.88365e-03 2.50035e-04 1.57036e-09 5.76766e-09 9.33254e-04 8.22243e-07 3.34195e-05 7.24436e-05 2.88403e-04 2.87078e-05 4.68813e-05 5.75440e-06 4.65586e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
4.19075e+05 19.97834 34302.38143 4.62009 5.77763 -7.54670 4.21478 273.97147 1.06785 789.30300 0.05517 12.00000 10.95754 2.10115 0.84038 2.60143 8.12985 7.64065 8.54999 4.55989 7.84001 6.17008 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.27529e-05 2.63815e-01 6.39323e-10 4.53304e-11 6.42214e-10 2.48949e-09 1.16391e-03 1.42407e-05 4.43568e-04 1.74105e-06 4.11946e-03 1.71013e-06 9.27855e-06 5.01661e-07 9.35470e-04 2.35429e-06 7.56589e-05 2.47503e-05 2.88118e-04 3.80049e-05 4.34861e-05 3.19993e-10 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 6.96627e-01 5.29663e-07 2.95121e-01 5.04661e-17 3.66438e-23 8.05378e-19 2.77332e-19 4.31519e-05 1.21619e-05 3.58096e-03 1.43219e-07 1.81134e-03 2.43220e-04 1.20504e-09 4.92040e-09 9.33254e-04 8.01678e-07 3.21366e-05 7.37904e-05 2.88403e-04 2.83139e-05 4.70977e-05 5.90201e-06 4.65586e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
