Star,SpecTypel,Teff,AV,Model,Actual,Actual_2,R/R0,R/R0_2,MV,Mbol,Mbol_2,DeltaAV
BD+59°38,M2I,3650,3.10,0.0,0.1,99999,600,99999,-5.57,-7.17,99999,0.92
Case23,M3I,3600,3.25,0.5,0.3,99999,410,99999,-4.53,-6.28,99999,0.69
HD236697,M1.5I,3700,1.55,0.5,0.4,99999,380,99999,-4.80,-6.25,99999,-0.04
BD+59°274,M1I,3750,1.55,0.5,0.4,99999,360,99999,-4.80,-6.14,99999,0.37
BD+60°335,M4I,3525,2.63,0.0,0.1,99999,610,99999,-4.99,-7.05,99999,0.22
HD236871,M2I,3625,2.17,0.0,0.2,99999,520,99999,-5.13,-6.80,99999,0.03
HD236915,M2I,3650,1.71,0.0,0.3,99999,420,99999,-4.80,-6.40,99999,-0.33
BD+59°372,K5–M0I,3825,2.48,0.5,0.6,99999,290,99999,-4.58,-5.77,99999,0.45
BD+56°512,M3I,3600,3.25,0.5,0.1,99999,620,99999,-5.42,-7.17,99999,1.22
HD14469,M3–4I,3575,2.01,0.0,-0.1,99999,780,99999,-5.78,-7.64,99999,-0.02
HD14488,M4I,3550,2.63,0.0,-0.3,99999,1000,99999,-6.18,-8.15,99999,0.90
HD14528,M4.5I,3500,4.18,-0.5,-0.4,-0.1,1230,780,-6.36,-8.53,-7.53,2.15
BD+56°595,M1I,3800,1.86,0.0,0.4,99999,380,99999,-5.08,-6.31,99999,-0.17
HD14580,M1I,3800,2.17,0.5,0.4,99999,380,99999,-5.12,-6.35,99999,0.14
HD14826,M2I,3625,2.48,0.0,0.0,99999,650,99999,-5.64,-7.31,99999,0.45
HD236979,M2I,3700,2.32,0.0,0.2,99999,540,99999,-5.52,-6.97,99999,0.29
WPer,M4.5I,3550,4.03,0.0,0.1,99999,620,99999,-5.13,-7.09,99999,2.00
BD+57°647,M2I,3650,4.03,0.0,0.0,99999,710,99999,-5.91,-7.51,99999,2.00
HD17958,K2I,4200,2.17,0.5,0.5,99999,360,99999,-5.93,-6.63,99999,-0.12
HD23475,M2.5II,3625,1.08,0.0,,,,,,,,
HD33299,K1I,4300,0.77,0.5,0.9,99999,190,99999,-4.76,-5.37,99999,-0.69
HD35601,M1.5I,3700,2.01,0.0,0.2,99999,500,99999,-5.36,-6.81,99999,0.55
HD36389,...,3650,1.24,0.0,,,,,,,,
HD37536,M2I,3700,1.39,0.0,0.1,99999,630,99999,-5.88,-7.33,99999,-0.07
alphaOri,M2I,3650,0.62,0.0,,,,,,,,
HD42475,M1I,3700,2.17,0.0,-0.1,99999,770,99999,-6.31,-7.76,99999,0.13
HD42543,M0I,3800,2.01,0.0,0.0,99999,670,99999,-6.32,-7.55,99999,-0.03
HD44537,M0I,3750,0.62,0.0,,,,,,,,
HD50877,K2.5I,3900,0.16,0.5,0.6,99999,280,99999,-4.69,-5.75,99999,0.06
