1:t[yr]  2:M/Msun    3:Teff[K]    4:log(L/Lsun)    5:R/Rsun  6:log(Mdot)[Msun/yr]  7:logg  8:v_surf[km/s]  9:P[days]  10:v_crit[km/s]  11:Gamma  12:H  13:He  14:Li  15:Be  16:B    17:C  18:N  19:O  20:F  21:Ne  22:Na  23:Mg  24:Al  25:Si  26:Fe  27:sH1    28:sHe3    29:sHe4    30:sLi7  31:sBe9    32:sB10  33:sB11  34:sC12  35:sC13  36:sN14    37:sN15    38:sO16    39:sO17    40:sO18  41:sF19  42:sNe20    43:sNe21  44:sNe22    45:sNa23    46:sMg24  47:sMg25  48:sMg26  49:sAl26  50:sAl27    51:sSi28    52:sSi29  53:sSi30    54:sFe56  55:cH1    56:cHe3    57:cHe4    58:cLi7    59:cBe9    60:cB10    61:cB11  62:cC12    63:cC13  64:cN14    65:cN15    66:cO16    67:cO17    68:cO18  69:cF19  70:cNe20    71:cNe21  72:cNe22    73:cNa23    74:cMg24    74:cMg25  76:cMg26  77:cAl26  78:cAl27    79:cSi28    80:cSi29  81:cSi30    82:cFe56
0.00000e+00    11.99926    28249.62167    3.98346    4.09317    -8.99250    4.29276    56.35305    3.67803    739.70000    0.02121    12.00000    10.95754    3.24840    1.38001    2.70001    8.13001    7.64001    8.55001    4.56001    7.84001    6.17001    7.32001    6.37001    7.41001    7.40001    7.27394e-01    3.27733e-05    2.63815e-01    8.35795e-09    1.57044e-10    7.22570e-10    3.21544e-09    1.16445e-03    1.41312e-05    4.42904e-04    1.74466e-06    4.11974e-03    1.63219e-06    9.29330e-06    5.01799e-07    9.35470e-04    2.35456e-06    7.56624e-05    2.47463e-05    2.88118e-04    3.80058e-05    4.34851e-05    3.85186e-57    4.60405e-05    4.82848e-04    2.53934e-05    1.73165e-05    1.02322e-03    7.09578e-01    9.95405e-07    2.81190e-01    1.09648e-16    1.77011e-74    3.13329e-55    9.20450e-32    2.63027e-05    8.37529e-06    2.96483e-03    1.16413e-07    2.46037e-03    3.31894e-04    1.22462e-09    2.09411e-09    9.35406e-04    1.71791e-06    3.19890e-05    7.21107e-05    2.88403e-04    3.26588e-05    4.56037e-05    3.24340e-06    4.62381e-05    4.83059e-04    2.54097e-05    1.72982e-05    1.02329e-03    
8.40275e+04    11.99918    28215.01338    3.98498    4.11039    -8.99172    4.28911    56.26603    3.69922    738.11800    0.02128    12.00000    10.95754    3.24763    1.38000    2.70001    8.13001    7.64001    8.55001    4.56001    7.84001    6.17001    7.32001    6.37001    7.41001    7.40001    7.27394e-01    3.27733e-05    2.63815e-01    8.35161e-09    1.57040e-10    7.22570e-10    3.21544e-09    1.16445e-03    1.41312e-05    4.42904e-04    1.74466e-06    4.11974e-03    1.63219e-06    9.29330e-06    5.01799e-07    9.35470e-04    2.35456e-06    7.56624e-05    2.47463e-05    2.88118e-04    3.80058e-05    4.34851e-05    5.17511e-56    4.60405e-05    4.82848e-04    2.53934e-05    1.73165e-05    1.02322e-03    7.07946e-01    9.93116e-07    2.83139e-01    1.10154e-16    1.30317e-75    2.19786e-56    9.03649e-32    2.69153e-05    8.59014e-06    3.06902e-03    1.20504e-07    2.34423e-03    3.27341e-04    1.20504e-09    1.49968e-09    9.35406e-04    1.69044e-06    2.93765e-05    7.48170e-05    2.88403e-04    3.22107e-05    4.58142e-05    3.38844e-06    4.63447e-05    4.83059e-04    2.54097e-05    1.72982e-05    1.02329e-03    
1.67404e+05    11.99909    28184.12749    3.98649    4.12657    -8.99064    4.28569    56.18977    3.71882    736.63900    0.02136    12.00000    10.95754    3.24667    1.38000    2.70001    8.13001    7.64001    8.55001    4.56001    7.84001    6.17001    7.32001    6.37001    7.41001    7.40001    7.27394e-01    3.27733e-05    2.63815e-01    8.34276e-09    1.57040e-10    7.22570e-10    3.21544e-09    1.16445e-03    1.41312e-05    4.42904e-04    1.74466e-06    4.11974e-03    1.63219e-06    9.29330e-06    5.01799e-07    9.35470e-04    2.35456e-06    7.56624e-05    2.47463e-05    2.88118e-04    3.80058e-05    4.34851e-05    5.34638e-55    4.60405e-05    4.82848e-04    2.53934e-05    1.73165e-05    1.02322e-03    7.06318e-01    9.90832e-07    2.85102e-01    1.10408e-16    7.48170e-77    1.22180e-57    8.89201e-32    2.75423e-05    8.79023e-06    3.16228e-03    1.24165e-07    2.24388e-03    3.21366e-04    1.18304e-09    1.08893e-09    9.35406e-04    1.66725e-06    2.71019e-05    7.74462e-05    2.88403e-04    3.17687e-05    4.61318e-05    3.51560e-06    4.63447e-05    4.83059e-04    2.54097e-05    1.72982e-05    1.02329e-03    
2.50109e+05    11.99901    28155.90041    3.98799    4.14198    -8.98933    4.28245    56.12135    3.73727    735.23700    0.02143    12.00000    10.95754    3.24554    1.37999    2.70001    8.13001    7.64001    8.55001    4.56001    7.84001    6.17001    7.32001    6.37001    7.41001    7.40001    7.27394e-01    3.27733e-05    2.63815e-01    8.33125e-09    1.57036e-10    7.22570e-10    3.21544e-09    1.16445e-03    1.41312e-05    4.42904e-04    1.74466e-06    4.11974e-03    1.63219e-06    9.29330e-06    5.01799e-07    9.35470e-04    2.35456e-06    7.56624e-05    2.47463e-05    2.88118e-04    3.80058e-05    4.34851e-05    4.50889e-54    4.60405e-05    4.82848e-04    2.53934e-05    1.73165e-05    1.02322e-03    7.03072e-01    9.86279e-07    2.87740e-01    1.11173e-16    3.58096e-78    5.75440e-59    8.85116e-32    2.80543e-05    8.95365e-06    3.25087e-03    1.27644e-07    2.14783e-03    3.14775e-04    1.15878e-09    8.01678e-10    9.35406e-04    1.64816e-06    2.50035e-05    7.96159e-05    2.88403e-04    3.14051e-05    4.64515e-05    3.60579e-06    4.63447e-05    4.83059e-04    2.54097e-05    1.72982e-05    1.02329e-03    
3.32166e+05    11.99892    28130.31683    3.98948    4.15665    -8.98789    4.27938    56.05728    3.75480    733.90800    0.02151    12.00000    10.95754    3.24424    1.37998    2.70001    8.13001    7.64001    8.55001    4.56001    7.84001    6.17001    7.32001    6.37001    7.41001    7.40001    7.27394e-01    3.27733e-05    2.63815e-01    8.31725e-09    1.57033e-10    7.22570e-10    3.21544e-09    1.16445e-03    1.41312e-05    4.42904e-04    1.74466e-06    4.11974e-03    1.63219e-06    9.29330e-06    5.01799e-07    9.35470e-04    2.35456e-06    7.56624e-05    2.47463e-05    2.88118e-04    3.80058e-05    4.34851e-05    1.41231e-53    4.60405e-05    4.82848e-04    2.53934e-05    1.73165e-05    1.02322e-03    7.01455e-01    9.79490e-07    2.89734e-01    1.11173e-16    2.00909e-93    3.90841e-69    8.70964e-32    2.85759e-05    9.12011e-06    3.33426e-03    1.31220e-07    2.06063e-03    3.08319e-04    1.13240e-09    5.98412e-10    9.35406e-04    1.62930e-06    2.31206e-05    8.16582e-05    2.88403e-04    3.09742e-05    4.67735e-05    3.68978e-06    4.63447e-05    4.83059e-04    2.54097e-05    1.72982e-05    1.02329e-03    
4.13569e+05    11.99884    28106.63579    3.99096    4.17077    -8.98628    4.27643    56.00454    3.77110    732.63500    0.02158    12.00000    10.95754    3.24270    1.37996    2.70001    8.13001    7.64001    8.55001    4.56001    7.84001    6.17001    7.32001    6.37001    7.41001    7.40001    7.27394e-01    3.27733e-05    2.63815e-01    8.29927e-09    1.57025e-10    7.22570e-10    3.21544e-09    1.16445e-03    1.41312e-05    4.42904e-04    1.74466e-06    4.11974e-03    1.63219e-06    9.29330e-06    5.01799e-07    9.35470e-04    2.35456e-06    7.56624e-05    2.47463e-05    2.88118e-04    3.80058e-05    4.34851e-05    9.64784e-53    4.60405e-05    4.82848e-04    2.53934e-05    1.73165e-05    1.02322e-03    6.99842e-01    9.74990e-07    2.91743e-01    1.11686e-16    1.96336e-81    2.80543e-62    8.66962e-32    2.90402e-05    9.28966e-06    3.41193e-03    1.34276e-07    1.97697e-03    3.01995e-04    1.10662e-09    4.56037e-10    9.33254e-04    1.61436e-06    2.14783e-05    8.35603e-05    2.88403e-04    3.06196e-05    4.70977e-05    3.74973e-06    4.63447e-05    4.83059e-04    2.54097e-05    1.72982e-05    1.02329e-03    
4.94332e+05    11.99876    28084.62146    3.99244    4.18441    -8.98458    4.27359    55.95408    3.78684    731.41000    0.02165    12.00000    10.95754    3.24098    1.37994    2.70001    8.13001    7.64001    8.55001    4.56001    7.84001    6.17001    7.32001    6.37001    7.41001    7.40001    7.27394e-01    3.27733e-05    2.63815e-01    8.27790e-09    1.57018e-10    7.22570e-10    3.21544e-09    1.16445e-03    1.41312e-05    4.42904e-04    1.74466e-06    4.11974e-03    1.63219e-06    9.29330e-06    5.01799e-07    9.35470e-04    2.35456e-06    7.56624e-05    2.47463e-05    2.88118e-04    3.80058e-05    4.34851e-05    5.77803e-52    4.60405e-05    4.82848e-04    2.53934e-05    1.73165e-05    1.02322e-03    6.98232e-01    9.68278e-07    2.93765e-01    1.12202e-16    1.09144e-82    1.63682e-63    8.60994e-32    2.95121e-05    9.44061e-06    3.48337e-03    1.37088e-07    1.90108e-03    2.95121e-04    1.08143e-09    3.54813e-10    9.33254e-04    1.59588e-06    1.99526e-05    8.51138e-05    2.88403e-04    3.02691e-05    4.74242e-05    3.79315e-06    4.64515e-05    4.83059e-04    2.54097e-05    1.72982e-05    1.02329e-03    
5.74477e+05    11.99867    28063.96779    3.99390    4.19765    -8.98279    4.27084    55.90810    3.80195    730.22500    0.02173    12.00000    10.95754    3.23904    1.37991    2.70001    8.13001    7.64001    8.55001    4.56001    7.84001    6.17001    7.32001    6.37001    7.41001    7.40001    7.27394e-01    3.27733e-05    2.63815e-01    8.25258e-09    1.57007e-10    7.22570e-10    3.21544e-09    1.16445e-03    1.41312e-05    4.42904e-04    1.74466e-06    4.11974e-03    1.63219e-06    9.29330e-06    5.01799e-07    9.35470e-04    2.35456e-06    7.56624e-05    2.47463e-05    2.88118e-04    3.80058e-05    4.34851e-05    3.09849e-51    4.60405e-05    4.82848e-04    2.53934e-05    1.73165e-05    1.02322e-03    6.95024e-01    9.61612e-07    2.95801e-01    1.12202e-16    2.72270e-84    4.30527e-65    8.64968e-32    2.99916e-05    9.57194e-06    3.54813e-03    1.39959e-07    1.83231e-03    2.87740e-04    1.05439e-09    2.81838e-10    9.33254e-04    1.58489e-06    1.85353e-05    8.66962e-05    2.88403e-04    2.99226e-05    4.77529e-05    3.82825e-06    4.64515e-05    4.83059e-04    2.54097e-05    1.72982e-05    1.02329e-03    
6.54019e+05    11.99859    28044.25792    3.99535    4.21059    -8.98093    4.26817    55.86618    3.81654    729.07300    0.02180    12.00000    10.95754    3.23692    1.37988    2.70001    8.13001    7.64001    8.55001    4.56001    7.84001    6.17001    7.32001    6.37001    7.41001    7.40001    7.27394e-01    3.27733e-05    2.63815e-01    8.22375e-09    1.56997e-10    7.22570e-10    3.21544e-09    1.16445e-03    1.41312e-05    4.42904e-04    1.74466e-06    4.11974e-03    1.63219e-06    9.29330e-06    5.01799e-07    9.35470e-04    2.35456e-06    7.56624e-05    2.47463e-05    2.88118e-04    3.80058e-05    4.34851e-05    1.51032e-50    4.60405e-05    4.82848e-04    2.53934e-05    1.73165e-05    1.02322e-03    6.93426e-01    9.54993e-07    2.97852e-01    1.12720e-16    1.12460e-85    1.87068e-66    8.68960e-32    3.04089e-05    9.72747e-06    3.61410e-03    1.42561e-07    1.76198e-03    2.80543e-04    1.02802e-09    2.29087e-10    9.33254e-04    1.57036e-06    1.72584e-05    8.81049e-05    2.88403e-04    2.95801e-05    4.79733e-05    3.85478e-06    4.64515e-05    4.83059e-04    2.54097e-05    1.72982e-05    1.02329e-03    
7.32993e+05    11.99851    28025.49854    3.99680    4.22325    -8.97904    4.26556    55.82929    3.83054    727.95000    0.02187    12.00000    10.95754    3.23460    1.37983    2.70001    8.13001    7.64001    8.55001    4.56001    7.84001    6.17001    7.32001    6.37001    7.41001    7.40001    7.27394e-01    3.27733e-05    2.63815e-01    8.19125e-09    1.56978e-10    7.22570e-10    3.21544e-09    1.16445e-03    1.41312e-05    4.42904e-04    1.74466e-06    4.11974e-03    1.63219e-06    9.29330e-06    5.01799e-07    9.35470e-04    2.35456e-06    7.56624e-05    2.47463e-05    2.88118e-04    3.80058e-05    4.34851e-05    6.77501e-50    4.60405e-05    4.82848e-04    2.53934e-05    1.73165e-05    1.02322e-03    6.91831e-01    9.46237e-07    2.99916e-01    1.12720e-16    3.45939e-87    6.03949e-68    8.77001e-32    3.08319e-05    9.86279e-06    3.67282e-03    1.45211e-07    1.70216e-03    2.73527e-04    1.00231e-09    1.90108e-10    9.33254e-04    1.55955e-06    1.61065e-05    8.95365e-05    2.88403e-04    2.92415e-05    4.83059e-05    3.86367e-06    4.64515e-05    4.83059e-04    2.54097e-05    1.72982e-05    1.02329e-03    
