1:t[yr] 2:M/Msun 3:Teff[K] 4:log(L/Lsun) 5:R/Rsun 6:log(Mdot)[Msun/yr] 7:logg 8:v_surf[km/s] 9:P[days] 10:v_crit[km/s] 11:Gamma 12:H 13:He 14:Li 15:Be 16:B 17:C 18:N 19:O 20:F 21:Ne 22:Na 23:Mg 24:Al 25:Si 26:Fe 27:sH1 28:sHe3 29:sHe4 30:sLi7 31:sBe9 32:sB10 33:sB11 34:sC12 35:sC13 36:sN14 37:sN15 38:sO16 39:sO17 40:sO18 41:sF19 42:sNe20 43:sNe21 44:sNe22 45:sNa23 46:sMg24 47:sMg25 48:sMg26 49:sAl26 50:sAl27 51:sSi28 52:sSi29 53:sSi30 54:sFe56 55:cH1 56:cHe3 57:cHe4 58:cLi7 59:cBe9 60:cB10 61:cB11 62:cC12 63:cC13 64:cN14 65:cN15 66:cO16 67:cO17 68:cO18 69:cF19 70:cNe20 71:cNe21 72:cNe22 73:cNa23 74:cMg24 74:cMg25 76:cMg26 77:cAl26 78:cAl27 79:cSi28 80:cSi29 81:cSi30 82:cFe56
0.00000e+00 2.99987 11530.99594 1.87937 2.17923 -11.09340 4.23822 421.60168 0.26173 512.17400 0.00067 12.00000 10.95754 2.53791 1.16146 2.68977 8.13001 7.64001 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.28148e-05 2.63815e-01 1.73836e-09 9.49445e-11 7.17893e-10 3.12709e-09 1.16445e-03 1.41312e-05 4.42904e-04 1.74466e-06 4.11974e-03 1.63219e-06 9.29330e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 1.68128e-19 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.12853e-01 7.44732e-06 2.77332e-01 1.79473e-16 1.07152e-22 8.53100e-19 3.73250e-19 1.68655e-05 5.00035e-06 1.99067e-03 8.49180e-08 3.12608e-03 8.22243e-04 3.81066e-09 4.90908e-08 9.35406e-04 2.57632e-06 9.41890e-06 9.39723e-05 2.88403e-04 3.74111e-05 4.40555e-05 3.84592e-08 4.61318e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
2.91662e+06 2.99984 11512.05794 1.88064 2.18961 -11.09010 4.23409 420.87616 0.26343 510.95600 0.00067 12.00000 10.95754 2.41752 1.10443 2.68217 8.13001 7.64001 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.28466e-05 2.63815e-01 1.32023e-09 8.32607e-11 7.13050e-10 3.06450e-09 1.16445e-03 1.41316e-05 4.42904e-04 1.74462e-06 4.11974e-03 1.63219e-06 9.29330e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 5.95923e-19 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.11214e-01 7.41310e-06 2.79898e-01 1.74181e-16 3.26588e-22 1.74181e-18 8.79023e-19 1.77419e-05 5.11682e-06 2.04174e-03 8.77001e-08 3.01301e-03 8.89201e-04 4.16869e-09 4.22669e-08 9.35406e-04 2.61216e-06 7.76247e-06 9.54993e-05 2.88403e-04 3.73250e-05 4.41570e-05 3.63915e-08 4.61318e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
5.83868e+06 2.99982 11494.13773 1.88223 2.20047 -11.08630 4.22979 420.29175 0.26511 509.69100 0.00067 12.00000 10.95754 2.29883 1.04774 2.67288 8.13001 7.64001 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.28912e-05 2.63815e-01 1.00619e-09 7.30718e-11 7.06383e-10 2.99040e-09 1.16445e-03 1.41322e-05 4.42904e-04 1.74462e-06 4.11974e-03 1.63222e-06 9.29309e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 7.05667e-19 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.07946e-01 7.36207e-06 2.82488e-01 1.69044e-16 2.67301e-22 1.49624e-18 7.56833e-19 1.81552e-05 5.11682e-06 2.08930e-03 9.03649e-08 2.90402e-03 9.41890e-04 3.79315e-09 3.67282e-08 9.35406e-04 2.64241e-06 6.50130e-06 9.68278e-05 2.88403e-04 3.72392e-05 4.42588e-05 3.50752e-08 4.61318e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
8.75039e+06 2.99979 11481.92879 1.88410 2.20990 -11.08170 4.22607 420.07951 0.26638 508.59900 0.00067 12.00000 10.95754 2.18165 0.99168 2.66222 8.13001 7.64002 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.29519e-05 2.63815e-01 7.69272e-10 6.42229e-11 6.98056e-10 2.90824e-09 1.16445e-03 1.41338e-05 4.42915e-04 1.74458e-06 4.11974e-03 1.63238e-06 9.29309e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 6.24180e-19 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.06318e-01 7.24436e-06 2.85102e-01 1.63305e-16 1.79473e-22 1.07399e-18 5.42001e-19 1.81134e-05 5.00035e-06 2.13796e-03 9.28966e-08 2.79898e-03 9.93116e-04 3.12608e-09 3.16228e-08 9.35406e-04 2.67917e-06 5.42001e-06 9.79490e-05 2.88403e-04 3.71535e-05 4.43609e-05 3.45939e-08 4.61318e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
1.16095e+07 2.99977 11475.93296 1.88618 2.21752 -11.07640 4.22307 420.23087 0.26720 507.72200 0.00068 12.00000 10.95754 2.06689 0.93694 2.65064 8.13000 7.64003 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.30293e-05 2.63815e-01 5.91276e-10 5.66174e-11 6.88414e-10 2.82208e-09 1.16442e-03 1.41371e-05 4.42925e-04 1.74450e-06 4.11974e-03 1.63268e-06 9.29287e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 4.71628e-19 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.03072e-01 7.11214e-06 2.87740e-01 1.58855e-16 1.09396e-22 7.41310e-19 3.67282e-19 1.78238e-05 4.86407e-06 2.18776e-03 9.52796e-08 2.70396e-03 1.03753e-03 2.68534e-09 2.72898e-08 9.35406e-04 2.71644e-06 4.54988e-06 9.88553e-05 2.88403e-04 3.70681e-05 4.43609e-05 3.49945e-08 4.61318e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
1.43735e+07 2.99975 11471.89496 1.88827 2.22442 -11.07080 4.22037 420.49246 0.26787 506.93100 0.00068 12.00000 10.95754 1.95560 0.88412 2.63857 8.13000 7.64005 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.31246e-05 2.63815e-01 4.58005e-10 5.01337e-11 6.77891e-10 2.73558e-09 1.16442e-03 1.41426e-05 4.42945e-04 1.74434e-06 4.11974e-03 1.63328e-06 9.29245e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 3.17212e-19 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 7.01455e-01 6.95024e-06 2.90402e-01 1.55597e-16 5.43250e-23 4.41570e-19 2.10863e-19 1.73780e-05 4.70977e-06 2.23357e-03 9.77237e-08 2.61216e-03 1.07647e-03 2.28034e-09 2.34963e-08 9.35406e-04 2.74789e-06 3.83707e-06 9.95405e-05 2.88403e-04 3.68978e-05 4.44631e-05 3.56451e-08 4.61318e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
1.70326e+07 2.99972 11469.36962 1.89037 2.23078 -11.06530 4.21789 420.82574 0.26842 506.20500 0.00068 12.00000 10.95754 1.83251 0.83040 2.62631 8.12999 7.64007 8.55001 4.56001 7.84001 6.17001 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.32307e-05 2.63815e-01 3.45271e-10 4.43006e-11 6.67068e-10 2.65057e-09 1.16439e-03 1.41495e-05 4.42966e-04 1.74417e-06 4.11974e-03 1.63414e-06 9.29202e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47463e-05 2.88118e-04 3.80058e-05 4.34851e-05 6.81554e-20 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 6.98232e-01 6.77642e-06 2.93089e-01 1.53815e-16 1.83231e-27 8.01678e-22 1.12720e-22 1.67109e-05 4.52898e-06 2.28560e-03 1.00000e-07 2.52348e-03 1.11173e-03 1.54170e-09 2.02302e-08 9.35406e-04 2.77971e-06 3.25087e-06 1.00231e-04 2.88403e-04 3.68129e-05 4.45656e-05 3.66438e-08 4.61318e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
1.95825e+07 2.99970 11469.26305 1.89253 2.23639 -11.05990 4.21571 421.28627 0.26880 505.56700 0.00069 12.00000 10.95754 1.73011 0.78114 2.61395 8.12998 7.64010 8.55001 4.56001 7.84001 6.17002 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.33611e-05 2.63815e-01 2.72873e-10 3.95503e-11 6.55677e-10 2.56815e-09 1.16434e-03 1.41615e-05 4.43006e-04 1.74385e-06 4.11974e-03 1.63580e-06 9.29116e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47469e-05 2.88118e-04 3.80058e-05 4.34851e-05 5.85706e-20 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 6.95024e-01 6.57658e-06 2.95121e-01 1.54170e-16 1.03514e-23 1.23880e-19 5.44503e-20 1.62181e-05 4.40555e-06 2.33346e-03 1.02094e-07 2.43781e-03 1.14551e-03 1.70608e-09 1.71791e-08 9.35406e-04 2.81190e-06 2.72898e-06 1.00693e-04 2.88403e-04 3.67282e-05 4.46684e-05 3.79315e-08 4.61318e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
2.20146e+07 2.99968 11466.25123 1.89448 2.24260 -11.05430 4.21330 421.57874 0.26936 504.86400 0.00069 12.00000 10.95754 1.63102 0.73423 2.60176 8.12996 7.64016 8.55001 4.56001 7.84001 6.17002 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.35066e-05 2.63815e-01 2.17295e-10 3.55010e-11 6.44288e-10 2.48960e-09 1.16429e-03 1.41775e-05 4.43068e-04 1.74345e-06 4.11974e-03 1.63840e-06 9.29009e-06 5.01799e-07 9.35470e-04 2.35456e-06 7.56624e-05 2.47469e-05 2.88118e-04 3.80058e-05 4.34851e-05 4.81548e-20 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 6.93426e-01 6.42688e-06 2.97852e-01 1.58489e-16 3.90841e-24 6.13762e-20 2.52930e-20 1.57761e-05 4.30527e-06 2.38232e-03 1.04232e-07 2.35505e-03 1.17220e-03 1.56675e-09 1.46555e-08 9.35406e-04 2.84446e-06 2.30675e-06 1.01158e-04 2.88403e-04 3.66438e-05 4.47713e-05 3.90841e-08 4.61318e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
2.43512e+07 2.99966 11462.54616 1.89639 2.24899 -11.04900 4.21082 421.81925 0.26997 504.14400 0.00069 12.00000 10.95754 1.53426 0.68903 2.58973 8.12993 7.64024 8.55001 4.56000 7.84001 6.17003 7.32001 6.37001 7.41001 7.40001 7.27394e-01 3.36698e-05 2.63815e-01 1.73952e-10 3.19919e-11 6.32951e-10 2.41468e-09 1.16418e-03 1.41984e-05 4.43149e-04 1.74297e-06 4.11974e-03 1.64218e-06 9.28859e-06 5.01788e-07 9.35470e-04 2.35456e-06 7.56606e-05 2.47474e-05 2.88118e-04 3.80058e-05 4.34851e-05 3.48650e-20 4.60405e-05 4.82848e-04 2.53934e-05 1.73165e-05 1.02322e-03 6.90240e-01 6.32412e-06 2.99916e-01 1.67109e-16 1.49279e-24 2.90402e-20 1.14025e-20 1.53815e-05 4.23643e-06 2.43220e-03 1.06170e-07 2.27510e-03 1.19674e-03 1.45881e-09 1.24165e-08 9.35406e-04 2.87740e-06 1.94089e-06 1.01391e-04 2.88403e-04 3.65595e-05 4.48745e-05 3.99945e-08 4.61318e-05 4.83059e-04 2.54097e-05 1.72982e-05 1.02329e-03 
