1:t[yr],2:M/Msun,3:Teff[K],4:log(L/Lsun),5:R/Rsun,6:log(Mdot)[Msun/yr],7:logg,8:v_surf[km/s],9:P[days],10:v_crit[km/s],11:Gamma,12:H,13:He,14:Li,15:Be,16:B,17:C,18:N,19:O,20:F,21:Ne,22:Na,23:Mg,24:Al,25:Si,26:Fe,27:sH1,28:sHe3,29:sHe4,30:sLi7,31:sBe9,32:sB10,33:sB11,34:sC12,35:sC13,36:sN14,37:sN15,38:sO16,39:sO17,40:sO18,41:sF19,42:sNe20,43:sNe21,44:sNe22,45:sNa23,46:sMg24,47:sMg25,48:sMg26,49:sAl26,50:sAl27,51:sSi28,52:sSi29,53:sSi30,54:sFe56,55:cH1,56:cHe3,57:cHe4,58:cLi7,59:cBe9,60:cB10,61:cB11,62:cC12,63:cC13,64:cN14,65:cN15,66:cO16,67:cO17,68:cO18,69:cF19,70:cNe20,71:cNe21,72:cNe22,73:cNa23,74:cMg24,74:cMg25,76:cMg26,77:cAl26,78:cAl27,79:cSi28,80:cSi29,81:cSi30,82:cFe56
0.00000e+00,59.59936,45769.68870,5.68251,11.02690,-5.63484,4.12806,537.42465,1.03870,900.37800,0.21343,12.00000,10.95937,1.39713,0.27813,2.30301,8.05413,7.87152,8.53948,4.49336,7.84007,6.19056,7.32002,6.37477,7.41051,7.40051,7.26558e-01,2.71088e-05,2.64631e-01,1.26599e-10,1.23293e-11,3.65797e-10,1.20337e-09,9.72747e-04,1.60901e-05,7.55336e-04,1.44431e-06,3.98979e-03,3.13256e-05,7.57705e-06,4.29912e-07,9.35363e-04,2.08133e-06,7.49445e-05,2.59155e-05,2.88118e-04,3.74697e-05,4.36044e-05,3.92726e-07,4.60872e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.12853e-01,8.10961e-07,2.78612e-01,1.95884e-15,3.69828e-16,1.78238e-13,2.42103e-13,8.81049e-05,1.19124e-05,2.99916e-03,2.02302e-07,2.47172e-03,1.85353e-04,1.04232e-07,2.85759e-08,9.33254e-04,4.08319e-07,6.30957e-05,4.16869e-05,2.88403e-04,3.06902e-05,4.47713e-05,5.63638e-06,4.66659e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
0.00000e+00,59.59936,45769.68870,5.68251,11.02690,-5.63484,4.12806,537.42465,1.03870,900.37800,0.21343,12.00000,10.95937,1.39713,0.27813,2.30301,8.05413,7.87152,8.53948,4.49336,7.84007,6.19056,7.32002,6.37477,7.41051,7.40051,7.26558e-01,2.71088e-05,2.64631e-01,1.26599e-10,1.23293e-11,3.65797e-10,1.20337e-09,9.72747e-04,1.60901e-05,7.55336e-04,1.44431e-06,3.98979e-03,3.13256e-05,7.57705e-06,4.29912e-07,9.35363e-04,2.08133e-06,7.49445e-05,2.59155e-05,2.88118e-04,3.74697e-05,4.36044e-05,3.92726e-07,4.60872e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.12853e-01,8.10961e-07,2.78612e-01,1.95884e-15,3.69828e-16,1.78238e-13,2.42103e-13,8.81049e-05,1.19124e-05,2.99916e-03,2.02302e-07,2.47172e-03,1.85353e-04,1.04232e-07,2.85759e-08,9.33254e-04,4.08319e-07,6.30957e-05,4.16869e-05,2.88403e-04,3.06902e-05,4.47713e-05,5.63638e-06,4.66659e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
1.74710e+04,59.55871,45756.28583,5.68318,11.04190,-5.63322,4.12658,536.08804,1.04271,899.20900,0.21387,12.00000,10.96010,1.21808,0.15995,2.24604,8.03475,7.91732,8.53558,4.47464,7.84010,6.19773,7.32005,6.37638,7.41070,7.40070,7.26240e-01,2.58274e-05,2.64960e-01,8.38398e-11,9.37994e-12,3.27356e-10,1.04761e-09,9.29245e-04,1.60764e-05,8.39189e-04,1.38029e-06,3.94512e-03,3.89520e-05,7.20427e-06,4.11595e-07,9.35320e-04,2.00854e-06,7.46586e-05,2.63354e-05,2.88118e-04,3.72812e-05,4.36526e-05,5.24252e-07,4.61031e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.11214e-01,7.51623e-07,2.80543e-01,1.24165e-15,2.60615e-16,1.53462e-13,2.01372e-13,8.68960e-05,1.20226e-05,3.07610e-03,2.02768e-07,2.38781e-03,1.81552e-04,9.46237e-08,2.67917e-08,9.33254e-04,3.96278e-07,6.22300e-05,4.28549e-05,2.88403e-04,3.02691e-05,4.48745e-05,5.95662e-06,4.67735e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
3.45800e+04,59.51875,45749.12446,5.68386,11.05390,-5.63161,4.12535,534.79654,1.04637,898.17500,0.21430,12.00000,10.96093,1.04276,0.04458,2.19046,8.01466,7.96041,8.53120,4.45495,7.84015,6.20564,7.32010,6.37818,7.41093,7.40093,7.25855e-01,2.45573e-05,2.65332e-01,5.59874e-11,7.18108e-12,2.93508e-10,9.15103e-10,8.86156e-04,1.60096e-05,9.26424e-04,1.31750e-06,3.89619e-03,4.65768e-05,6.83660e-06,3.93143e-07,9.35276e-04,1.93446e-06,7.43327e-05,2.68053e-05,2.88118e-04,3.70732e-05,4.37079e-05,6.67621e-07,4.61222e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.09578e-01,6.95024e-07,2.81838e-01,8.10961e-16,1.85353e-16,1.32434e-13,1.68267e-13,8.53100e-05,1.21339e-05,3.14775e-03,2.02768e-07,2.31206e-03,1.77828e-04,8.55067e-08,2.48886e-08,9.33254e-04,3.84592e-07,6.12350e-05,4.39542e-05,2.88403e-04,2.97852e-05,4.49780e-05,6.25173e-06,4.67735e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
5.13297e+04,59.47950,45744.57556,5.68452,11.06460,-5.63013,4.12422,533.52703,1.04988,897.20500,0.21472,12.00000,10.96187,0.87109,-0.06833,2.13627,7.99415,8.00044,8.52640,4.43458,7.84021,6.21411,7.32016,6.38008,7.41118,7.40118,7.25437e-01,2.33190e-05,2.65754e-01,3.76973e-11,5.53006e-12,2.63724e-10,8.01992e-10,8.44190e-04,1.59063e-05,1.01548e-03,1.25678e-06,3.84388e-03,5.40232e-05,6.47963e-06,3.74913e-07,9.35233e-04,1.86067e-06,7.39707e-05,2.73174e-05,2.88118e-04,3.68477e-05,4.37703e-05,8.19974e-07,4.61424e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.07946e-01,6.29506e-07,2.83139e-01,5.18800e-16,1.23595e-16,1.06905e-13,1.31220e-13,8.27942e-05,1.22180e-05,3.22107e-03,2.02302e-07,2.23357e-03,1.74582e-04,7.32825e-08,2.28034e-08,9.33254e-04,3.72392e-07,6.02560e-05,4.50817e-05,2.88403e-04,2.93765e-05,4.51856e-05,6.53131e-06,4.68813e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
6.77355e+04,59.44091,45744.49955,5.68518,11.07300,-5.62860,4.12328,532.32406,1.05306,896.34200,0.21513,12.00000,10.96291,0.70278,-0.17881,2.08337,7.97340,8.03747,8.52125,4.41375,7.84029,6.22300,7.32025,6.38208,7.41146,7.40146,7.24970e-01,2.21233e-05,2.66220e-01,2.55758e-11,4.28134e-12,2.37471e-10,7.05018e-10,8.03711e-04,1.57794e-05,1.10530e-03,1.19867e-06,3.78896e-03,6.11801e-05,6.13607e-06,3.57125e-07,9.35190e-04,1.78817e-06,7.35766e-05,2.78644e-05,2.88118e-04,3.66083e-05,4.38389e-05,9.79016e-07,4.61636e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.06318e-01,5.84790e-07,2.84446e-01,3.66438e-16,8.93305e-17,9.31108e-14,1.10662e-13,8.07235e-05,1.22462e-05,3.28852e-03,2.05116e-07,2.16770e-03,1.71002e-04,6.79204e-08,2.09894e-08,9.33254e-04,3.61410e-07,5.94292e-05,4.61318e-05,2.88403e-04,2.89734e-05,4.52898e-05,6.80769e-06,4.68813e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
8.37963e+04,59.40301,45741.44975,5.68583,11.08280,-5.62711,4.12223,531.04184,1.05653,895.43200,0.21552,12.00000,10.96403,0.53789,-0.28692,2.03173,7.95261,8.07159,8.51580,4.39266,7.84037,6.23218,7.32035,6.38414,7.41176,7.40176,7.24469e-01,2.09793e-05,2.66723e-01,1.74872e-11,3.33173e-12,2.14304e-10,6.21584e-10,7.65050e-04,1.56394e-05,1.19495e-03,1.14346e-06,3.73224e-03,6.79657e-05,5.80858e-06,3.39962e-07,9.35126e-04,1.71771e-06,7.31543e-05,2.84400e-05,2.88124e-04,3.63588e-05,4.39137e-05,1.14254e-06,4.61860e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.04693e-01,5.45758e-07,2.85759e-01,2.69153e-16,6.48634e-17,8.16582e-14,9.37562e-14,7.87046e-05,1.23310e-05,3.34965e-03,2.06538e-07,2.09894e-03,1.67494e-04,6.26614e-08,1.93642e-08,9.33254e-04,3.50752e-07,5.86138e-05,4.70977e-05,2.88403e-04,2.85759e-05,4.53942e-05,7.04693e-06,4.68813e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
9.95905e+04,59.36562,45751.66653,5.68650,11.08640,-5.62565,4.12168,529.98673,1.05898,894.77600,0.21593,12.00000,10.96521,0.37568,-0.39321,1.98107,7.93178,8.10315,8.51007,4.37134,7.84046,6.24160,7.32046,6.38626,7.41208,7.40208,7.23936e-01,1.98861e-05,2.67258e-01,1.20298e-11,2.60274e-12,1.93727e-10,5.49263e-10,7.28132e-04,1.54921e-05,1.28419e-03,1.09104e-06,3.67392e-03,7.43635e-05,5.49629e-06,3.23437e-07,9.35083e-04,1.64945e-06,7.27093e-05,2.90422e-05,2.88124e-04,3.60994e-05,4.39937e-05,1.30966e-06,4.62094e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.04693e-01,5.11682e-07,2.87078e-01,1.93642e-16,4.77529e-17,7.17794e-14,7.97995e-14,7.67361e-05,1.24451e-05,3.41193e-03,2.07491e-07,2.04174e-03,1.64059e-04,5.75440e-08,1.78649e-08,9.33254e-04,3.41193e-07,5.78096e-05,4.80839e-05,2.88403e-04,2.81838e-05,4.54988e-05,7.27780e-06,4.69894e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
1.15021e+05,59.32895,45765.51981,5.68717,11.08820,-5.62416,4.12127,529.05850,1.06102,894.20100,0.21632,12.00000,10.96647,0.21713,-0.49739,1.93167,7.91115,8.13215,8.50417,4.35004,7.84057,6.25109,7.32059,6.38842,7.41242,7.40242,7.23369e-01,1.88534e-05,2.67824e-01,8.34469e-12,2.04376e-12,1.75533e-10,4.86777e-10,6.93282e-04,1.53444e-05,1.37192e-03,1.04184e-06,3.61510e-03,8.03045e-05,5.20200e-06,3.07716e-07,9.35018e-04,1.58420e-06,7.22454e-05,2.96606e-05,2.88124e-04,3.58344e-05,4.40768e-05,1.47771e-06,4.62338e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.03072e-01,4.73151e-07,2.88403e-01,1.34276e-16,3.28852e-17,5.97035e-14,6.39735e-14,7.44732e-05,1.25603e-05,3.46737e-03,2.07014e-07,1.98153e-03,1.60694e-04,5.09331e-08,1.64059e-08,9.33254e-04,3.31131e-07,5.70164e-05,4.89779e-05,2.88403e-04,2.78612e-05,4.56037e-05,7.51623e-06,4.69894e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
1.30067e+05,59.29308,45782.11970,5.68783,11.08860,-5.62266,4.12097,528.21290,1.06276,893.69300,0.21671,12.00000,10.96778,0.06237,-0.59937,1.88357,7.89085,8.15877,8.49812,4.32889,7.84069,6.26056,7.32073,6.39057,7.41277,7.40277,7.22786e-01,1.78826e-05,2.68417e-01,5.83902e-12,1.61350e-12,1.59441e-10,4.32713e-10,6.60557e-04,1.51995e-05,1.45757e-03,9.95841e-07,3.55615e-03,8.57729e-05,4.92595e-06,2.92853e-07,9.34975e-04,1.52219e-06,7.17712e-05,3.02901e-05,2.88124e-04,3.55664e-05,4.41642e-05,1.64513e-06,4.62583e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.01455e-01,4.38531e-07,2.89734e-01,9.44061e-17,2.24905e-17,4.93174e-14,5.10505e-14,7.24436e-05,1.27057e-05,3.52371e-03,2.06538e-07,1.92309e-03,1.57398e-04,4.56037e-08,1.50314e-08,9.33254e-04,3.21366e-07,5.62341e-05,4.98884e-05,2.88403e-04,2.74789e-05,4.57088e-05,7.72681e-06,4.70977e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
