          1 -- mesa/star zams

     year_month_day_when_created   20170919
                        net_name   'basic.net'
                         species          8
                       initial_z        8.80000000000000E-03
                       initial_y        2.64000000000000E-01

          M/Msun           n_shells
       20.00000000           1164
       -1.00000000             -1

                          M/Msun      1.9999999999999932E+01
                        n_shells       1164

             lnd                      lnT                      lnR                        L                       dq                       h1                      he3                      he4                      c12                      n14                      o16                     ne20                     mg24
    1  -2.0651761674006639E+01   1.0505524288490022E+01   2.6686098280667622E+01   1.9026139289021300E+38   5.0000000000004674E-13   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676321E-01   1.5143086687572835E-03   4.4358976060810171E-04   4.1185965080215471E-03   9.2376237786695654E-04   1.7997426847460329E-03
    2  -2.0623799130746537E+01   1.0509704088121607E+01   2.6686073187505688E+01   1.9026139289021259E+38   8.5382292095777238E-13   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676321E-01   1.5143086687572835E-03   4.4358976060810171E-04   4.1185965080215471E-03   9.2376237786695654E-04   1.7997426847460329E-03
    3  -2.0586265102673924E+01   1.0515593149854361E+01   2.6686031514702975E+01   1.9026139289021187E+38   1.0617179418970295E-12   7.2720000000000018E-01   2.8094913236787864E-05   2.6397190508676321E-01   1.5143086687572835E-03   4.4358976060810166E-04   4.1185965080215471E-03   9.2376237786695665E-04   1.7997426847460329E-03
    4  -2.0547174849160523E+01   1.0522080284418628E+01   2.6685981597194360E+01   1.9026139289021108E+38   1.0617179418970295E-12   7.2720000000000018E-01   2.8094913236787864E-05   2.6397190508676321E-01   1.5143086687572835E-03   4.4358976060810177E-04   4.1185965080215462E-03   9.2376237786695665E-04   1.7997426847460333E-03
    5  -2.0496492331694551E+01   1.0531059728438999E+01   2.6685933586275826E+01   1.9026139289021013E+38   1.9044194442544412E-12   7.2720000000000018E-01   2.8094913236787867E-05   2.6397190508676321E-01   1.5143086687572839E-03   4.4358976060810171E-04   4.1185965080215471E-03   9.2376237786695665E-04   1.7997426847460333E-03
    6  -2.0451371872450689E+01   1.0539590510795803E+01   2.6685851708329334E+01   1.9026139289020854E+38   9.5220972212722524E-13   7.2720000000000018E-01   2.8094913236787860E-05   2.6397190508676316E-01   1.5143086687572835E-03   4.4358976060810166E-04   4.1185965080215454E-03   9.2376237786695643E-04   1.7997426847460329E-03
    7  -2.0423102537754197E+01   1.0545217821250098E+01   2.6685812568383813E+01   1.9026139289020775E+38   9.5220972212722201E-13   7.2720000000000018E-01   2.8094913236787860E-05   2.6397190508676316E-01   1.5143086687572835E-03   4.4358976060810166E-04   4.1185965080215462E-03   9.2376237786695643E-04   1.7997426847460329E-03
    8  -2.0393544386655996E+01   1.0551333838265403E+01   2.6685774514999462E+01   1.9026139289020700E+38   1.1387858139964962E-12   7.2720000000000007E-01   2.8094913236787867E-05   2.6397190508676321E-01   1.5143086687572837E-03   4.4358976060810161E-04   4.1185965080215471E-03   9.2376237786695654E-04   1.7997426847460331E-03
    9  -2.0362937549289132E+01   1.0557913830129005E+01   2.6685730325471813E+01   1.9026139289020601E+38   1.1387858139964897E-12   7.2720000000000007E-01   2.8094913236787864E-05   2.6397190508676327E-01   1.5143086687572837E-03   4.4358976060810161E-04   4.1185965080215471E-03   9.2376237786695654E-04   1.7997426847460329E-03
   10  -2.0319882864261203E+01   1.0567635757622160E+01   2.6685687462360860E+01   1.9026139289020507E+38   2.2775716279930005E-12   7.2720000000000007E-01   2.8094913236787857E-05   2.6397190508676321E-01   1.5143086687572837E-03   4.4358976060810161E-04   4.1185965080215471E-03   9.2376237786695643E-04   1.7997426847460329E-03
   11  -2.0266845617304106E+01   1.0580248429531066E+01   2.6685605333330347E+01   1.9026139289020318E+38   2.2775716279929859E-12   7.2720000000000007E-01   2.8094913236787867E-05   2.6397190508676321E-01   1.5143086687572837E-03   4.4358976060810171E-04   4.1185965080215471E-03   9.2376237786695665E-04   1.7997426847460331E-03
   12  -2.0229845719081922E+01   1.0589435098532059E+01   2.6685527428001389E+01   1.9026139289020129E+38   1.1387858139965123E-12   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676321E-01   1.5143086687572837E-03   4.4358976060810166E-04   4.1185965080215471E-03   9.2376237786695665E-04   1.7997426847460331E-03
   13  -2.0206427814413740E+01   1.0595452202531666E+01   2.6685489883743191E+01   1.9026139289020038E+38   1.1387858139965027E-12   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676321E-01   1.5143086687572837E-03   4.4358976060810166E-04   4.1185965080215480E-03   9.2376237786695665E-04   1.7997426847460331E-03
   14  -2.0170931118001263E+01   1.0604872836601057E+01   2.6685453204394662E+01   1.9026139289019944E+38   2.4939409326523180E-12   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676321E-01   1.5143086687572835E-03   4.4358976060810166E-04   4.1185965080215471E-03   9.2376237786695654E-04   1.7997426847460329E-03
   15  -2.0125056291733408E+01   1.0617349222428999E+01   2.6685375664694870E+01   1.9026139289019744E+38   2.4939409326523148E-12   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676321E-01   1.5143086687572835E-03   4.4358976060810166E-04   4.1185965080215471E-03   9.2376237786695665E-04   1.7997426847460329E-03
   16  -2.0082212220073778E+01   1.0629354605593399E+01   2.6685301584911670E+01   1.9026139289019544E+38   2.4939409326523471E-12   7.2720000000000007E-01   2.8094913236787857E-05   2.6397190508676321E-01   1.5143086687572837E-03   4.4358976060810177E-04   4.1185965080215462E-03   9.2376237786695654E-04   1.7997426847460331E-03
   17  -2.0051689463765531E+01   1.0638029345519360E+01   2.6685230596532179E+01   1.9026139289019347E+38   1.2469704663261606E-12   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676321E-01   1.5143086687572839E-03   4.4358976060810182E-04   4.1185965080215462E-03   9.2376237786695654E-04   1.7997426847460329E-03
