          1 -- mesa/star zams

     year_month_day_when_created   20171107
                        net_name   'basic.net'
                         species          8
                       initial_z        1.40000000000000E-02
                       initial_y        2.66000000000000E-01

          M/Msun           n_shells
       12.58925412           1140
       -1.00000000             -1

                          M/Msun      1.2589254117941675E+01
                        n_shells       1140

             lnd                      lnT                      lnR                        L                       dq                       h1                      he3                      he4                      c12                      n14                      o16                     ne20                     mg24
    1  -2.0388813035504118E+01   1.0285301831182263E+01   2.6429672498974867E+01   4.7116226808172060E+37   5.0000000000002008E-13   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
    2  -2.0351377828547442E+01   1.0290842175078133E+01   2.6429646291698855E+01   4.7116226808172032E+37   8.4958317011527696E-13   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
    3  -2.0306934414581953E+01   1.0297801201270127E+01   2.6429603392923582E+01   4.7116226808171984E+37   8.4958317011528060E-13   7.1999999999999997E-01   2.8307753488581687E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979797E-03   1.4696219647883542E-03   2.8632269984596257E-03
    4  -2.0254874589034362E+01   1.0306497930940637E+01   2.6429562353803096E+01   4.7116226808171937E+37   1.2852340995695223E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
    5  -2.0211074545958397E+01   1.0314299596875543E+01   2.6429503411076613E+01   4.7116226808171862E+37   6.4261704978476094E-13   7.1999999999999997E-01   2.8307753488581697E-05   2.6597169224651146E-01   2.4091274275684291E-03   7.0571098278562297E-04   6.5523126263979815E-03   1.4696219647883546E-03   2.8632269984596261E-03
    6  -2.0183394659536834E+01   1.0319466843520734E+01   2.6429475199011019E+01   4.7116226808171824E+37   6.4261704978475972E-13   7.2000000000000008E-01   2.8307753488581694E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979815E-03   1.4696219647883540E-03   2.8632269984596257E-03
    7  -2.0143941827041420E+01   1.0327163071433482E+01   2.6429447754852461E+01   4.7116226808171786E+37   1.2852340995695211E-12   7.1999999999999997E-01   2.8307753488581694E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979797E-03   1.4696219647883542E-03   2.8632269984596253E-03
    8  -2.0094792799598455E+01   1.0337307752380557E+01   2.6429394983524464E+01   4.7116226808171710E+37   1.2852340995695178E-12   7.1999999999999997E-01   2.8307753488581694E-05   2.6597169224651146E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596261E-03
    9  -2.0050999100338075E+01   1.0346894705134074E+01   2.6429344735385300E+01   4.7116226808171635E+37   1.1774476514373205E-12   7.1999999999999997E-01   2.8307753488581694E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979789E-03   1.4696219647883542E-03   2.8632269984596257E-03
   10  -2.0021363304773889E+01   1.0353683930190890E+01   2.6429300667579099E+01   4.7116226808171559E+37   5.8872382571864166E-13   7.1999999999999997E-01   2.8307753488581694E-05   2.6597169224651140E-01   2.4091274275684282E-03   7.0571098278562287E-04   6.5523126263979789E-03   1.4696219647883542E-03   2.8632269984596257E-03
   11  -2.0002372254802889E+01   1.0358173350451947E+01   2.6429279274986694E+01   4.7116226808171522E+37   5.8872382571864166E-13   7.1999999999999997E-01   2.8307753488581687E-05   2.6597169224651140E-01   2.4091274275684282E-03   7.0571098278562287E-04   6.5523126263979780E-03   1.4696219647883542E-03   2.8632269984596257E-03
   12  -1.9974957929116897E+01   1.0364851894788595E+01   2.6429258283494146E+01   4.7116226808171484E+37   1.1774476514373205E-12   7.1999999999999997E-01   2.8307753488581694E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979823E-03   1.4696219647883542E-03   2.8632269984596257E-03
   13  -1.9940226828753747E+01   1.0373636930701309E+01   2.6429217432022028E+01   4.7116226808171408E+37   1.1774476514373205E-12   7.1999999999999997E-01   2.8307753488581697E-05   2.6597169224651146E-01   2.4091274275684291E-03   7.0571098278562297E-04   6.5523126263979832E-03   1.4696219647883544E-03   2.8632269984596261E-03
   14  -1.9907416006227688E+01   1.0382291619862588E+01   2.6429177970257072E+01   4.7116226808171333E+37   1.1774476514373172E-12   7.1999999999999997E-01   2.8307753488581694E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979797E-03   1.4696219647883542E-03   2.8632269984596257E-03
   15  -1.9876353404163041E+01   1.0390815470847864E+01   2.6429139777805773E+01   4.7116226808171257E+37   1.1774476514373011E-12   7.1999999999999997E-01   2.8307753488581694E-05   2.6597169224651146E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979797E-03   1.4696219647883544E-03   2.8632269984596257E-03
   16  -1.9832761828953679E+01   1.0403377746374339E+01   2.6429102749297286E+01   4.7116226808171182E+37   2.3548953028746571E-12   7.1999999999999997E-01   2.8307753488581694E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979797E-03   1.4696219647883542E-03   2.8632269984596257E-03
