          1 -- mesa/star zams

     year_month_day_when_created   20170124
                        net_name   'basic.net'
                         species          8
                       initial_z        1.90000000000000E-02
                       initial_y        2.78000000000000E-01

          M/Msun           n_shells
       20.00000000           1191
       -1.00000000             -1

                          M/Msun      1.9999999999999932E+01
                        n_shells       1191

             lnd                      lnT                      lnR                        L                       dq                       h1                      he3                      he4                      c12                      n14                      o16                     ne20                     mg24
    1  -2.0716690321485817E+01   1.0464379086295251E+01   2.6724088361075331E+01   1.7413638487042973E+38   5.0000000000002220E-13   7.0299999999999996E-01   2.9584794999344777E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
    2  -2.0681228874412991E+01   1.0469716646854184E+01   2.6724064468876879E+01   1.7413638487042958E+38   1.2408086990501066E-12   7.0300000000000007E-01   2.9584794999344777E-05   2.7797041520500071E-01   3.2695300802714189E-03   9.5775061949476836E-04   8.8924242786829252E-03   1.9944869522127550E-03   3.8858080693380407E-03
    3  -2.0616270469794962E+01   1.0480273304411568E+01   2.6724007236329637E+01   1.7413638487042909E+38   2.2224260971502756E-12   7.0299999999999996E-01   2.9584794999344777E-05   2.7797041520500076E-01   3.2695300802714202E-03   9.5775061949476847E-04   8.8924242786829234E-03   1.9944869522127554E-03   3.8858080693380407E-03
    4  -2.0559063892298056E+01   1.0490471652275877E+01   2.6723911151599722E+01   1.7413638487042818E+38   1.1575135922657674E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714202E-03   9.5775061949476825E-04   8.8924242786829252E-03   1.9944869522127554E-03   3.8858080693380402E-03
    5  -2.0522924884157973E+01   1.0497386497178674E+01   2.6723863879811251E+01   1.7413638487042769E+38   1.1575135922657674E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714202E-03   9.5775061949476847E-04   8.8924242786829252E-03   1.9944869522127554E-03   3.8858080693380402E-03
    6  -2.0488945089466746E+01   1.0504235203871914E+01   2.6723818279525663E+01   1.7413638487042727E+38   1.1575135922657601E-12   7.0299999999999996E-01   2.9584794999344777E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476836E-04   8.8924242786829252E-03   1.9944869522127554E-03   3.8858080693380398E-03
    7  -2.0456897786079104E+01   1.0511012404208637E+01   2.6723774196768620E+01   1.7413638487042678E+38   1.1575135922657553E-12   7.0299999999999996E-01   2.9584794999344777E-05   2.7797041520500071E-01   3.2695300802714202E-03   9.5775061949476836E-04   8.8924242786829252E-03   1.9944869522127554E-03   3.8858080693380398E-03
    8  -2.0426587990532134E+01   1.0517713515398286E+01   2.6723731498790130E+01   1.7413638487042637E+38   1.1575135922657666E-12   7.0299999999999996E-01   2.9584794999344777E-05   2.7797041520500071E-01   3.2695300802714198E-03   9.5775061949476814E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
    9  -2.0397847032489871E+01   1.0524334643380474E+01   2.6723690070334815E+01   1.7413638487042588E+38   1.1575135922657666E-12   7.0299999999999996E-01   2.9584794999344777E-05   2.7797041520500071E-01   3.2695300802714198E-03   9.5775061949476814E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   10  -2.0357422880289811E+01   1.0534124423710812E+01   2.6723649810692120E+01   1.7413638487042542E+38   2.3150271845315380E-12   7.0299999999999996E-01   2.9584794999344777E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380398E-03
   11  -2.0307666762728985E+01   1.0546848061851698E+01   2.6723572467777142E+01   1.7413638487042455E+38   2.3150271845315316E-12   7.0299999999999996E-01   2.9584794999344784E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380407E-03
   12  -2.0272997631725730E+01   1.0556135077808198E+01   2.6723498862311743E+01   1.7413638487042365E+38   1.1575135922657504E-12   7.0299999999999996E-01   2.9584794999344781E-05   2.7797041520500071E-01   3.2695300802714198E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380407E-03
   13  -2.0251075726196600E+01   1.0562224928210076E+01   2.6723463307812438E+01   1.7413638487042319E+38   1.1575135922657504E-12   7.0299999999999996E-01   2.9584794999344777E-05   2.7797041520500071E-01   3.2695300802714198E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380407E-03
   14  -2.0219791065569535E+01   1.0571205427641612E+01   2.6723428520584079E+01   1.7413638487042274E+38   2.3150271845315074E-12   7.0300000000000007E-01   2.9584794999344784E-05   2.7797041520500071E-01   3.2695300802714202E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380407E-03
   15  -2.0180443243175624E+01   1.0582820003416126E+01   2.6723361078704723E+01   1.7413638487042183E+38   2.3150271845315074E-12   7.0300000000000007E-01   2.9584794999344784E-05   2.7797041520500071E-01   3.2695300802714198E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127546E-03   3.8858080693380407E-03
   16  -2.0147451550672987E+01   1.0592830343602301E+01   2.6723296226117856E+01   1.7413638487042096E+38   1.8057212039345890E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   17  -2.0119975134445355E+01   1.0601372087180984E+01   2.6723247274400354E+01   1.7413638487042028E+38   1.8057212039345857E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   18  -2.0093652917288448E+01   1.0609690199841364E+01   2.6723199642490371E+01   1.7413638487041960E+38   1.8057212039346019E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   19  -2.0068367719066693E+01   1.0617788806008793E+01   2.6723153241456217E+01   1.7413638487041900E+38   1.8057212039346051E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   20  -2.0032378462822418E+01   1.0629589953204873E+01   2.6723107992752471E+01   1.7413638487041832E+38   3.6114424078691392E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   21  -1.9997796271967882E+01   1.0640819358850338E+01   2.6723020677008307E+01   1.7413638487041707E+38   1.8057212039345664E-12   7.0299999999999996E-01   2.9584794999344777E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
